code;beschrijving;medisch_of_chirurgisch;mdc;soort_hospitalisatie;aantal_verblijven
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Daghosp.;412
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;Medisch;04;Klass. hosp;949
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Klass. hosp;797
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Daghosp.;33
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;Medisch;04;Klass. hosp;113
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;Medisch;04;Daghosp.;4
133;Respiratoire insufficiëntie;Medisch;04;Klass. hosp;1391
133;Respiratoire insufficiëntie;Medisch;04;Daghosp.;6
134;Longembolie;Medisch;04;Klass. hosp;5524
134;Longembolie;Medisch;04;Daghosp.;23
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Klass. hosp;3752
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Daghosp.;11
136;Maligne respiratoire aandoening;Medisch;04;Klass. hosp;8388
136;Maligne respiratoire aandoening;Medisch;04;Daghosp.;5125
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Klass. hosp;8458
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Daghosp.;224
138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;Medisch;04;Klass. hosp;11274
138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;Medisch;04;Daghosp.;34
139;Andere pneumonie;Medisch;04;Klass. hosp;32114
139;Andere pneumonie;Medisch;04;Daghosp.;199
140;Chronische obstructieve longaandoeningen;Medisch;04;Klass. hosp;28861
140;Chronische obstructieve longaandoeningen;Medisch;04;Daghosp.;912
141;Astma;Medisch;04;Klass. hosp;6166
141;Astma;Medisch;04;Daghosp.;147
142;Interstitiële en alveolaire longziekte;Medisch;04;Klass. hosp;2043
142;Interstitiële en alveolaire longziekte;Medisch;04;Daghosp.;463
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;Medisch;04;Klass. hosp;6207
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;Medisch;04;Daghosp.;1389
144;Respiratoire tekens, symptomen en mineure diagnosen;Medisch;04;Klass. hosp;23949
144;Respiratoire tekens, symptomen en mineure diagnosen;Medisch;04;Daghosp.;4064
160;Majeur cardiothoracaal herstel van hartanomalie;Chirurgisch;05;Klass. hosp;107
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;Chirurgisch;05;Klass. hosp;1723
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;Chirurgisch;05;Daghosp.;19
162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;Chirurgisch;05;Klass. hosp;513
163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;Chirurgisch;05;Klass. hosp;3624
165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;Chirurgisch;05;Klass. hosp;1051
165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;Chirurgisch;05;Daghosp.;1
166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;Chirurgisch;05;Klass. hosp;4671
167;Andere cardiothoracale procedures en thoracovasculaire procedures;Chirurgisch;05;Klass. hosp;3864
167;Andere cardiothoracale procedures en thoracovasculaire procedures;Chirurgisch;05;Daghosp.;122
169;Majeure abdominale vasculaire procedures;Chirurgisch;05;Klass. hosp;2364
169;Majeure abdominale vasculaire procedures;Chirurgisch;05;Daghosp.;35
170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;302
171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;6178
171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Daghosp.;18
174;Percutane coronaire procedures met acuut myocardinfarct;Chirurgisch;05;Klass. hosp;8779
174;Percutane coronaire procedures met acuut myocardinfarct;Chirurgisch;05;Daghosp.;376
175;Percutane coronaire procedures zonder acuut myocardinfarct;Chirurgisch;05;Klass. hosp;25333
175;Percutane coronaire procedures zonder acuut myocardinfarct;Chirurgisch;05;Daghosp.;1827
176;Vervangen van pacemaker of defibrillator;Chirurgisch;05;Klass. hosp;2803
176;Vervangen van pacemaker of defibrillator;Chirurgisch;05;Daghosp.;409
177;Revisie van pacemaker of defibrillator behalve toestel vervanging;Chirurgisch;05;Klass. hosp;806
177;Revisie van pacemaker of defibrillator behalve toestel vervanging;Chirurgisch;05;Daghosp.;48
180;Andere procedures op het circulatoire systeem;Chirurgisch;05;Klass. hosp;3156
180;Andere procedures op het circulatoire systeem;Chirurgisch;05;Daghosp.;19796
181;Procedures op de arteries van de onderste ledematen;Chirurgisch;05;Klass. hosp;19551
181;Procedures op de arteries van de onderste ledematen;Chirurgisch;05;Daghosp.;1218
182;Andere perifere vasculaire procedures;Chirurgisch;05;Klass. hosp;4721
182;Andere perifere vasculaire procedures;Chirurgisch;05;Daghosp.;4357
190;Acuut myocardinfarct;Medisch;05;Klass. hosp;7195
190;Acuut myocardinfarct;Medisch;05;Daghosp.;473
191;Hartkatheterisatie voor coronaire condities;Medisch;05;Klass. hosp;15164
191;Hartkatheterisatie voor coronaire condities;Medisch;05;Daghosp.;13162
192;Hartkatheterisatie voor andere niet-coronaire condities;Medisch;05;Klass. hosp;14673
192;Hartkatheterisatie voor andere niet-coronaire condities;Medisch;05;Daghosp.;4684
193;Acute en subacute endocarditis;Medisch;05;Klass. hosp;198
193;Acute en subacute endocarditis;Medisch;05;Daghosp.;3
194;Hartfalen;Medisch;05;Klass. hosp;22384
194;Hartfalen;Medisch;05;Daghosp.;36
196;Hartstilstand en shock;Medisch;05;Klass. hosp;1094
196;Hartstilstand en shock;Medisch;05;Daghosp.;169
197;Perifere en andere vasculaire stoornissen;Medisch;05;Klass. hosp;5609
197;Perifere en andere vasculaire stoornissen;Medisch;05;Daghosp.;2388
198;Angina pectoris en coronaire atherosclerose;Medisch;05;Klass. hosp;4983
198;Angina pectoris en coronaire atherosclerose;Medisch;05;Daghosp.;71
199;Hypertensie;Medisch;05;Klass. hosp;2744
199;Hypertensie;Medisch;05;Daghosp.;51
200;Structurele hartaandoeningen en kleplijden;Medisch;05;Klass. hosp;1309
200;Structurele hartaandoeningen en kleplijden;Medisch;05;Daghosp.;191
201;Hartaritmie en geleidingsstoornissen;Medisch;05;Klass. hosp;20741
201;Hartaritmie en geleidingsstoornissen;Medisch;05;Daghosp.;5770
203;Thoracale pijn;Medisch;05;Klass. hosp;5255
203;Thoracale pijn;Medisch;05;Daghosp.;244
204;Syncope en collaps;Medisch;05;Klass. hosp;10828
204;Syncope en collaps;Medisch;05;Daghosp.;86
205;Cardiomyopathie;Medisch;05;Klass. hosp;425
205;Cardiomyopathie;Medisch;05;Daghosp.;11
206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;Medisch;05;Klass. hosp;1291
206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;Medisch;05;Daghosp.;498
207;Andere diagnosen van het circulatoir stelsel;Medisch;05;Klass. hosp;5745
207;Andere diagnosen van het circulatoir stelsel;Medisch;05;Daghosp.;492
220;Majeure procedures op oesofagus, maag en duodenum;Chirurgisch;06;Klass. hosp;3766
220;Majeure procedures op oesofagus, maag en duodenum;Chirurgisch;06;Daghosp.;272
221;Majeure procedures op dunne en dikke darm;Chirurgisch;06;Klass. hosp;16009
221;Majeure procedures op dunne en dikke darm;Chirurgisch;06;Daghosp.;236
222;Andere procedures op oesofagus, maag en duodenum;Chirurgisch;06;Klass. hosp;4959
222;Andere procedures op oesofagus, maag en duodenum;Chirurgisch;06;Daghosp.;780
223;Andere procedures op dunne en dikke darm;Chirurgisch;06;Klass. hosp;4409
223;Andere procedures op dunne en dikke darm;Chirurgisch;06;Daghosp.;2044
224;Peritoneale adhesiolyse;Chirurgisch;06;Klass. hosp;1662
224;Peritoneale adhesiolyse;Chirurgisch;06;Daghosp.;107
225;Appendectomie;Chirurgisch;06;Klass. hosp;13304
225;Appendectomie;Chirurgisch;06;Daghosp.;219
226;Anale procedures;Chirurgisch;06;Klass. hosp;7041
226;Anale procedures;Chirurgisch;06;Daghosp.;9522
227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Klass. hosp;8365
227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Daghosp.;2788
228;Procedures voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Klass. hosp;15431
228;Procedures voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Daghosp.;11453
229;Andere procedures op het spijsverteringsstelsel en abdomen;Chirurgisch;06;Klass. hosp;3037
229;Andere procedures op het spijsverteringsstelsel en abdomen;Chirurgisch;06;Daghosp.;833
240;Maligne aandoeningen van het spijsverteringsstelsel;Medisch;06;Klass. hosp;7171
240;Maligne aandoeningen van het spijsverteringsstelsel;Medisch;06;Daghosp.;8653
241;Peptisch ulcus en gastritis;Medisch;06;Klass. hosp;7979
241;Peptisch ulcus en gastritis;Medisch;06;Daghosp.;15259
242;Majeure slokdarmstoornissen;Medisch;06;Klass. hosp;693
242;Majeure slokdarmstoornissen;Medisch;06;Daghosp.;438
243;Andere slokdarmstoornissen;Medisch;06;Klass. hosp;7066
243;Andere slokdarmstoornissen;Medisch;06;Daghosp.;19687
244;Diverticulitis en diverticulosis;Medisch;06;Klass. hosp;9783
244;Diverticulitis en diverticulosis;Medisch;06;Daghosp.;18422
245;Inflammatoire darmziekte;Medisch;06;Klass. hosp;3350
245;Inflammatoire darmziekte;Medisch;06;Daghosp.;8697
246;Gastro-intestinale vasculaire insufficiëntie;Medisch;06;Klass. hosp;1561
246;Gastro-intestinale vasculaire insufficiëntie;Medisch;06;Daghosp.;161
247;Intestinale obstructie;Medisch;06;Klass. hosp;8081
247;Intestinale obstructie;Medisch;06;Daghosp.;410
248;Majeure gastro-intestinale en peritoneale infecties;Medisch;06;Klass. hosp;5218
248;Majeure gastro-intestinale en peritoneale infecties;Medisch;06;Daghosp.;192
249;Andere gastro-enteritis, misselijkheid en braken;Medisch;06;Klass. hosp;30819
249;Andere gastro-enteritis, misselijkheid en braken;Medisch;06;Daghosp.;7478
251;Abdominale pijn;Medisch;06;Klass. hosp;6691
251;Abdominale pijn;Medisch;06;Daghosp.;8843
252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;Medisch;06;Klass. hosp;2485
252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;Medisch;06;Daghosp.;851
253;Andere en niet gespecificeerde gastro-intestinale hemorragie;Medisch;06;Klass. hosp;2665
253;Andere en niet gespecificeerde gastro-intestinale hemorragie;Medisch;06;Daghosp.;2044
254;Andere diagnosen van spijsverteringsstelsel;Medisch;06;Klass. hosp;21258
254;Andere diagnosen van spijsverteringsstelsel;Medisch;06;Daghosp.;95933
260;Majeure pancreas-, lever- en shuntprocedures;Chirurgisch;07;Klass. hosp;2641
260;Majeure pancreas-, lever- en shuntprocedures;Chirurgisch;07;Daghosp.;95
261;Majeure procedures op de galwegen;Chirurgisch;07;Klass. hosp;1288
261;Majeure procedures op de galwegen;Chirurgisch;07;Daghosp.;105
262;Cholecystectomie, behalve laparoscopisch;Chirurgisch;07;Klass. hosp;697
262;Cholecystectomie, behalve laparoscopisch;Chirurgisch;07;Daghosp.;211
263;Laparoscopische cholecystectomie;Chirurgisch;07;Klass. hosp;20313
263;Laparoscopische cholecystectomie;Chirurgisch;07;Daghosp.;1272
264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;Chirurgisch;07;Klass. hosp;2828
264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;Chirurgisch;07;Daghosp.;995
279;Hepatisch coma en andere majeure acute leverstoornissen;Medisch;07;Klass. hosp;1360
279;Hepatisch coma en andere majeure acute leverstoornissen;Medisch;07;Daghosp.;193
280;Alcoholische leverziekte;Medisch;07;Klass. hosp;3721
280;Alcoholische leverziekte;Medisch;07;Daghosp.;281
281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;Medisch;07;Klass. hosp;4828
281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;Medisch;07;Daghosp.;2805
282;Stoornissen van de pancreas behalve maligne aandoeningen;Medisch;07;Klass. hosp;6741
282;Stoornissen van de pancreas behalve maligne aandoeningen;Medisch;07;Daghosp.;756
283;Andere leverstoornissen;Medisch;07;Klass. hosp;2580
283;Andere leverstoornissen;Medisch;07;Daghosp.;961
284;Stoornissen van de galblaas en de galwegen;Medisch;07;Klass. hosp;10473
284;Stoornissen van de galblaas en de galwegen;Medisch;07;Daghosp.;883
301;Vervanging van heupgewricht;Chirurgisch;08;Klass. hosp;29647
301;Vervanging van heupgewricht;Chirurgisch;08;Daghosp.;27
302;Vervanging van kniegewricht;Chirurgisch;08;Klass. hosp;25372
302;Vervanging van kniegewricht;Chirurgisch;08;Daghosp.;24
303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;Chirurgisch;08;Klass. hosp;381
304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;Chirurgisch;08;Klass. hosp;8997
304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;Chirurgisch;08;Daghosp.;6
305;Amputatie van onderste lidmaat behalve tenen;Chirurgisch;08;Klass. hosp;1175
305;Amputatie van onderste lidmaat behalve tenen;Chirurgisch;08;Daghosp.;13
308;Herstellen van heup en femur fracturen;Chirurgisch;08;Klass. hosp;10805
308;Herstellen van heup en femur fracturen;Chirurgisch;08;Daghosp.;12
309;Andere significante procedures op heup en femur;Chirurgisch;08;Klass. hosp;4049
309;Andere significante procedures op heup en femur;Chirurgisch;08;Daghosp.;1857
310;Excisie en decompressie van discus intervertebralis;Chirurgisch;08;Klass. hosp;18595
310;Excisie en decompressie van discus intervertebralis;Chirurgisch;08;Daghosp.;199
312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;Chirurgisch;08;Klass. hosp;737
312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;Chirurgisch;08;Daghosp.;711
313;Procedures op de knie en het onderbeen, behalve op de voet;Chirurgisch;08;Klass. hosp;19250
313;Procedures op de knie en het onderbeen, behalve op de voet;Chirurgisch;08;Daghosp.;44919
314;Procedures op voet en tenen;Chirurgisch;08;Klass. hosp;16995
314;Procedures op voet en tenen;Chirurgisch;08;Daghosp.;6961
315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;Chirurgisch;08;Klass. hosp;36296
315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;Chirurgisch;08;Daghosp.;14161
316;Procedures op hand en pols;Chirurgisch;08;Klass. hosp;5519
316;Procedures op hand en pols;Chirurgisch;08;Daghosp.;32093
317;Procedures op pees, spier en andere weke weefsels;Chirurgisch;08;Klass. hosp;10086
317;Procedures op pees, spier en andere weke weefsels;Chirurgisch;08;Daghosp.;10278
320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;Chirurgisch;08;Klass. hosp;9808
320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;Chirurgisch;08;Daghosp.;12322
321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;Chirurgisch;08;Klass. hosp;7281
321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;Chirurgisch;08;Daghosp.;534
322;Vervanging van schouder en elleboog gewricht;Chirurgisch;08;Klass. hosp;1378
322;Vervanging van schouder en elleboog gewricht;Chirurgisch;08;Daghosp.;38
340;Femurfracturen;Medisch;08;Klass. hosp;1724
340;Femurfracturen;Medisch;08;Daghosp.;14
341;Fracturen van het bekken of luxatie van de heup;Medisch;08;Klass. hosp;3579
341;Fracturen van het bekken of luxatie van de heup;Medisch;08;Daghosp.;20
342;Fracturen of luxatie, behalve femur, heup en bekken;Medisch;08;Klass. hosp;9313
342;Fracturen of luxatie, behalve femur, heup en bekken;Medisch;08;Daghosp.;4044
343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;Medisch;08;Klass. hosp;2347
343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;Medisch;08;Daghosp.;1186
344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;Medisch;08;Klass. hosp;1573
344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;Medisch;08;Daghosp.;131
346;Stoornissen van het bindweefsel;Medisch;08;Klass. hosp;3645
346;Stoornissen van het bindweefsel;Medisch;08;Daghosp.;2097
347;Andere stoornissen, breuken en letsels van de rug en van de nek;Medisch;08;Klass. hosp;20985
347;Andere stoornissen, breuken en letsels van de rug en van de nek;Medisch;08;Daghosp.;62634
349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;Medisch;08;Klass. hosp;2457
349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;Medisch;08;Daghosp.;529
351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;Medisch;08;Klass. hosp;14566
351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;Medisch;08;Daghosp.;9122
361;Huidgreffe voor huid en subcutaan weefsel diagnosen;Chirurgisch;09;Klass. hosp;5509
361;Huidgreffe voor huid en subcutaan weefsel diagnosen;Chirurgisch;09;Daghosp.;10094
362;Mastectomie procedures;Chirurgisch;09;Klass. hosp;4872
362;Mastectomie procedures;Chirurgisch;09;Daghosp.;342
363;Procedures op de borst, behalve mastectomie;Chirurgisch;09;Klass. hosp;15981
363;Procedures op de borst, behalve mastectomie;Chirurgisch;09;Daghosp.;6249
364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;Chirurgisch;09;Klass. hosp;7926
364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;Chirurgisch;09;Daghosp.;8122
380;Huidulcera;Medisch;09;Klass. hosp;2075
380;Huidulcera;Medisch;09;Daghosp.;105
381;Majeure aandoeningen van de huid;Medisch;09;Klass. hosp;776
381;Majeure aandoeningen van de huid;Medisch;09;Daghosp.;531
382;Maligne aandoeningen van de mamma;Medisch;09;Klass. hosp;1211
382;Maligne aandoeningen van de mamma;Medisch;09;Daghosp.;4371
383;Cellulitis en andere huidinfecties;Medisch;09;Klass. hosp;12743
383;Cellulitis en andere huidinfecties;Medisch;09;Daghosp.;2570
384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;Medisch;09;Klass. hosp;7769
384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;Medisch;09;Daghosp.;3560
385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;Medisch;09;Klass. hosp;5084
385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;Medisch;09;Daghosp.;17916
401;Procedures op bijnieren en hypofyse;Chirurgisch;10;Klass. hosp;582
403;Procedures voor obesitas;Chirurgisch;10;Klass. hosp;15858
403;Procedures voor obesitas;Chirurgisch;10;Daghosp.;167
404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;Chirurgisch;10;Klass. hosp;7198
404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;Chirurgisch;10;Daghosp.;52
405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;Chirurgisch;10;Klass. hosp;316
405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;Chirurgisch;10;Daghosp.;17
420;Diabetes;Medisch;10;Klass. hosp;11481
420;Diabetes;Medisch;10;Daghosp.;42
421;Malnutritie,  ^{unicode 201C}failure to thrive^{unicode 201D} en andere nutritionele stoornissen;Medisch;10;Klass. hosp;6635
421;Malnutritie,  ^{unicode 201C}failure to thrive^{unicode 201D} en andere nutritionele stoornissen;Medisch;10;Daghosp.;2233
