drg_34;drg_beschrijving;mdc_34;mdc_beschrijving;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
93;Procedures op sinussen en mastoïd;3;Neus, keel en oren;Chirurgisch;4.787;3.863
95;Palatoplastie en herstel van hazelip;3;Neus, keel en oren;Chirurgisch;166;19
97;Procedures op tonsillen en adenoïden;3;Neus, keel en oren;Chirurgisch;7.584;31.348
98;Andere procedures op oren, neus, mond en keel;3;Neus, keel en oren;Chirurgisch;13.430;37.652
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;3;Neus, keel en oren;Medisch;1.593;1.486
111;Vertigo en andere labyrintstoornissen;3;Neus, keel en oren;Medisch;5.791;64
113;Infecties bovenste luchtwegen;3;Neus, keel en oren;Medisch;23.633;907
114;Dentale en orale ziekten en letsels;3;Neus, keel en oren;Medisch;4.424;119.410
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Neus, keel en oren;Medisch;63.276;8.057
120;Majeure thoracale en respiratoire procedures;4;Ademhalingsstelsel;Chirurgisch;3.606;291
121;Andere respiratoire en thoracale procedures;4;Ademhalingsstelsel;Chirurgisch;3.971;415
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Ademhalingsstelsel;Medisch;985;0
131;Mucoviscidose (cystic fibrosis) - longziekte;4;Ademhalingsstelsel;Medisch;877;35
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Ademhalingsstelsel;Medisch;116;7
133;Respiratoire insufficiëntie;4;Ademhalingsstelsel;Medisch;1.097;9
134;Longembolie;4;Ademhalingsstelsel;Medisch;5.456;19
135;Majeur thoracaal en respiratoir trauma;4;Ademhalingsstelsel;Medisch;3.916;13
136;Maligne respiratoire aandoening;4;Ademhalingsstelsel;Medisch;8.134;4.818
137;Majeure respiratoire infecties en inflammaties;4;Ademhalingsstelsel;Medisch;8.861;238
138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Ademhalingsstelsel;Medisch;13.145;36
139;Andere pneumonie;4;Ademhalingsstelsel;Medisch;33.209;168
140;Chronische obstructieve longaandoeningen;4;Ademhalingsstelsel;Medisch;32.124;945
141;Astma;4;Ademhalingsstelsel;Medisch;5.324;120
142;Interstitiële en alveolaire longziekte;4;Ademhalingsstelsel;Medisch;2.016;422
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;5.953;1.380
144;Respiratoire tekens, symptomen en mineure diagnosen;4;Ademhalingsstelsel;Medisch;23.725;3.992
160;Majeur cardiothoracaal herstel van hartanomalie;5;Hart en vaatstelsel;Chirurgisch;127;0
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Hart en vaatstelsel;Chirurgisch;1.761;17
162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;534;0
163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;3.608;< 5
165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;1.021;0
166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;5;Hart en vaatstelsel;Chirurgisch;4.446;< 5
167;Andere cardiothoracale procedures en thoracovasculaire procedures;5;Hart en vaatstelsel;Chirurgisch;3.453;208
169;Majeure abdominale vasculaire procedures;5;Hart en vaatstelsel;Chirurgisch;2.255;26
170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;5;Hart en vaatstelsel;Chirurgisch;383;< 5
171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;5;Hart en vaatstelsel;Chirurgisch;6.893;22
174;Percutane coronaire procedures met acuut myocardinfarct;5;Hart en vaatstelsel;Chirurgisch;9.135;520
175;Percutane coronaire procedures zonder acuut myocardinfarct;5;Hart en vaatstelsel;Chirurgisch;29.204;2.163
176;Vervangen van pacemaker of defibrillator;5;Hart en vaatstelsel;Chirurgisch;2.286;394
177;Revisie van pacemaker of defibrillator behalve toestel vervanging;5;Hart en vaatstelsel;Chirurgisch;787;81
180;Andere procedures op het circulatoire systeem;5;Hart en vaatstelsel;Chirurgisch;2.855;19.858
181;Procedures op de arteries van de onderste ledematen;5;Hart en vaatstelsel;Chirurgisch;18.840;1.393
182;Andere perifere vasculaire procedures;5;Hart en vaatstelsel;Chirurgisch;4.734;4.627
190;Acuut myocardinfarct;5;Hart en vaatstelsel;Medisch;7.038;632
191;Hartkatheterisatie voor coronaire condities;5;Hart en vaatstelsel;Medisch;12.312;15.671
192;Hartkatheterisatie voor andere niet-coronaire condities;5;Hart en vaatstelsel;Medisch;14.418;6.833
193;Acute en subacute endocarditis;5;Hart en vaatstelsel;Medisch;217;< 5
194;Hartfalen;5;Hart en vaatstelsel;Medisch;24.147;68
196;Hartstilstand en shock;5;Hart en vaatstelsel;Medisch;1.090;77
197;Perifere en andere vasculaire stoornissen;5;Hart en vaatstelsel;Medisch;5.330;1.944
198;Angina pectoris en coronaire atherosclerose;5;Hart en vaatstelsel;Medisch;4.150;118
199;Hypertensie;5;Hart en vaatstelsel;Medisch;2.722;73
200;Structurele hartaandoeningen en kleplijden;5;Hart en vaatstelsel;Medisch;1.359;208
201;Hartaritmie en geleidingsstoornissen;5;Hart en vaatstelsel;Medisch;19.229;7.134
203;Thoracale pijn;5;Hart en vaatstelsel;Medisch;4.500;170
204;Syncope en collaps;5;Hart en vaatstelsel;Medisch;11.154;136
205;Cardiomyopathie;5;Hart en vaatstelsel;Medisch;412;16
206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;5;Hart en vaatstelsel;Medisch;1.314;433
207;Andere diagnosen van het circulatoir stelsel;5;Hart en vaatstelsel;Medisch;5.536;464
220;Majeure procedures op oesofagus, maag en duodenum;6;Spijsverteringsstelsel;Chirurgisch;3.833;305
221;Majeure procedures op dunne en dikke darm;6;Spijsverteringsstelsel;Chirurgisch;15.882;135
222;Andere procedures op oesofagus, maag en duodenum;6;Spijsverteringsstelsel;Chirurgisch;4.925;710
223;Andere procedures op dunne en dikke darm;6;Spijsverteringsstelsel;Chirurgisch;4.291;2.609
224;Peritoneale adhesiolyse;6;Spijsverteringsstelsel;Chirurgisch;1.745;111
225;Appendectomie;6;Spijsverteringsstelsel;Chirurgisch;13.144;290
226;Anale procedures;6;Spijsverteringsstelsel;Chirurgisch;6.466;10.432
227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;6;Spijsverteringsstelsel;Chirurgisch;8.245;3.207
228;Procedures voor hernia inguinalis, femoralis en umbilicalis;6;Spijsverteringsstelsel;Chirurgisch;14.529;12.760
229;Andere procedures op het spijsverteringsstelsel en abdomen;6;Spijsverteringsstelsel;Chirurgisch;3.138;918
240;Maligne aandoeningen van het spijsverteringsstelsel;6;Spijsverteringsstelsel;Medisch;7.024;8.286
241;Peptisch ulcus en gastritis;6;Spijsverteringsstelsel;Medisch;7.802;16.852
242;Majeure slokdarmstoornissen;6;Spijsverteringsstelsel;Medisch;736;442
243;Andere slokdarmstoornissen;6;Spijsverteringsstelsel;Medisch;6.808;19.334
244;Diverticulitis en diverticulosis;6;Spijsverteringsstelsel;Medisch;9.951;22.583
245;Inflammatoire darmziekte;6;Spijsverteringsstelsel;Medisch;3.530;9.586
246;Gastro-intestinale vasculaire insufficiëntie;6;Spijsverteringsstelsel;Medisch;1.365;149
247;Intestinale obstructie;6;Spijsverteringsstelsel;Medisch;8.387;528
248;Majeure gastro-intestinale en peritoneale infecties;6;Spijsverteringsstelsel;Medisch;5.264;131
249;Andere gastro-enteritis, misselijkheid en braken;6;Spijsverteringsstelsel;Medisch;31.360;8.242
251;Abdominale pijn;6;Spijsverteringsstelsel;Medisch;5.936;8.550
252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;6;Spijsverteringsstelsel;Medisch;2.662;925
253;Andere en niet gespecificeerde gastro-intestinale hemorragie;6;Spijsverteringsstelsel;Medisch;2.894;2.196
254;Andere diagnosen van spijsverteringsstelsel;6;Spijsverteringsstelsel;Medisch;21.140;100.893
260;Majeure pancreas-, lever- en shuntprocedures;7;Lever, gal en pancreas;Chirurgisch;2.770;128
261;Majeure procedures op de galwegen;7;Lever, gal en pancreas;Chirurgisch;1.519;115
262;Cholecystectomie, behalve laparoscopisch;7;Lever, gal en pancreas;Chirurgisch;505;155
263;Laparoscopische cholecystectomie;7;Lever, gal en pancreas;Chirurgisch;20.106;1.823
264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;7;Lever, gal en pancreas;Chirurgisch;2.843;1.125
279;Hepatisch coma en andere majeure acute leverstoornissen;7;Lever, gal en pancreas;Medisch;1.428;171
280;Alcoholische leverziekte;7;Lever, gal en pancreas;Medisch;3.771;282
281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;7;Lever, gal en pancreas;Medisch;4.946;2.962
282;Stoornissen van de pancreas behalve maligne aandoeningen;7;Lever, gal en pancreas;Medisch;7.038;885
283;Andere leverstoornissen;7;Lever, gal en pancreas;Medisch;2.722;1.125
284;Stoornissen van de galblaas en de galwegen;7;Lever, gal en pancreas;Medisch;10.767;948
301;Vervanging van heupgewricht;8;Bewegingsstelsel en bindweefsel;Chirurgisch;31.155;30
302;Vervanging van kniegewricht;8;Bewegingsstelsel en bindweefsel;Chirurgisch;26.855;44
303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;412;0
304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;7.963;< 5
305;Amputatie van onderste lidmaat behalve tenen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;1.249;5
308;Herstellen van heup en femur fracturen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;11.138;14
309;Andere significante procedures op heup en femur;8;Bewegingsstelsel en bindweefsel;Chirurgisch;4.017;2.023
310;Excisie en decompressie van discus intervertebralis;8;Bewegingsstelsel en bindweefsel;Chirurgisch;17.579;194
312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;765;675
313;Procedures op de knie en het onderbeen, behalve op de voet;8;Bewegingsstelsel en bindweefsel;Chirurgisch;18.313;41.298
314;Procedures op voet en tenen;8;Bewegingsstelsel en bindweefsel;Chirurgisch;16.716;8.098
315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;8;Bewegingsstelsel en bindweefsel;Chirurgisch;36.827;15.514
316;Procedures op hand en pols;8;Bewegingsstelsel en bindweefsel;Chirurgisch;5.472;33.111
317;Procedures op pees, spier en andere weke weefsels;8;Bewegingsstelsel en bindweefsel;Chirurgisch;10.490;10.694
320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;8;Bewegingsstelsel en bindweefsel;Chirurgisch;11.556;10.947
321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;8;Bewegingsstelsel en bindweefsel;Chirurgisch;7.036;82
322;Vervanging van schouder en elleboog gewricht;8;Bewegingsstelsel en bindweefsel;Chirurgisch;1.437;43
340;Femurfracturen;8;Bewegingsstelsel en bindweefsel;Medisch;1.745;12
341;Fracturen van het bekken of luxatie van de heup;8;Bewegingsstelsel en bindweefsel;Medisch;3.661;12
342;Fracturen of luxatie, behalve femur, heup en bekken;8;Bewegingsstelsel en bindweefsel;Medisch;8.812;3.874
343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;8;Bewegingsstelsel en bindweefsel;Medisch;2.423;1.396
344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;8;Bewegingsstelsel en bindweefsel;Medisch;1.762;114
346;Stoornissen van het bindweefsel;8;Bewegingsstelsel en bindweefsel;Medisch;3.478;2.710
347;Andere stoornissen, breuken en letsels van de rug en van de nek;8;Bewegingsstelsel en bindweefsel;Medisch;19.014;44.670
349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;8;Bewegingsstelsel en bindweefsel;Medisch;2.509;539
351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;8;Bewegingsstelsel en bindweefsel;Medisch;14.061;9.208
361;Huidgreffe voor huid en subcutaan weefsel diagnosen;9;Huid, subcutis, borstklier;Chirurgisch;5.068;10.462
362;Mastectomie procedures;9;Huid, subcutis, borstklier;Chirurgisch;4.892;429
363;Procedures op de borst, behalve mastectomie;9;Huid, subcutis, borstklier;Chirurgisch;15.735;6.554
364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;9;Huid, subcutis, borstklier;Chirurgisch;7.794;8.127
380;Huidulcera;9;Huid, subcutis, borstklier;Medisch;1.978;148
381;Majeure aandoeningen van de huid;9;Huid, subcutis, borstklier;Medisch;821;594
382;Maligne aandoeningen van de mamma;9;Huid, subcutis, borstklier;Medisch;1.178;4.598
383;Cellulitis en andere huidinfecties;9;Huid, subcutis, borstklier;Medisch;13.268;2.882
384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;9;Huid, subcutis, borstklier;Medisch;7.708;3.622
385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;9;Huid, subcutis, borstklier;Medisch;5.334;19.108
401;Procedures op bijnieren en hypofyse;10;Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;633;5
403;Procedures voor obesitas;10;Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;16.170;388
404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;6.834;45
405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;363;40
420;Diabetes;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;11.142;61
421;Malnutritie,  “failure to thrive” en andere nutritionele stoornissen;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;6.365;1.872
422;Hypovolemie en gerelateerde electrolytenstoornissen;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;5.498;< 5
423;Congenitale afwijkingen van het metabolisme;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;518;280
424;Andere endocriene stoornissen;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;3.401;280
425;Andere elektrolytenstoornissen behalve in verband met hypovolemie;10;Endocriene, voedings- en stofwisselingsziekten;Medisch;4.294;21
440;Niertransplantatie;11;Nieren en urinewegen;Chirurgisch;504;0
441;Majeure procedures op de blaas;11;Nieren en urinewegen;Chirurgisch;1.640;106
442;Procedures op nier en urinewegen voor maligne aandoening;11;Nieren en urinewegen;Chirurgisch;2.211;47
443;Procedures op nier en urinewegen voor niet maligne aandoening;11;Nieren en urinewegen;Chirurgisch;9.676;9.057
444;Procedure enkel voor het aanleggen van een dialyse toegangsweg toestel;11;Nieren en urinewegen;Chirurgisch;889;407
445;Andere procedures op de blaas;11;Nieren en urinewegen;Chirurgisch;1.423;422
446;Transurethrale en urethrale procedures;11;Nieren en urinewegen;Chirurgisch;13.990;4.050
447;Andere procedures op nieren, urinewegen en gerelateerde procedures;11;Nieren en urinewegen;Chirurgisch;532;121
461;Maligne aandoening van de nier en urinewegen;11;Nieren en urinewegen;Medisch;1.966;3.750
462;Nefritis en nefrose;11;Nieren en urinewegen;Medisch;935;237
463;Infecties van de nier en de urinewegen;11;Nieren en urinewegen;Medisch;24.552;1.045
465;Urinaire stenen en verworven bovenste urinewegobstructie;11;Nieren en urinewegen;Medisch;11.674;12.427
466;Dysfunctie, reactie op en complicatie van genito-urinair toestel of procedure;11;Nieren en urinewegen;Medisch;2.706;521
468;Andere nier en urinewegen diagnosen, tekens en symptomen;11;Nieren en urinewegen;Medisch;10.777;19.960
469;Acute nierziekten;11;Nieren en urinewegen;Medisch;2.725;22
470;Chronische nierziekten;11;Nieren en urinewegen;Medisch;2.707;759
480;Majeure procedures in het kleine bekken bij de man;12;Mannelijke geslachtsorganen;Chirurgisch;4.114;6
481;Procedures op de penis;12;Mannelijke geslachtsorganen;Chirurgisch;1.187;2.665
482;Transurethrale prostatectomie;12;Mannelijke geslachtsorganen;Chirurgisch;8.121;76
483;Procedures op de testes en het scrotum;12;Mannelijke geslachtsorganen;Chirurgisch;2.179;5.613
484;Andere procedures op het mannelijk voortplantingsstelsel en gerelateerde procedures;12;Mannelijke geslachtsorganen;Chirurgisch;2.089;317
500;Maligne aandoening van het mannelijk voortplantingsstelsel;12;Mannelijke geslachtsorganen;Medisch;1.336;3.358
501;Diagnosen van het mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;Mannelijke geslachtsorganen;Medisch;5.495;40.377
510;Evisceratie van het kleine bekken, radicale hysterectomie en andere radicale gynaecologische procedures;13;Vrouwelijke geslachtsorganen;Chirurgisch;931;< 5
511;Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;Vrouwelijke geslachtsorganen;Chirurgisch;673;66
512;Procedures op uterus/adnexen voor maligne aandoening behalve ovaria en adnexen;13;Vrouwelijke geslachtsorganen;Chirurgisch;1.155;101
513;Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;Vrouwelijke geslachtsorganen;Chirurgisch;13.582;9.441
514;Reconstructieve procedures op het vrouwelijke voortplantingsstelsel;13;Vrouwelijke geslachtsorganen;Chirurgisch;4.523;559
517;Dilatatie en curettage voor niet-verloskundige diagnosen;13;Vrouwelijke geslachtsorganen;Chirurgisch;657;7.324
518;Andere procedures op het vrouwelijke voortplantingsstelsel en gerelateerde procedures;13;Vrouwelijke geslachtsorganen;Chirurgisch;1.953;5.333
519;Procedures op uterus/adnexen voor leiomyoma;13;Vrouwelijke geslachtsorganen;Chirurgisch;4.645;1.112
530;Maligne aandoening van het vrouwelijke voortplantingsstelsel;13;Vrouwelijke geslachtsorganen;Medisch;1.312;1.343
531;Infecties van het vrouwelijke voortplantingsstelsel;13;Vrouwelijke geslachtsorganen;Medisch;870;353
532;Menstruatiestoornissen en andere stoornissen van het vrouwelijke voortplantingsstelsel;13;Vrouwelijke geslachtsorganen;Medisch;1.843;10.154
540;Bevalling met sectio caesarea;14;Zwangerschap en bevalling;Chirurgisch;24.897;79
541;Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;Zwangerschap en bevalling;Chirurgisch;2.677;127
542;Vaginale bevalling met gecompliceerde procedures behalve sterilisatie en/of dilatatie en curettage;14;Zwangerschap en bevalling;Chirurgisch;1.693;19
544;Dilatatie en curettage, aspiratie curettage of hysterotomie voor verloskundige diagnosen;14;Zwangerschap en bevalling;Chirurgisch;1.554;8.797
545;Procedure voor ectopische zwangerschap;14;Zwangerschap en bevalling;Chirurgisch;1.291;138
546;Andere operatiezaal procedures voor verloskundige diagnosen behalve bevalling;14;Zwangerschap en bevalling;Chirurgisch;500;329
560;Vaginale bevalling;14;Zwangerschap en bevalling;Medisch;88.053;1.883
561;Diagnosen in het postpartum en post abortus, zonder ingrepen;14;Zwangerschap en bevalling;Medisch;1.880;97
563;Vroegtijdige arbeid;14;Zwangerschap en bevalling;Medisch;3.565;14
564;Abortus, zonder dilatatie en curettage, aspiratie curettage of hysterotomie;14;Zwangerschap en bevalling;Medisch;879;213
565;Valse arbeid;14;Zwangerschap en bevalling;Medisch;1.176;16
566;Andere diagnosen in het antepartum;14;Zwangerschap en bevalling;Medisch;12.735;1.984
580;Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;Neonati, perinatale aandoeningen;Medisch;177;< 5
581;Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;Neonati, perinatale aandoeningen;Medisch;31;6
583;Pasgeborene, met extracorporele membraanoxygenatie (ECMO);15;Neonati, perinatale aandoeningen;Chirurgisch;21;0
588;Pasgeborene, geboortegewicht < 1 500 g met majeure procedure;15;Neonati, perinatale aandoeningen;Chirurgisch;98;0
589;Pasgeborene, geboortegewicht < 500 g of zwangerschapsduur < 24 weken;15;Neonati, perinatale aandoeningen;Medisch;43;0
591;Pasgeborene, geboortegewicht 500-749 g zonder majeure procedure;15;Neonati, perinatale aandoeningen;Medisch;104;0
593;Pasgeborene, geboortegewicht 750-999 g zonder majeure procedure;15;Neonati, perinatale aandoeningen;Medisch;244;0
602;Pasgeborene, geboortegewicht 1 000-1 249 g met respiratoire distress syndroom/andere majeure respiratoire anomalie of majeure anomalie;15;Neonati, perinatale aandoeningen;Medisch;185;0
603;Pasgeborene, geboortegewicht 1 000-1 249 g met of zonder andere significante aandoening;15;Neonati, perinatale aandoeningen;Medisch;64;0
607;Pasgeborene, geboortegewicht 1 250-1 499 g met respiratoire distress syndroom/andere majeure respiratoire of majeure anomalie;15;Neonati, perinatale aandoeningen;Medisch;326;0
608;Pasgeborene, geboortegewicht 1 250-1 499 g met of zonder andere significante aandoening;15;Neonati, perinatale aandoeningen;Medisch;116;0
609;Pasgeborene, geboortegewicht 1 500-2 499 g met majeure procedure;15;Neonati, perinatale aandoeningen;Chirurgisch;100;0
611;Pasgeborene, geboortegewicht 1 500-1 999 g met majeure anomalie;15;Neonati, perinatale aandoeningen;Medisch;172;0
612;Pasgeborene, geboortegewicht 1 500-1 999 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Neonati, perinatale aandoeningen;Medisch;357;0
613;Pasgeborene, geboortegewicht 1 500-1 999 g met congenitale of perinatale infecties;15;Neonati, perinatale aandoeningen;Medisch;55;0
614;Andere pasgeborene, geboortegewicht 1 500-1 999 g met of zonder andere significante aandoening;15;Neonati, perinatale aandoeningen;Medisch;425;0
621;Pasgeborene, geboortegewicht 2 000-2 499 g met majeure anomalie;15;Neonati, perinatale aandoeningen;Medisch;164;0
622;Pasgeborene, geboortegewicht 2 000-2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Neonati, perinatale aandoeningen;Medisch;307;0
623;Pasgeborene, geboortegewicht 2 000-2 499 g met congenitale of perinatale infectie;15;Neonati, perinatale aandoeningen;Medisch;46;0
625;Pasgeborene, geboortegewicht 2 000-2 499 g, hier geboren, met andere significante aandoening;15;Neonati, perinatale aandoeningen;Medisch;218;0
626;Pasgeborene, geboortegewicht 2 000-2 499 g, normale pasgeborene of pasgeborene met ander probleem;15;Neonati, perinatale aandoeningen;Medisch;496;0
630;Pasgeborene, geboortegewicht > 2 499 g met majeure cardiovasculaire procedures;15;Neonati, perinatale aandoeningen;Chirurgisch;116;0
631;Pasgeborene, geboortegewicht > 2 499 g met andere majeure procedure;15;Neonati, perinatale aandoeningen;Chirurgisch;125;0
633;Pasgeborene, geboortegewicht > 2 499 g met majeure anomalie;15;Neonati, perinatale aandoeningen;Medisch;474;0
634;Pasgeborene, geboortegewicht > 2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Neonati, perinatale aandoeningen;Medisch;680;0
636;Pasgeborene, geboortegewicht > 2 499 g met congenitale of perinatale infecties;15;Neonati, perinatale aandoeningen;Medisch;234;0
639;Pasgeborene, geboortegewicht > 2 499 g hier geboren, met andere significante aandoening;15;Neonati, perinatale aandoeningen;Medisch;732;0
640;Pasgeborene, geboortegewicht > 2 499 g, normale pasgeborene of met ander probleem;15;Neonati, perinatale aandoeningen;Medisch;2.153;15
650;Splenectomie;16;Bloed en bloedvormende organen;Chirurgisch;191;0
651;Andere procedures op bloed en bloedvormende organen;16;Bloed en bloedvormende organen;Chirurgisch;809;850
660;Majeure hemato-/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;16;Bloed en bloedvormende organen;Medisch;4.070;4.756
661;Bloedstollingsstoornissen en bloedplaatjes;16;Bloed en bloedvormende organen;Medisch;1.174;1.724
662;Crisis van sikkelcelanemie;16;Bloed en bloedvormende organen;Medisch;939;63
663;Andere anemia en bloedstoornissen en hematopoietische organen;16;Bloed en bloedvormende organen;Medisch;10.341;19.773
