région;drg_34;libellé_drg;mdc_34;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
Région flamande;80;Infections aiguës majeures de l'œil;2;Médical;408;13
Région flamande;82;Troubles oculaires excepté infections majeures;2;Médical;1674;2130
Région flamande;89;Procédures majeures sur les os de la face et du crâne;3;Chirurgical;1296;24124
Région flamande;90;Procédures majeures du larynx et de la trachée;3;Chirurgical;141;88
Région flamande;91;Autres procédures majeures de la tête et du cou;3;Chirurgical;446;35
Région flamande;92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Chirurgical;3928;22509
Région flamande;93;Procédures sur sinus et mastoïde;3;Chirurgical;3091;3023
Région flamande;95;Réparation de la fente labiale et du palais;3;Chirurgical;70;17
Région flamande;97;Procédures sur amygdales et végétations;3;Chirurgical;4709;17365
Région flamande;98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Chirurgical;7523;29176
Région flamande;110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;664;826
Région flamande;111;Vertige et autres troubles labyrinthiques;3;Médical;4400;28
Région flamande;113;Infection des voies aériennes supérieures;3;Médical;15278;572
Région flamande;114;Maladies et lésions dentaires et buccales;3;Médical;2530;90829
Région flamande;115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;34637;5632
Région flamande;120;Interventions majeures sur le système respiratoire et le thorax;4;Chirurgical;2131;121
Région flamande;121;Autres interventions sur le système respiratoire et le thorax;4;Chirurgical;2127;244
Région flamande;130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Médical;402;0
Région flamande;131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Médical;521;25
Région flamande;132;Dysplasie bronchopulmonaire et autres maladies respiratoires chroniques apparaissant en période périnatale;4;Médical;77;< 5
Région flamande;133;Insuffisance respiratoire;4;Médical;531;< 5
Région flamande;134;Embolie pulmonaire;4;Médical;2985;14
Région flamande;135;Traumatisme majeur thoracique et respiratoire;4;Médical;2484;10
Région flamande;136;Affection maligne respiratoire;4;Médical;4563;3142
Région flamande;137;Inflammations et infections majeures du système respiratoire;4;Médical;4495;143
Région flamande;138;Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);4;Médical;7814;23
Région flamande;139;Autre pneumonie;4;Médical;19660;97
Région flamande;140;Maladie pulmonaire obstructive chronique;4;Médical;17708;442
Région flamande;141;Asthme;4;Médical;2741;70
Région flamande;142;Maladie pulmonaire interstitielle et alvéolaire;4;Médical;1074;254
Région flamande;143;Autres diagnostics respiratoires excepté les signes, symptômes et diagnostics mineurs;4;Médical;2706;666
Région flamande;144;Signes respiratoires, symptômes et diagnostics mineurs;4;Médical;13806;2844
Région flamande;160;Réparation majeure d'anomalie cardiaque par voie cardiothoracique;5;Chirurgical;50;0
Région flamande;161;Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;5;Chirurgical;1205;10
Région flamande;162;Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou diagnostic principal complexe;5;Chirurgical;343;0
Région flamande;163;Procédures sur les valves cardiaques sans cathétérisme cardiaque ni diagnostic principal complexe;5;Chirurgical;2002;0
Région flamande;165;Pontage coronarien avec infarctus aigu du myocarde ou diagnostic principal complexe;5;Chirurgical;547;< 5
Région flamande;166;Pontage coronarien sans infarctus aigu du myocarde ni disgnostic principal complexe;5;Chirurgical;2496;0
Région flamande;167;Autres procédures cardiothoraciques et thoracovasculaires;5;Chirurgical;2050;136
Région flamande;169;Procédures vasculaires abdominales majeures;5;Chirurgical;1055;19
Région flamande;170;Implantation de pacemaker permanent avec infarctus aigu du myocarde, décompensation cardiaque ou choc;5;Chirurgical;278;0
Région flamande;171;Implantation de pacemaker permanent sans infarctus aigu du myocarde ni décompensation cardiaque ni choc;5;Chirurgical;4081;7
Région flamande;174;Procédures coronariennes percutanées avec infarctus aigu du myocarde;5;Chirurgical;5130;357
Région flamande;175;Procédures coronariennes percutanées sans infarctus aigu du myocarde;5;Chirurgical;19171;2164
Région flamande;176;Remplacement de pacemaker et de défibrillateur cardiaque;5;Chirurgical;1342;178
Région flamande;177;Révision de pacemaker et de défibrillateur cardiaque excepté remplacement d'appareil;5;Chirurgical;494;16
Région flamande;180;Autres procédures sur le système circulatoire;5;Chirurgical;1485;14267
Région flamande;181;Procédures sur les artères des membres inférieurs;5;Chirurgical;12055;1084
Région flamande;182;Autres procédures sur les vaisseaux périphériques;5;Chirurgical;2669;2264
Région flamande;190;Infarctus aigu du myocarde;5;Médical;4034;500
Région flamande;191;Cathétérisme cardiaque pour maladie coronarienne;5;Médical;6276;14286
Région flamande;192;Cathétérisme cardiaque pour autre maladie non coronarienne;5;Médical;8237;6108
Région flamande;193;Endocardite aiguë et subaiguë;5;Médical;116;< 5
Région flamande;194;Insuffisance cardiaque;5;Médical;14616;66
Région flamande;196;Arrêt cardiaque et choc;5;Médical;494;119
Région flamande;197;Troubles vasculaires périphériques et autres;5;Médical;2726;1130
Région flamande;198;Angine de poitrine et athérosclérose coronarienne;5;Médical;2471;54
Région flamande;199;Hypertension;5;Médical;1423;21
Région flamande;200;Maladies cardiaques structurelles et valvulaires;5;Médical;743;154
Région flamande;201;Arythmie cardiaque et troubles de conduction;5;Médical;11506;5521
Région flamande;203;Douleur thoracique;5;Médical;2996;77
Région flamande;204;Syncope et collapsus;5;Médical;7610;82
Région flamande;205;Cardiomyopathie;5;Médical;247;8
Région flamande;206;Dysfonctionnement, réaction et complication en rapport avec du matériel ou une procédure cardiaques ou vasculaires;5;Médical;723;296
Région flamande;207;Autres diagnostics du système circulatoire;5;Médical;3143;380
Région flamande;220;Procédures majeures sur œsophage, estomac et duodénum;6;Chirurgical;1841;175
Région flamande;221;Procédures majeures sur l'intestin grêle et le gros intestin;6;Chirurgical;9786;86
Région flamande;222;Autres procédures surœsophage, estomac et duodénum;6;Chirurgical;2289;356
Région flamande;223;Autres procédures sur l'intestin grêle et le gros intestin;6;Chirurgical;2385;1350
Région flamande;224;Lyse d'adhérences péritonéales;6;Chirurgical;1038;98
Région flamande;225;Appendicectomie;6;Chirurgical;7358;230
Région flamande;226;Procédures sur l'anus;6;Chirurgical;3251;7383
Région flamande;227;Procédures pour hernie excepté hernies inguinale, fémorale et ombilicale;6;Chirurgical;3770;2212
Région flamande;228;Procédures pour hernies inguinale, fémorale et ombilicale;6;Chirurgical;6831;9506
Région flamande;229;Autres procédures sur le système digestif et au niveau abdominal;6;Chirurgical;1902;513
Région flamande;240;Affections malignes du tube digestif;6;Médical;3809;5396
Région flamande;241;Ulcère peptique et gastrite;6;Médical;4890;8539
Région flamande;242;Troubles majeurs de l'œsophage;6;Médical;405;293
Région flamande;243;Autres troubles de l'œsophage;6;Médical;3613;10209
Région flamande;244;Diverticulite et diverticulose;6;Médical;5748;12380
Région flamande;245;Maladie inflammatoire de l'intestin;6;Médical;1966;6132
Région flamande;246;Insuffisance vasculaire gastro-intestinale;6;Médical;879;104
Région flamande;247;Obstruction intestinale;6;Médical;5284;244
Région flamande;248;Infections gastro-intestinales et péritonéales majeures;6;Médical;3230;107
Région flamande;249;Autres gastro-entérites, nausées et vomissements;6;Médical;20938;5112
Région flamande;251;Douleur abdominale;6;Médical;3514;4875
Région flamande;252;Dysfonctionnement, réaction et complication en rapport avec une procédure ou du matériel gastro-intestinaux;6;Médical;1528;480
Région flamande;253;Hémorragie gastro-intestinale autre et non spécifiée;6;Médical;1680;1266
Région flamande;254;Autres diagnostics du système digestif;6;Médical;12333;76525
Région flamande;260;Procédures majeures sur pancréas, foie et shunt;7;Chirurgical;1525;76
Région flamande;261;Procédures majeures des voies biliaires;7;Chirurgical;907;77
Région flamande;262;Cholécystectomie excepté par voie laparascopique;7;Chirurgical;206;< 5
Région flamande;263;Cholécystectomie laparoscopique;7;Chirurgical;10892;1451
Région flamande;264;Autres procédures abdominales, sur système hépatobiliaire et pancréas;7;Chirurgical;1484;405
Région flamande;279;Coma hépatique et autres troubles hépatiques majeurs aigus;7;Médical;818;80
Région flamande;280;Maladie hépatique alcoolique;7;Médical;1801;199
Région flamande;281;Affections malignes du système hépatobiliaire et du pancréas;7;Médical;2627;1996
Région flamande;282;Troubles du pancréas excepté affections malignes;7;Médical;3388;449
Région flamande;283;Autres troubles du foie;7;Médical;1364;776
Région flamande;284;Troubles de la vésicule biliaire et des voies biliaires;7;Médical;6375;530
Région flamande;301;Remplacement d'articulation de la hanche;8;Chirurgical;19562;8
Région flamande;302;Remplacement d'articulation du genou;8;Chirurgical;17530;24
Région flamande;303;Arthrodèse dorsolombaire pour déviation du dos;8;Chirurgical;272;0
Région flamande;304;Arthrodèse dorsolombaire excepté déviation du dos;8;Chirurgical;5331;5
Région flamande;305;Amputation des membres inférieurs, excepté amputation des seuls orteils;8;Chirurgical;580;7
Région flamande;308;Réparation de fractures de la hanche et du fémur;8;Chirurgical;6117;7
Région flamande;309;Autres chirurgies significatives de la hanche et du fémur;8;Chirurgical;2457;1397
Région flamande;310;Excision et décompression de disque intervertébral;8;Chirurgical;10437;222
Région flamande;312;Greffe cutanée, excepté sur la main, pour affections musculo-squelettique et du tissu conjonctif;8;Chirurgical;410;406
Région flamande;313;Procédures au niveau du genou et de la jambe excepté le pied;8;Chirurgical;10966;28611
Région flamande;314;Procédures au niveau du pied et des orteils;8;Chirurgical;9894;5593
Région flamande;315;Procédures au niveau de l'épaule, du bras et de l'avant-bras excepté le remplacement d'une articulation;8;Chirurgical;23531;11278
Région flamande;316;Procédures au niveau de la main et du poignet;8;Chirurgical;3591;21338
Région flamande;317;Procédures au niveau des tendons, muscles et autres tissus mous;8;Chirurgical;6347;7485
Région flamande;320;Autres procédures du système musculo-squelettique et du tissu conjonctif;8;Chirurgical;7211;6734
Région flamande;321;Arthrodèse cervicale et autres procédures sur le cou/dos, excepté excision/décompression de disques intervertébraux;8;Chirurgical;4646;52
Région flamande;322;Remplacement de l'articulation de l'épaule et du coude;8;Chirurgical;900;19
Région flamande;340;Fractures du fémur;8;Médical;1019;7
Région flamande;341;Fracture du bassin ou luxation de la hanche;8;Médical;2378;15
Région flamande;342;Fracture ou luxation excepté du fémur, du bassin et du dos;8;Médical;5371;2675
Région flamande;343;Affection maligne musculo-squelletique et fractures pathologiques liées à ce type d'affection;8;Médical;1620;1074
Région flamande;344;Ostéomyélite, arthrite septique et autres infections musculo-squelettiques;8;Médical;1009;50
Région flamande;346;Troubles du tissu conjonctif;8;Médical;2091;1396
Région flamande;347;Autres troubles, fractures et lésions du dos et du cou;8;Médical;12429;13343
Région flamande;349;Dysfonctionnement, réaction et complication dues à du matériel ou à une procédure orthopédique;8;Médical;1407;384
Région flamande;351;Autres diagnostics concernant le système musculo-squelettique et le tissu conjonctif;8;Médical;8009;4696
Région flamande;361;Greffe cutanée pour affections de la peau et du tissu sous-cutané;9;Chirurgical;2901;6827
Région flamande;362;Procédures de mastectomie;9;Chirurgical;2849;288
Région flamande;363;Procédures mammaires, excepté mastectomie;9;Chirurgical;9005;4357
Région flamande;364;Autres interventions sur la peau, les tissus sous-cutanés et apparentés;9;Chirurgical;4251;5350
Région flamande;380;Ulcères cutanés;9;Médical;1077;155
Région flamande;381;Affections majeures de la peau;9;Médical;450;419
Région flamande;382;Affections malignes du sein;9;Médical;560;3710
Région flamande;383;Cellulite et autres infections de la peau;9;Médical;7801;1942
Région flamande;384;Contusion, plaie ouverte et autres traumatismes de la peau et du tissu sous-cutané;9;Médical;4395;2003
Région flamande;385;Autres affections de la peau, du tissu sous-cutané et du sein;9;Médical;3024;10928
Région flamande;401;Procédures sur les surrénales et l'hypophyse;10;Chirurgical;358;< 5
Région flamande;403;Procédures pour obésité;10;Chirurgical;7195;126
Région flamande;404;Procédures sur la thyroïde, les parathyroïdes et le canal thyréoglosse;10;Chirurgical;3438;31
Région flamande;405;Autres procédures pour troubles endocriniens, nutritionnels et métaboliques;10;Chirurgical;198;21
Région flamande;420;Diabète;10;Médical;6363;38
Région flamande;421;Malnutrition, retard staturopondéral et autres troubles nutritionnels;10;Médical;3726;987
Région flamande;422;Hypovolémie et troubles électrolytiques associés;10;Médical;2920;< 5
Région flamande;423;Anomalies congénitales du métabolisme;10;Médical;268;162
Région flamande;424;Autres troubles endocriniens;10;Médical;1805;156
Région flamande;425;Autres troubles électrolytiques sauf ceux associés à l'hypovolémie;10;Médical;2248;28
Région flamande;440;Transplantation rénale;11;Chirurgical;200;0
Région flamande;441;Procédures majeures sur la vessie;11;Chirurgical;918;65
Région flamande;442;Procédures sur les reins et les voies urinaires pour affections malignes;11;Chirurgical;1436;51
Région flamande;443;Procédures sur les reins et les voies urinaires pour affections bénignes;11;Chirurgical;4581;6450
Région flamande;444;Procédure uniquement pour matériel de voie d'accès de dialyse rénale;11;Chirurgical;388;248
Région flamande;445;Autres procédures sur la vessie;11;Chirurgical;843;273
Région flamande;446;Procédures urétrales et transurétrales;11;Chirurgical;9214;2682
Région flamande;447;Autres procédures du rein, des voies urinaires et apparentées;11;Chirurgical;320;46
Région flamande;461;Affection maligne des reins et des voies urinaires;11;Médical;1043;2615
Région flamande;462;Néphrite et néphrose;11;Médical;531;162
Région flamande;463;Infections des reins et des voies urinaires;11;Médical;13617;734
Région flamande;465;Lithiases urinaires et obstruction acquise du tractus urinaire supérieur;11;Médical;6902;8366
Région flamande;466;Dysfonctionnement, réaction et complication de matériel ou de procédure génito-urinaire;11;Médical;1622;381
Région flamande;468;Autres diagnostics, signes et symptômes du rein et des voies urinaires;11;Médical;6603;13514
Région flamande;469;Lésion aiguë du rein;11;Médical;1356;8
Région flamande;470;Maladie rénale chronique;11;Médical;1226;330
Région flamande;480;Procédures majeures sur le petit bassin chez l'homme;12;Chirurgical;2706;< 5
Région flamande;481;Procédures sur le pénis;12;Chirurgical;618;1456
Région flamande;482;Prostatectomie transurétrale;12;Chirurgical;5554;68
Région flamande;483;Procédures sur les testicules et le scrotum;12;Chirurgical;882;3300
Région flamande;484;Autres interventions sur le système reproducteur masculin et interventions apparentées;12;Chirurgical;1037;145
Région flamande;500;Affections malignes du système reproducteur masculin;12;Médical;704;2565
Région flamande;501;Diagnostics du système reproducteur masculin sauf affections malignes;12;Médical;3161;25980
Région flamande;510;Éviscération pelvienne, hystérectomie radicale et autres procédures gynécologiques radicales;13;Chirurgical;447;< 5
Région flamande;511;Procédures sur l'utérus et ses annexes pour affections malignes des ovaires et des annexes;13;Chirurgical;422;47
Région flamande;512;Procédures sur l'utérus et ses annexes pour affections malignes excepté celles des ovaires et des annexes;13;Chirurgical;650;58
Région flamande;513;Procédures sur l'utérus et ses annexes pour affection non maligne excepté léiomyome;13;Chirurgical;6758;5552
Région flamande;514;Procédures reconstructrices du système reproducteur féminin;13;Chirurgical;2984;521
Région flamande;517;Dilatation et curetage pour diagnostics non-obstétriques;13;Chirurgical;352;5019
Région flamande;518;Autres procédures sur le système reproducteur féminin et procédures apparentées;13;Chirurgical;1040;2679
Région flamande;519;Procédures sur l'utérus et ses annexes pour léiomyome;13;Chirurgical;2371;616
Région flamande;530;Affection maligne du système reproducteur féminin;13;Médical;706;1080
Région flamande;531;Infections du système reproducteur féminin;13;Médical;460;295
Région flamande;532;Troubles menstruels et autres troubles du système reproducteur féminin;13;Médical;852;6445
Région flamande;540;Accouchement par césarienne;14;Chirurgical;13236;37
Région flamande;541;Accouchement par voie vaginale avec stérilisation et/ou dilatation et curetage;14;Chirurgical;1319;77
Région flamande;542;Accouchement par voie vaginale avec procédure compliquée, excepté stérilisation et dilatation-curetage;14;Chirurgical;1215;12
Région flamande;544;Dilatation et curetage, curetage par aspiration ou hystérotomie pour diagnostics obstétricaux;14;Chirurgical;811;4613
Région flamande;545;Procédure pour grossesse ectopique;14;Chirurgical;651;118
Région flamande;546;Autres procédures opératoires pour diagnostics obstétricaux excepté accouchement;14;Chirurgical;269;138
Région flamande;560;Accouchement par voie vaginale;14;Médical;46663;1139
Région flamande;561;Diagnostics du post-partum et post-avortement, sans procédure;14;Médical;1074;86
Région flamande;563;Travail prématuré;14;Médical;1192;< 5
Région flamande;564;Avortement, sans dilatation-curetage, ni curetage par aspiration, ni hystérotomie;14;Médical;410;133
Région flamande;565;Faux travail;14;Médical;639;8
Région flamande;566;Autres diagnostics en antepartum;14;Médical;7695;1166
Région flamande;580;Nouveau-né, transféré dans les 5 jours, né ailleurs;15;Médical;47;0
Région flamande;581;Nouveau-né, transféré dans les 5 jours, né sur place;15;Médical;16;< 5
Région flamande;583;Nouveau-né, avec oxygénation par membrane extracorporelle (ECMO);15;Chirurgical;9;0
Région flamande;588;Nouveau-né, poids de naissance < 1 500 g avec procédure majeure;15;Chirurgical;51;0
Région flamande;589;Nouveau-né, poids de naissance < 500 g ou âge gestationnel < 24 semaines;15;Médical;8;0
Région flamande;591;Nouveau-né, poids de naissance 500-749 g sans procédure majeure;15;Médical;42;0
Région flamande;593;Nouveau-né, poids de naissance 750-999 g sans procédure majeure;15;Médical;80;0
Région flamande;602;Nouveau-né, poids de naissance 1 000-1 249 g avec syndrome de détresse respiratoire, autre anomalie respiratoire majeure ou anomalie majeure;15;Médical;105;0
Région flamande;603;Nouveau-né, poids de naissance 1 000-1 249 g avec ou sans autre affection significative;15;Médical;27;0
Région flamande;607;Nouveau-né, poids de naissance 1 250-1 499 g avec syndrome de détresse respiratoire, autre anomalie respiratoire majeure ou autre anomalie majeure;15;Médical;129;0
Région flamande;608;Nouveau-né, poids de naissance 1 250-1 499 g avec ou sans autre affection significative;15;Médical;68;0
Région flamande;609;Nouveau-né, poids de naissance 1 500-2 499 g avec procédure majeure;15;Chirurgical;42;0
Région flamande;611;Nouveau-né, poids de naissance 1 500-1 999 g avec anomalie majeure;15;Médical;83;0
Région flamande;612;Nouveau-né, poids de naissance 1 500-1 999 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;142;0
Région flamande;613;Nouveau-né, poids de naissance 1 500-1 999 g avec infection congénitale ou périnatale;15;Médical;15;0
Région flamande;614;Autre nouveau-né, poids de naissance 1 500-1 999 g avec ou sans autre affection significative;15;Médical;176;0
Région flamande;621;Nouveau-né, poids de naissance 2 000-2 499 g avec anomalie majeure;15;Médical;80;0
Région flamande;622;Nouveau-né, poids de naissance 2 000-2 499 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;129;0
Région flamande;623;Nouveau-né, poids de naissance 2 000-2 499 g avec infection congénitale ou périnatale;15;Médical;22;0
Région flamande;625;Nouveau-né, poids de naissance 2 000-2 499 g, né sur place, avec autre affection significative;15;Médical;113;0
Région flamande;626;Nouveau-né, poids de naissance 2 000-2 499 g, normal ou nouveau-né avec autre problème;15;Médical;154;0
Région flamande;630;Nouveau-né, poids de naissance > 2 499 g avec procédure cardiovasculaire majeure;15;Chirurgical;74;0
Région flamande;631;Nouveau-né, poids de naissance > 2 499 g avec autre procédure majeure;15;Chirurgical;57;0
Région flamande;633;Nouveau-né, poids de naissance > 2 499 g avec anomalie majeure;15;Médical;265;0
Région flamande;634;Nouveau-né, poids de naissance > 2 499 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;277;0
Région flamande;636;Nouveau-né, poids de naissance > 2 499 g avec infection congénitale ou périnatale;15;Médical;104;0
Région flamande;639;Nouveau-né, poids de naissance > 2 499 g avec autre affection significative;15;Médical;366;0
Région flamande;640;Nouveau-né, poids de naissance > 2 499 g, normal et avec autres problèmes;15;Médical;1030;6
Région flamande;650;Splénectomie;16;Chirurgical;92;0
Région flamande;651;Autres procédures concernant le sang et les organes hématopoïétiques;16;Chirurgical;484;573
Région flamande;660;Diagnostics hématologiques et immunologiques majeurs excepté crise drépanocytaire et coagulation;16;Médical;2110;3716
Région flamande;661;Troubles de la coagulation et des plaquettes;16;Médical;648;940
Région flamande;662;Crise d'anémie à cellules falciformes;16;Médical;368;27
Région flamande;663;Autres anémies et troubles sanguins, troubles des organes hématopoïétiques;16;Médical;5981;11971
Région flamande;680;Procédures opératoires majeures pour néoplasie lymphatique, hématopoïétique ou autre;17;Chirurgical;542;22
Région flamande;681;Autres procédures opératoires pour néoplasie lymphatique, hématopoïétique ou autre;17;Chirurgical;2176;1111
Région flamande;690;Leucémie aiguë;17;Médical;739;3004
Région flamande;691;Lymphome, myélome et leucémie non aiguë;17;Médical;1859;4988
Région flamande;692;Radiothérapie;17;Médical;178;87
Région flamande;694;Affections malignes lymphatiques et autres et néoplasmes de comportement incertain;17;Médical;1581;9043
Région flamande;695;Chimiothérapie pour leucémie aiguë;17;Médical;770;5394
Région flamande;696;Autre chimiothérapie;17;Médical;14732;263841
Région flamande;710;Infections et maladies parasitaires incluant le HIV avec procédure opératoire;18;Chirurgical;1658;64
Région flamande;711;Infections post-opératoires, post-traumatiques ou d'autre matériel avec procédure opératoire;18;Chirurgical;1466;381
Région flamande;720;Septicémie et infections disséminées;18;Médical;7755;6
Région flamande;721;Infections post-opératoires, post-traumatiques ou d'autre matériel;18;Médical;2549;285
Région flamande;722;Fièvre;18;Médical;2180;10
Région flamande;723;Maladie virale;18;Médical;6439;24
Région flamande;724;Autres maladies infectieuses et parasitaires;18;Médical;2085;154
Région flamande;740;Diagnostic de maladie mentale avec procédure opératoire;19;Chirurgical;575;73
Région flamande;750;Schizophrénie;19;Médical;123;46
Région flamande;751;Troubles dépressifs majeurs et psychoses autres ou non spécifiées;19;Médical;1158;738
Région flamande;752;Troubles de la personnalité et du contrôle des impulsions;19;Médical;104;< 5
Région flamande;753;Troubles bipolaires;19;Médical;566;538
Région flamande;754;Dépression, excepté trouble dépressif majeur;19;Médical;1159;99
Région flamande;755;Troubles de l'ajustement et névroses, excepté diagnostics dépressifs;19;Médical;1377;84
Région flamande;756;États d'anxiété et de délire aigus;19;Médical;1743;12
Région flamande;757;Troubles organiques de la santé mentale;19;Médical;3131;123
Région flamande;758;Troubles comportementaux;19;Médical;183;12
Région flamande;759;Troubles de la nutrition;19;Médical;151;< 5
Région flamande;760;Autres troubles de la santé mentale;19;Médical;2382;221
Région flamande;770;Abus d'alcool et de drogues avec dépendance, sortie contre avis médical;20;Médical;246;< 5
Région flamande;772;Dépendance à l'alcool et aux drogues avec revalidation ou revalidation et désintoxication;20;Médical;283;11
Région flamande;773;Abus d'opiacés et dépendance;20;Médical;262;0
Région flamande;774;Abus de cocaïne et dépendance;20;Médical;288;< 5
Région flamande;775;Abus d'alcool et dépendance;20;Médical;4288;17
Région flamande;776;Abus d'autres drogues et dépendance;20;Médical;458;< 5
Région flamande;791;Procédures opératoires pour autres complications de traitement;21;Chirurgical;2649;1127
Région flamande;811;Réactions allergiques;21;Médical;901;< 5
Région flamande;812;Empoisonnement par agents médicamenteux;21;Médical;4644;16
Région flamande;813;Autres complications de traitement;21;Médical;3088;875
Région flamande;815;Autres diagnostics de blessure, empoisonnement, effets toxiques;21;Médical;1017;77
Région flamande;816;Effets toxiques de substances non médicamenteuses;21;Médical;890;15
Région flamande;841;Brûlures extensives du troisième degré avec greffe de peau;22;Chirurgical;12;0
Région flamande;842;Brûlures avec greffe de peau excepté brûlures extensives du troisième degré;22;Chirurgical;142;14
Région flamande;843;Brûlures extensives du troisième degré ou de « l'épaisseur totale » sans greffe de peau;22;Médical;10;< 5
Région flamande;844;Brûlures de « l'épaisseur partielle » sans greffe de peau;22;Médical;456;31
Région flamande;850;Procédure avec diagnostic de rééducation, suites de soins ou autre contact avec les services de santé;23;Chirurgical;5922;21104
Région flamande;860;Rééducation;23;Médical;3008;11
Région flamande;861;Signes, symptômes et autres facteurs influençant l'état de santé;23;Médical;16354;235606
Région flamande;862;Autre suivi de soins et convalescence;23;Médical;6921;51518
Région flamande;863;Suivi de soins néonatal;23;Médical;519;< 5
Région flamande;890;HIV avec affections majeures multiples en rapport avec le HIV;24;Médical;62;< 5
Région flamande;892;HIV avec une affection majeure en rapport avec le HIV;24;Médical;113;12
Région flamande;893;HIV avec affections significatives multiples en rapport avec le HIV;24;Médical;17;< 5
Région flamande;894;HIV avec une seule ou aucune affection significative en rapport avec le HIV;24;Médical;166;44
Région flamande;910;Craniotomie pour polytraumatisme significatif;25;Chirurgical;103;0
Région flamande;911;Procédure abdominale ou thoracique extensive pour polytraumatisme significatif;25;Chirurgical;93;0
Région flamande;912;Procédures musculo-squelettiques et autres pour polytraumatisme significatif;25;Chirurgical;778;< 5
Région flamande;930;Polytraumatisme significatif sans procédure opératoire;25;Médical;830;9
Région flamande;950;Procédure extensive sans relation avec le diagnostic principal;0;Chirurgical;2532;807
Région flamande;951;Procédure modérément étendue sans relation avec le diagnostic principal;0;Chirurgical;7059;2107
Région flamande;952;Procédure non extensive sans relation avec le diagnostic principal;0;Chirurgical;3057;1907
Région flamande;955;Diagnostic principal non valable comme diagnostic de sortie;0;Autre;11;< 5
Région flamande;956;Séjour non groupable;0;Autre;16;19
