drg_36;libellé_drg;mdc_36;libellé_mdc;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
091;091 Autres procédures majeures sur la tête et le cou;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;895;115
092;092 Procédures sur les os de la face, excepté procédures majeures sur les os du crâne/de la face;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;4 764;21 341
095;095 Réparation de la fente labiale et la fente palatine;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;158;31
097;097 Procédures sur les amygdales et les végétations;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;3 900;16 261
098;098 Autres procédures sur l'oreille, le nez, la bouche et la gorge;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;12 160;25 617
110;110 Affections malignes de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;03 Nez, gorge, oreilles, crâne et face;Médical;1 446;1 696
111;111 Vertige et autres troubles labyrinthiques;03;03 Nez, gorge, oreilles, crâne et face;Médical;4 710;160
113;113 Infections des voies aériennes supérieures;03;03 Nez, gorge, oreilles, crâne et face;Médical;15 674;2 275
114;114 Maladies et troubles dentaires et buccales;03;03 Nez, gorge, oreilles, crâne et face;Médical;1 578;96 417
115;115 Autres diagnostics de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;03 Nez, gorge, oreilles, crâne et face;Médical;50 954;13 080
120;120 Procédures majeures sur le système respiratoire et le thorax;04;04 Système respiratoire;Chirurgical;1 632;7
121;121  Autres procédures sur le système respiratoire et le thorax;04;04 Système respiratoire;Chirurgical;4 503;573
130;130 Affection du système respiratoire avec assistance ventilatoire pendant + de 96 heures;04;04 Système respiratoire;Médical;3 364;0
131;131 Mucoviscidose (cystic fibrosis) - maladie pulmonaire;04;04 Système respiratoire;Médical;677;22
132;132 Dysplasie broncho-pulmon. et autres maladies respirat.chron.apparaissant en période périnatale;04;04 Système respiratoire;Médical;99;< 5
133;133 Insuffisance respiratoire;04;04 Système respiratoire;Médical;4 618;14
134;134 Embolie pulmonaire;04;04 Système respiratoire;Médical;5 592;16
135;135 Traumatisme majeur respiratoire et thoracique;04;04 Système respiratoire;Médical;3 384;29
136;136 Affection maligne respiratoire;04;04 Système respiratoire;Médical;7 165;5 035
137;137 Inflammations et infections majeures du système respiratoire;04;04 Système respiratoire;Médical;8 186;177
138;138 Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);04;04 Système respiratoire;Médical;4 479;25
139;139 Autre pneumonie;04;04 Système respiratoire;Médical;52 797;132
140;140 Maladie pulmonaire obstructive chronique;04;04 Système respiratoire;Médical;22 332;495
141;141 Asthme;04;04 Système respiratoire;Médical;3 285;67
142;142 Maladies pulmonaires interstitielles et alvéolaires;04;04 Système respiratoire;Médical;1 799;451
143;143 Autres diagnostics respiratoires, excepté les signes, symptômes et diagnostics mineurs;04;04 Système respiratoire;Médical;4 790;1 091
144;144 Signes respiratoires, symptômes et diagnostics mineurs;04;04 Système respiratoire;Médical;13 049;2 791
145;145 Bronchite aiguë et symptômes associés;04;04 Système respiratoire;Médical;5 524;791
160;160 Réparation majeure d'anomalie cardiaque par voie cardiothoracique;05;05 Système circulatoire;Chirurgical;157;0
161;161 Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;05;05 Système circulatoire;Chirurgical;2 024;25
162;162 Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou DP complexe;05;05 Système circulatoire;Chirurgical;471;0
163;163 Procédures sur les valves cardiaques sans infarctus du myocarde aigu ou DP complexe;05;05 Système circulatoire;Chirurgical;3 549;0
165;165 Pontage coronarien avec infarctus aigu du myocarde ou DP complexe;05;05 Système circulatoire;Chirurgical;963;< 5
166;166 Pontage coronarien sans infarctus aigu du myocarde ou DP complexe;05;05 Système circulatoire;Chirurgical;3 720;< 5
167;167 Autres procédures cardiothoraciques et thoracovasculaires;05;05 Système circulatoire;Chirurgical;1 919;250
169;169 Procédures vasculaires abdominales majeures;05;05 Système circulatoire;Chirurgical;1 804;11
170;170 Implantation du pacemaker permanent avec infarctus aigu du myocard., décomp. cardiaque ou choc;05;05 Système circulatoire;Chirurgical;64;0
171;171 Implantation du pacemaker permanent sans infarctus aigu du myocard., décomp. cardiaque ou choc;05;05 Système circulatoire;Chirurgical;7 031;28
174;174 Procédures coronariennes percutanées avec infarctus aigu du myocarde;05;05 Système circulatoire;Chirurgical;9 039;609
175;175 Procédures coronariennes percutanées sans infarctus aigu du myocarde;05;05 Système circulatoire;Chirurgical;27 279;2 885
176;176 Remplacement du pacemaker et du défibrillateur cardiaque;05;05 Système circulatoire;Chirurgical;2 133;408
177;177 Révision du pacemaker et du défibrillateur cardiaque, excepté le remplacement de l'appareil;05;05 Système circulatoire;Chirurgical;604;6
180;180 Autres procédures sur le système circulatoire;05;05 Système circulatoire;Chirurgical;1 944;12 934
181;181 Procédures sur les artères des membres inférieurs;05;05 Système circulatoire;Chirurgical;15 562;1 234
182;182 Autres procédures sur les vaisseaux périphériques;05;05 Système circulatoire;Chirurgical;3 813;3 090
190;190 Infarctus aigu du myocarde;05;05 Système circulatoire;Médical;6 070;667
191;191 Cathétérisme cardiaque pour maladie coronarienne;05;05 Système circulatoire;Médical;9 153;17 483
192;192 Cathétérisme cardiaque pour autres affections non coronariennes;05;05 Système circulatoire;Médical;10 892;7 379
193;193 Endocardite aiguë et subaiguë;05;05 Système circulatoire;Médical;231;< 5
194;194 Insuffisance cardiaque;05;05 Système circulatoire;Médical;21 790;115
196;196 Arrêt cardiaque et choc;05;05 Système circulatoire;Médical;1 141;113
197;197 Troubles vasculaires, périphériques et autres;05;05 Système circulatoire;Médical;4 201;1 538
198;198 Angine de poitrine et athérosclérose coronaire;05;05 Système circulatoire;Médical;3 317;108
199;199 Hypertension;05;05 Système circulatoire;Médical;2 090;70
200;200 Maladies cardiaques structurelles et valvulaires;05;05 Système circulatoire;Médical;990;212
201;201 Arythmie cardiaque et troubles de la conduction;05;05 Système circulatoire;Médical;14 645;7 419
203;203 Douleur thoracique;05;05 Système circulatoire;Médical;3 402;248
204;204 Syncope et collapsus;05;05 Système circulatoire;Médical;9 042;141
205;205 Cardiomyopathie;05;05 Système circulatoire;Médical;307;17
206;206 Dysfonctionnement, réaction et complic. du matériel ou de la procédure cardiaque/vasculaire;05;05 Système circulatoire;Médical;1 231;564
207;207 Autres diagnostics du système circulatoire;05;05 Système circulatoire;Médical;4 938;474
220;220 Procédures majeures sur l'oesophage, l'estomac et le duodénum;06;06 Système digestif;Chirurgical;2 886;45
222;222 Autres procédures sur l'oesophage, l'estomac et le duodénum;06;06 Système digestif;Chirurgical;1 220;335
223;223 Autres procédures sur l'intestin grêle et le gros intestin;06;06 Système digestif;Chirurgical;1 459;1 785
224;224 Adhésiolyse péritonéale;06;06 Système digestif;Chirurgical;1 750;125
226;226 Procédures sur l'anus;06;06 Système digestif;Chirurgical;3 645;7 349
227;227 Procédures pour hernie, excepté procédures pour hernie inguinale, fémorale et ombilicale;06;06 Système digestif;Chirurgical;6 196;2 605
228;228 Procédures pour hernie inguinale, fémorale et ombilicale;06;06 Système digestif;Chirurgical;10 766;11 112
229;229 Autres procédures sur le système digestif et l'abdomen;06;06 Système digestif;Chirurgical;2 516;667
230;230 Procédures majeures sur l'intestin grêle;06;06 Système digestif;Chirurgical;6 116;22
231;231 Procédures majeures sur le gros intestin;06;06 Système digestif;Chirurgical;10 489;338
232;232 Fundoplicature de l'estomac;06;06 Système digestif;Chirurgical;824;< 5
233;233 Appendicectomie avec diagnose principale complexe;06;06 Système digestif;Chirurgical;2 499;14
234;234 Appendicectomie sans diagnose principale complexe;06;06 Système digestif;Chirurgical;10 055;263
240;240 Affections malignes du système digestif;06;06 Système digestif;Médical;6 196;8 326
241;241 Ulcère peptique et gastrite;06;06 Système digestif;Médical;6 077;16 685
242;242 Troubles majeurs de l'oesophage;06;06 Système digestif;Médical;997;617
243;243 Autres troubles de l'oesophage;06;06 Système digestif;Médical;5 032;18 224
244;244 Diverticulite et diverticulose;06;06 Système digestif;Médical;8 319;16 098
245;245 Maladie inflammatoire de l'intestin;06;06 Système digestif;Médical;3 059;9 188
246;246 Insuffisance vasculaire gastro-intestinale;06;06 Système digestif;Médical;1 225;136
247;247 Obstruction intestinale;06;06 Système digestif;Médical;7 419;285
248;248 Infections gastro-intestinales et péritonéales majeures;06;06 Système digestif;Médical;4 225;188
249;249 Autre gastro-entérite, nausée et vomissement;06;06 Système digestif;Médical;18 700;7 068
251;251 Douleur abdominale;06;06 Système digestif;Médical;4 356;7 160
252;252 Dysfonctionnement, réaction et complic, de dispositif ou de procédure gastro-intestinaux;06;06 Système digestif;Médical;2 678;974
253;253 Hémorragie gastro-intestinale, autre et non specifiée;06;06 Système digestif;Médical;2 747;1 836
254;254 Autres diagnostics du système digestif;06;06 Système digestif;Médical;18 341;95 579
260;260 Procédures majeures sur pancréas, foie et shunt;07;07 Système hépatobiliaire et pancréas;Chirurgical;2 083;77
261;261 Procédures majeures sur les voies biliaires;07;07 Système hépatobiliaire et pancréas;Chirurgical;358;9
263;263 Cholécystectomie;07;07 Système hépatobiliaire et pancréas;Chirurgical;17 862;2 151
264;264 Autres procédures abdominales, sur système hépatobiliaire et pancréas;07;07 Système hépatobiliaire et pancréas;Chirurgical;1 303;352
279;279 Coma hépatique et autres troubles hépatiques majeurs aigus;07;07 Système hépatobiliaire et pancréas;Médical;1 468;59
280;280 Maladie hépatique alcoolique;07;07 Système hépatobiliaire et pancréas;Médical;4 085;390
281;281 Affection maligne du système hépatobiliaire et du pancréas;07;07 Système hépatobiliaire et pancréas;Médical;4 858;3 817
282;282 Troubles du pancréas excepté affections malignes;07;07 Système hépatobiliaire et pancréas;Médical;7 306;1 311
283;283 Autres troubles du foie;07;07 Système hépatobiliaire et pancréas;Médical;2 742;1 360
284;284 Troubles de la vésicule biliaire et des voies biliaires;07;07 Système hépatobiliaire et pancréas;Médical;11 430;1 232
301;301 Remplacement de l'articulation de la hanche;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;26 920;42
302;302 Remplacement de l'articulation du genou;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;20 888;41
303;303 Arthrodèse dorsale et lombaire pour déviation du dos;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;284;0
304;304 Arthrodèse dorso-lombaire excepté déviation du dos;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;6 190;< 5
305;305 Amputation du membre inférieur excepté les orteils;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;1 140;11
308;308 Réparation d'une fracture de la hanche et du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;10 965;26
309;309 Autre chirurgie significative de la hanche et du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;3 045;1 513
310;310 Excision et décompression du disque intervertébral;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;14 142;177
312;312 Greffe cutanée, excepté de la main, pour diagnostics musculo-squelettiques et du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;562;658
313;313 Procédures sur le genou et la jambe, excepté le pied;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;16 002;28 827
314;314 Procédures sur le pied et les orteils;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;11 217;6 312
315;315 Procédures sur l'épaule, le bras et l'avant-bras excepté le remplacement de l'articulation;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;26 426;14 881
316;316 Procédures sur la main et le poignet;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;4 110;28 938
317;317 Procédures sur le tendon, le muscle et autres tissus mous;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;6 072;8 201
320;320 Autres procédures sur le système musculo-squelettique et le tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;9 597;8 883
321;321 Arthrodèse cervicale et autres procédures sur le cou/dos, excepté excis./décompres. de disque;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;5 665;45
322;322 Remplacement de l'articulation de l'épaule et du coude;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;4 117;28
340;340 Fracture du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Médical;1 524;15
341;341 Fracture du bassin ou luxation de la hanche;08;08 Système musculo-squelettique et tissu conjonctif;Médical;3 203;25
342;342 Fracture ou luxation excepté du fémur, du bassin et du dos;08;08 Système musculo-squelettique et tissu conjonctif;Médical;7 179;3 755
343;343 Affection maligne musc-squellet. et fracture pathol. dues à affection maligne musc-squellet.;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 041;1 427
344;344 Ostéomyélite, arthrite septique et autres infections musculo-squelettiques;08;08 Système musculo-squelettique et tissu conjonctif;Médical;1 457;148
346;346 Troubles du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 801;1 714
347;347 Autres troubles, fractures et traumatismes du dos et du cou;08;08 Système musculo-squelettique et tissu conjonctif;Médical;14 111;36 124
349;349 Dysfonctionnement, réaction et complic. de matériel ou de procédure orthopédiques;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 054;524
351;351 Autres diagnostics du système musculo-squelettique et du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Médical;10 211;7 189
361;361 Greffe cutanée pour diagnotics de la peau et du tissu sous-cutane;09;09 Peau, tissu sous-cutané, sein;Chirurgical;3 930;8 796
362;362 Procédures de mastectomie;09;09 Peau, tissu sous-cutané, sein;Chirurgical;4 850;419
363;363 Procédures mammaires, excepté mastectomie;09;09 Peau, tissu sous-cutané, sein;Chirurgical;12 784;5 332
364;364 Autres procédures sur la peau, les tissus sous-cutanés et procédures associées;09;09 Peau, tissu sous-cutané, sein;Chirurgical;5 490;6 010
380;380 Ulcères cutanés;09;09 Peau, tissu sous-cutané, sein;Médical;1 510;188
381;381 Troubles majeurs de la peau;09;09 Peau, tissu sous-cutané, sein;Médical;644;711
382;382 Affections malignes du sein;09;09 Peau, tissu sous-cutané, sein;Médical;898;4 978
383;383 Cellulite et autres infections de la peau;09;09 Peau, tissu sous-cutané, sein;Médical;9 887;2 931
384;384 Contusion, plaie ouverte et autres traumatismes de la peau et du tissu sous-cutané;09;09 Peau, tissu sous-cutané, sein;Médical;5 972;3 034
385;385 Autres troubles de la peau, du tissu sous-cutané et du sein;09;09 Peau, tissu sous-cutané, sein;Médical;4 042;16 422
401;401 Procédures sur les surrénales et l'hypophyse;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;265;0
403;403 Procédures pour obésité;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;11 172;110
404;404 Procédures sur la thyroïde, les parathyroïdes ou le canal thyréoglosse;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;5 460;61
405;405 Autres procédures pour troubles endocriniens, nutritionnels et métaboliques;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;260;18
420;420 Diabète;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;8 866;62
421;421 Malnutrition, retard staturo-pondéral et autres troubles nutritionnels;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;5 557;1 601
422;422 Hypovolémie et troubles électrolytiques associés;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;3 299;< 5
423;423 Anomalies congénitales du métabolisme;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;430;309
424;424 Autres troubles endocriniens;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;1 167;237
425;425 Autres troubles électrolytiques non hypovolémiques;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;2 048;14
426;426 Troubles non hypovolémiques du bilan du sodium;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;3 005;5
427;427 Troubles thyroïdiens;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;1 116;51
440;440 Transplantation rénale;11;11 Reins et voies urinaires;Chirurgical;349;0
441;441 Procédures majeures sur la vessie;11;11 Reins et voies urinaires;Chirurgical;1 101;5
442;442 Procédures sur les reins et les voies urinaires pour affection maligne;11;11 Reins et voies urinaires;Chirurgical;2 131;33
443;443 Procédures sur les reins et les voies urinaires pour affection non maligne;11;11 Reins et voies urinaires;Chirurgical;6 125;1 935
444;444 Procédure pour installation du dispositif d'accès pour dialyse rénale et réparation de vaisseaux;11;11 Reins et voies urinaires;Chirurgical;788;370
445;445 Autres procédures sur la vessie;11;11 Reins et voies urinaires;Chirurgical;2 071;719
446;446 Procédures uréthrales et transuréthrales;11;11 Reins et voies urinaires;Chirurgical;14 391;5 022
447;447 Autres procédures sur les reins, les voies urinaires et procédures associées;11;11 Reins et voies urinaires;Chirurgical;291;36
461;461 Affection maligne des reins et voies urinaires;11;11 Reins et voies urinaires;Médical;1 858;3 829
462;462 Néphrite et néphrose;11;11 Reins et voies urinaires;Médical;727;256
463;463 Infections des reins et voies urinaires;11;11 Reins et voies urinaires;Médical;22 450;1 071
465;465 Lithiases urinaires et obstruction acquise du tractus urinaire supérieur;11;11 Reins et voies urinaires;Médical;10 027;12 503
466;466 Dysfonctionnement, réaction et complic. de matériel ou de procédure génito-urinaire;11;11 Reins et voies urinaires;Médical;2 939;948
468;468 Autres diagnostics, signes et symptômes du rein et des voies urinaires;11;11 Reins et voies urinaires;Médical;9 979;27 114
469;469 Traumatisme aigue du rein;11;11 Reins et voies urinaires;Médical;2 695;33
470;470 Maladie rénale chronique;11;11 Reins et voies urinaires;Médical;2 162;796
480;480 Procédures majeures sur le bassin masculin;12;12 Système reproducteur masculin;Chirurgical;3 934;0
482;482 Prostatectomie transurétrale;12;12 Système reproducteur masculin;Chirurgical;6 791;196
483;483 Procédures sur le pénis, les testicules et le scrotum;12;12 Système reproducteur masculin;Chirurgical;2 507;5 789
484;484 Autres procédures sur le système reproducteur masculin et procédures associées;12;12 Système reproducteur masculin;Chirurgical;1 601;203
500;500 Affection maligne du système reproducteur masculin;12;12 Système reproducteur masculin;Médical;1 001;3 705
501;501 Diagnostics du système reproducteur masculin excepté affections malignes;12;12 Système reproducteur masculin;Médical;4 442;23 688
510;510 Eviscération pelvienne, hystérectomie radicale et autres procédures gynécologiques radicales;13;13 Système reproducteur féminin;Chirurgical;722;< 5
511;511 Procédures sur utérus et annexes pour affection maligne des ovaires et ses annexes;13;13 Système reproducteur féminin;Chirurgical;769;75
512;512 Procédures sur utérus et annexes pour affections malignes excepté des ovaires et ses annexes;13;13 Système reproducteur féminin;Chirurgical;1 084;96
513;513 Procédures sur uterus/annexes pour affection non maligne excepté léiomyome;13;13 Système reproducteur féminin;Chirurgical;10 054;7 308
514;514 Procédures réconstructives du système reproducteur féminin;13;13 Système reproducteur féminin;Chirurgical;1 902;118
517;517 Dilatation et curetage pour des diagnostics non-obstétricaux;13;13 Système reproducteur féminin;Chirurgical;462;5 597
518;518 Autres procédures sur le système reproducteur féminin et procédures associées;13;13 Système reproducteur féminin;Chirurgical;1 310;2 303
519;519 Procédures sur utérus/annexes pour léiomyome;13;13 Système reproducteur féminin;Chirurgical;3 683;931
530;530 Affection maligne du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;1 328;1 598
531;531 Infections du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;670;349
532;532 Troubles menstruels et autres troubles du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;1 510;8 954
540;540 Accouchement par césarienne;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;24 408;73
541;541 Accouchement par voie vaginale avec stérilisation et/ou dilatation et curetage;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;2 983;100
542;542 Accouchement par voie vaginale avec proc. compl., excepté stérilisat. ou dilat. et curet.;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 627;22
544;544 Dilatation et curetage, curetage par aspiration ou hystérotomie pour diagnostics obstétricaux;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 388;7 139
545;545 Procédure pour grossesse ectopique;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 272;174
546;546 Autres procédures en salle d'opération pour diagnostics obstétricaux excepté accouchement;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;491;331
560;560 Accouchement par voie vaginale;14;14 Grossesse, accouchement et puerpéralité;Médical;83 267;2 233
561;561 Diagnostics du post-partum et post-avortement, sans procédure;14;14 Grossesse, accouchement et puerpéralité;Médical;1 543;114
563;563 Travail prématuré;14;14 Grossesse, accouchement et puerpéralité;Médical;2 550;9
564;564 Avortement, sans dilatation et curetage, curetage par aspiration ou hystérotomie;14;14 Grossesse, accouchement et puerpéralité;Médical;791;274
565;565 Faux travail;14;14 Grossesse, accouchement et puerpéralité;Médical;918;18
566;566 Autres diagnostics en antepartum;14;14 Grossesse, accouchement et puerpéralité;Médical;10 730;2 174
580;580 Nouveau-né, transferé dans les 5 jours, né ailleurs;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;118;< 5
581;581 Nouveau-né, transferé dans les 5 jours, né ici;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;56;< 5
583;583 Nouveau-né, avec ECMO;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;16;0
588;588 Nouveau-né, poids de naissance < 1500g, avec procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;53;0
589;589 Nouveau-né, poids de nais. <  500g, ou poids de nais. 500-999g et age gestat. < 24 semaines, ou poids de nais. 500-749g avec anomalie majeure ou sans intervention de maintien de la vie;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;30;0
591;591 Nouveau-né, poids de naissance 500-749g sans procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;92;0
593;593 Nouveau-né, poids de naissance 750-999g sans procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;200;0
602;602 Nouveau-né, poids de nais. 1000-1249g avec syndrôme de détresse resp./autres anom. resp. maj. ou anom. maj.;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;225;0
603;603 Nouveau-né, poids de naissance 1000-1249g avec ou sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;31;0
607;607 Nouveau-né, poids de nais. 1250-1499g avec syndrôme de détresse resp./autres anom. respir. maj. ou anom. maj.;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;313;0
608;608 Nouveau-né, poids de naissance 1250-1499g avec/sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;81;0
609;609 Nouveau-né, poids de naissance 1500-2499g avec procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;69;0
611;611 Nouveau-né, poids de naissance 1500-1999g avec anomalie majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;150;< 5
612;612 Nouveau-né, poids de naissance 1500-1999g avec syndrôme de détresse resp./autre affec. resp. majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;362;0
613;613 Nouveau-né, poids de naissance 1500-1999g avec infection congénitale ou périnatale;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;29;0
614;614 Nouveau-né, poids de naissance 1500-1999g avec ou sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;436;0
621;621 Nouveau-né, poids de naissance 2000-2499g avec anomalie majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;140;0
622;622 Nouveau-né, poids de naissance 2000-2499g avec syndrôme de détresse resp./autre affec. resp. majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;298;< 5
623;623 Nouveau-né, poids de naissance 2000-2499g avec infections congénitales ou périnatales;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;60;0
625;625 Nouveau-né, poids de naissance 2000-2499g, né ici, avec autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;219;0
626;626 Nouveau-né, poids de naissance 2000-2499g, nouveau-né normal ou nouveau-né avec autre problème;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;405;0
630;630 Nouveau-né , poids de naissance > 2499g avec procédure cardiovasculaire majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;108;0
