gewest;drg_34;drg_beschrijving;mdc_34;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;3;Medisch;29.896;4.749
Vlaams Gewest;120;Majeure thoracale en respiratoire procedures;4;Chirurgisch;2.011;102
Vlaams Gewest;121;Andere respiratoire en thoracale procedures;4;Chirurgisch;2.020;256
Vlaams Gewest;130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;4;Medisch;472;0
Vlaams Gewest;131;Mucoviscidose (cystic fibrosis) - longziekte;4;Medisch;526;18
Vlaams Gewest;132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;4;Medisch;67;< 5
Vlaams Gewest;133;Respiratoire insufficiëntie;4;Medisch;483;< 5
Vlaams Gewest;134;Longembolie;4;Medisch;2.874;12
Vlaams Gewest;135;Majeur thoracaal en respiratoir trauma;4;Medisch;2.356;9
Vlaams Gewest;136;Maligne respiratoire aandoening;4;Medisch;4.547;2.962
Vlaams Gewest;137;Majeure respiratoire infecties en inflammaties;4;Medisch;4.317;144
Vlaams Gewest;138;Bronchiolitis en respiratoir syncytiaal virus (RSV) pneumonie;4;Medisch;7.546;30
Vlaams Gewest;139;Andere pneumonie;4;Medisch;18.502;115
Vlaams Gewest;140;Chronische obstructieve longaandoeningen;4;Medisch;16.246;698
Vlaams Gewest;141;Astma;4;Medisch;2.998;85
Vlaams Gewest;142;Interstitiële en alveolaire longziekte;4;Medisch;1.123;223
Vlaams Gewest;143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;4;Medisch;2.936;662
Vlaams Gewest;144;Respiratoire tekens, symptomen en mineure diagnosen;4;Medisch;15.695;2.732
Vlaams Gewest;160;Majeur cardiothoracaal herstel van hartanomalie;5;Chirurgisch;50;< 5
Vlaams Gewest;161;Inplantatie van hartdefibrillator en hartassistentiesyteem;5;Chirurgisch;1.043;< 5
Vlaams Gewest;162;Procedures op hartkleppen met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;284;0
Vlaams Gewest;163;Procedures op hartkleppen zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2.135;0
Vlaams Gewest;165;Coronaire overbrugging met acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;592;0
Vlaams Gewest;166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2.869;0
Vlaams Gewest;167;Andere cardiothoracale procedures en thoracovasculaire procedures;5;Chirurgisch;1.948;75
Vlaams Gewest;169;Majeure abdominale vasculaire procedures;5;Chirurgisch;1.068;11
Vlaams Gewest;170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;5;Chirurgisch;195;0
Vlaams Gewest;171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;5;Chirurgisch;3.892;13
Vlaams Gewest;174;Percutane coronaire procedures met acuut myocardinfarct;5;Chirurgisch;5.081;241
Vlaams Gewest;175;Percutane coronaire procedures zonder acuut myocardinfarct;5;Chirurgisch;16.782;1.606
Vlaams Gewest;176;Vervangen van pacemaker of defibrillator;5;Chirurgisch;1.360;175
Vlaams Gewest;177;Revisie van pacemaker of defibrillator behalve toestel vervanging;5;Chirurgisch;416;17
Vlaams Gewest;180;Andere procedures op het circulatoire systeem;5;Chirurgisch;1.561;13.429
Vlaams Gewest;181;Procedures op de arteries van de onderste ledematen;5;Chirurgisch;12.591;1.016
Vlaams Gewest;182;Andere perifere vasculaire procedures;5;Chirurgisch;2.729;3.015
Vlaams Gewest;190;Acuut myocardinfarct;5;Medisch;4.400;409
Vlaams Gewest;191;Hartkatheterisatie voor coronaire condities;5;Medisch;8.088;11.548
Vlaams Gewest;192;Hartkatheterisatie voor andere niet-coronaire condities;5;Medisch;8.689;4.487
Vlaams Gewest;193;Acute en subacute endocarditis;5;Medisch;116;< 5
Vlaams Gewest;194;Hartfalen;5;Medisch;13.367;45
Vlaams Gewest;196;Hartstilstand en shock;5;Medisch;631;85
Vlaams Gewest;197;Perifere en andere vasculaire stoornissen;5;Medisch;2.866;1.374
Vlaams Gewest;198;Angina pectoris en coronaire atherosclerose;5;Medisch;2.903;44
Vlaams Gewest;199;Hypertensie;5;Medisch;1.428;28
Vlaams Gewest;200;Structurele hartaandoeningen en kleplijden;5;Medisch;692;134
Vlaams Gewest;201;Hartaritmie en geleidingsstoornissen;5;Medisch;12.233;4.544
Vlaams Gewest;203;Thoracale pijn;5;Medisch;3.513;101
Vlaams Gewest;204;Syncope en collaps;5;Medisch;7.910;75
Vlaams Gewest;205;Cardiomyopathie;5;Medisch;203;9
Vlaams Gewest;206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;5;Medisch;722;296
Vlaams Gewest;207;Andere diagnosen van het circulatoir stelsel;5;Medisch;3.299;274
Vlaams Gewest;220;Majeure procedures op oesofagus, maag en duodenum;6;Chirurgisch;1.835;158
Vlaams Gewest;221;Majeure procedures op dunne en dikke darm;6;Chirurgisch;9.589;84
Vlaams Gewest;222;Andere procedures op oesofagus, maag en duodenum;6;Chirurgisch;2.425;334
Vlaams Gewest;223;Andere procedures op dunne en dikke darm;6;Chirurgisch;2.516;1.084
Vlaams Gewest;224;Peritoneale adhesiolyse;6;Chirurgisch;1.056;78
Vlaams Gewest;225;Appendectomie;6;Chirurgisch;7.394;207
Vlaams Gewest;226;Anale procedures;6;Chirurgisch;3.362;6.656
Vlaams Gewest;227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;3.965;1.977
Vlaams Gewest;228;Procedures voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;7.194;8.710
Vlaams Gewest;229;Andere procedures op het spijsverteringsstelsel en abdomen;6;Chirurgisch;1.607;431
Vlaams Gewest;240;Maligne aandoeningen van het spijsverteringsstelsel;6;Medisch;3.897;5.308
Vlaams Gewest;241;Peptisch ulcus en gastritis;6;Medisch;5.171;7.424
Vlaams Gewest;242;Majeure slokdarmstoornissen;6;Medisch;450;250
Vlaams Gewest;243;Andere slokdarmstoornissen;6;Medisch;4.339;9.030
Vlaams Gewest;244;Diverticulitis en diverticulosis;6;Medisch;5.522;15.037
Vlaams Gewest;245;Inflammatoire darmziekte;6;Medisch;1.904;5.343
Vlaams Gewest;246;Gastro-intestinale vasculaire insufficiëntie;6;Medisch;982;111
Vlaams Gewest;247;Intestinale obstructie;6;Medisch;5.226;227
Vlaams Gewest;248;Majeure gastro-intestinale en peritoneale infecties;6;Medisch;3.221;89
Vlaams Gewest;249;Andere gastro-enteritis, misselijkheid en braken;6;Medisch;21.613;4.549
Vlaams Gewest;251;Abdominale pijn;6;Medisch;4.046;5.018
Vlaams Gewest;252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;6;Medisch;1.337;502
Vlaams Gewest;253;Andere en niet gespecificeerde gastro-intestinale hemorragie;6;Medisch;1.675;1.181
Vlaams Gewest;254;Andere diagnosen van spijsverteringsstelsel;6;Medisch;12.372;70.163
Vlaams Gewest;260;Majeure pancreas-, lever- en shuntprocedures;7;Chirurgisch;1.440;45
Vlaams Gewest;261;Majeure procedures op de galwegen;7;Chirurgisch;758;59
Vlaams Gewest;262;Cholecystectomie, behalve laparoscopisch;7;Chirurgisch;268;196
Vlaams Gewest;263;Laparoscopische cholecystectomie;7;Chirurgisch;10.989;1.058
Vlaams Gewest;264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;7;Chirurgisch;1.362;362
Vlaams Gewest;279;Hepatisch coma en andere majeure acute leverstoornissen;7;Medisch;753;115
Vlaams Gewest;280;Alcoholische leverziekte;7;Medisch;1.662;152
Vlaams Gewest;281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;7;Medisch;2.790;1.531
Vlaams Gewest;282;Stoornissen van de pancreas behalve maligne aandoeningen;7;Medisch;3.309;295
Vlaams Gewest;283;Andere leverstoornissen;7;Medisch;1.393;708
Vlaams Gewest;284;Stoornissen van de galblaas en de galwegen;7;Medisch;5.919;491
Vlaams Gewest;301;Vervanging van heupgewricht;8;Chirurgisch;18.593;17
Vlaams Gewest;302;Vervanging van kniegewricht;8;Chirurgisch;16.174;7
Vlaams Gewest;303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;8;Chirurgisch;238;0
Vlaams Gewest;304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;8;Chirurgisch;5.409;< 5
Vlaams Gewest;305;Amputatie van onderste lidmaat behalve tenen;8;Chirurgisch;588;7
Vlaams Gewest;308;Herstellen van heup en femur fracturen;8;Chirurgisch;6.265;6
Vlaams Gewest;309;Andere significante procedures op heup en femur;8;Chirurgisch;2.584;1.333
Vlaams Gewest;310;Excisie en decompressie van discus intervertebralis;8;Chirurgisch;10.441;173
Vlaams Gewest;312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;8;Chirurgisch;480;501
Vlaams Gewest;313;Procedures op de knie en het onderbeen, behalve op de voet;8;Chirurgisch;10.881;30.935
Vlaams Gewest;314;Procedures op voet en tenen;8;Chirurgisch;10.498;4.932
Vlaams Gewest;315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;8;Chirurgisch;23.854;10.134
Vlaams Gewest;316;Procedures op hand en pols;8;Chirurgisch;3.605;18.964
Vlaams Gewest;317;Procedures op pees, spier en andere weke weefsels;8;Chirurgisch;6.369;7.233
Vlaams Gewest;320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;8;Chirurgisch;6.723;6.751
Vlaams Gewest;321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;8;Chirurgisch;4.956;253
Vlaams Gewest;322;Vervanging van schouder en elleboog gewricht;8;Chirurgisch;819;31
Vlaams Gewest;340;Femurfracturen;8;Medisch;1.046;8
Vlaams Gewest;341;Fracturen van het bekken of luxatie van de heup;8;Medisch;2.358;7
Vlaams Gewest;342;Fracturen of luxatie, behalve femur, heup en bekken;8;Medisch;5.333;3.059
Vlaams Gewest;343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;8;Medisch;1.535;1.043
Vlaams Gewest;344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;8;Medisch;853;45
Vlaams Gewest;346;Stoornissen van het bindweefsel;8;Medisch;1.982;1.199
Vlaams Gewest;347;Andere stoornissen, breuken en letsels van de rug en van de nek;8;Medisch;13.144;20.109
Vlaams Gewest;349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;8;Medisch;1.356;285
Vlaams Gewest;351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;8;Medisch;8.383;5.341
Vlaams Gewest;361;Huidgreffe voor huid en subcutaan weefsel diagnosen;9;Chirurgisch;2.925;6.081
Vlaams Gewest;362;Mastectomie procedures;9;Chirurgisch;2.825;227
Vlaams Gewest;363;Procedures op de borst, behalve mastectomie;9;Chirurgisch;8.573;4.088
Vlaams Gewest;364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;9;Chirurgisch;4.177;4.569
Vlaams Gewest;380;Huidulcera;9;Medisch;1.146;57
Vlaams Gewest;381;Majeure aandoeningen van de huid;9;Medisch;454;352
Vlaams Gewest;382;Maligne aandoeningen van de mamma;9;Medisch;549;2.971
Vlaams Gewest;383;Cellulitis en andere huidinfecties;9;Medisch;7.670;1.841
Vlaams Gewest;384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;9;Medisch;4.465;1.987
Vlaams Gewest;385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;9;Medisch;2.822;10.427
Vlaams Gewest;401;Procedures op bijnieren en hypofyse;10;Chirurgisch;381;0
Vlaams Gewest;403;Procedures voor obesitas;10;Chirurgisch;7.254;168
Vlaams Gewest;404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;Chirurgisch;3.373;25
Vlaams Gewest;405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;Chirurgisch;161;16
Vlaams Gewest;420;Diabetes;10;Medisch;6.399;33
Vlaams Gewest;421;Malnutritie,  “failure to thrive” en andere nutritionele stoornissen;10;Medisch;3.803;1.156
Vlaams Gewest;422;Hypovolemie en gerelateerde electrolytenstoornissen;10;Medisch;2.791;0
Vlaams Gewest;423;Congenitale afwijkingen van het metabolisme;10;Medisch;303;124
Vlaams Gewest;424;Andere endocriene stoornissen;10;Medisch;1.685;109
Vlaams Gewest;425;Andere elektrolytenstoornissen behalve in verband met hypovolemie;10;Medisch;2.075;18
Vlaams Gewest;440;Niertransplantatie;11;Chirurgisch;264;0
Vlaams Gewest;441;Majeure procedures op de blaas;11;Chirurgisch;836;48
Vlaams Gewest;442;Procedures op nier en urinewegen voor maligne aandoening;11;Chirurgisch;1.355;36
Vlaams Gewest;443;Procedures op nier en urinewegen voor niet maligne aandoening;11;Chirurgisch;4.126;5.634
Vlaams Gewest;444;Procedure enkel voor het aanleggen van een dialyse toegangsweg toestel;11;Chirurgisch;530;233
Vlaams Gewest;445;Andere procedures op de blaas;11;Chirurgisch;887;210
Vlaams Gewest;446;Transurethrale en urethrale procedures;11;Chirurgisch;9.105;2.601
Vlaams Gewest;447;Andere procedures op nieren, urinewegen en gerelateerde procedures;11;Chirurgisch;276;50
Vlaams Gewest;461;Maligne aandoening van de nier en urinewegen;11;Medisch;975;2.326
Vlaams Gewest;462;Nefritis en nefrose;11;Medisch;517;83
Vlaams Gewest;463;Infecties van de nier en de urinewegen;11;Medisch;12.189;631
Vlaams Gewest;465;Urinaire stenen en verworven bovenste urinewegobstructie;11;Medisch;6.843;7.448
Vlaams Gewest;466;Dysfunctie, reactie op en complicatie van genito-urinair toestel of procedure;11;Medisch;1.465;344
Vlaams Gewest;468;Andere nier en urinewegen diagnosen, tekens en symptomen;11;Medisch;6.504;11.512
Vlaams Gewest;469;Acute nierziekten;11;Medisch;1.228;13
Vlaams Gewest;470;Chronische nierziekten;11;Medisch;1.315;320
Vlaams Gewest;480;Majeure procedures in het kleine bekken bij de man;12;Chirurgisch;2.638;5
Vlaams Gewest;481;Procedures op de penis;12;Chirurgisch;636;1.367
Vlaams Gewest;482;Transurethrale prostatectomie;12;Chirurgisch;5.370;57
Vlaams Gewest;483;Procedures op de testes en het scrotum;12;Chirurgisch;962;3.696
Vlaams Gewest;484;Andere procedures op het mannelijk voortplantingsstelsel en gerelateerde procedures;12;Chirurgisch;1.009;146
Vlaams Gewest;500;Maligne aandoening van het mannelijk voortplantingsstelsel;12;Medisch;811;2.241
Vlaams Gewest;501;Diagnosen van het mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;Medisch;3.078;25.721
Vlaams Gewest;510;Evisceratie van het kleine bekken, radicale hysterectomie en andere radicale gynaecologische procedures;13;Chirurgisch;588;< 5
Vlaams Gewest;511;Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;Chirurgisch;412;30
Vlaams Gewest;512;Procedures op uterus/adnexen voor maligne aandoening behalve ovaria en adnexen;13;Chirurgisch;643;36
Vlaams Gewest;513;Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;Chirurgisch;7.117;4.786
Vlaams Gewest;514;Reconstructieve procedures op het vrouwelijke voortplantingsstelsel;13;Chirurgisch;2.654;294
Vlaams Gewest;517;Dilatatie en curettage voor niet-verloskundige diagnosen;13;Chirurgisch;405;5.141
Vlaams Gewest;518;Andere procedures op het vrouwelijke voortplantingsstelsel en gerelateerde procedures;13;Chirurgisch;1.110;2.723
Vlaams Gewest;519;Procedures op uterus/adnexen voor leiomyoma;13;Chirurgisch;2.454;585
Vlaams Gewest;530;Maligne aandoening van het vrouwelijke voortplantingsstelsel;13;Medisch;653;873
Vlaams Gewest;531;Infecties van het vrouwelijke voortplantingsstelsel;13;Medisch;489;305
Vlaams Gewest;532;Menstruatiestoornissen en andere stoornissen van het vrouwelijke voortplantingsstelsel;13;Medisch;1.068;6.302
Vlaams Gewest;540;Bevalling met sectio caesarea;14;Chirurgisch;13.305;39
Vlaams Gewest;541;Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;Chirurgisch;1.272;70
Vlaams Gewest;542;Vaginale bevalling met gecompliceerde procedures behalve sterilisatie en/of dilatatie en curettage;14;Chirurgisch;1.046;12
Vlaams Gewest;544;Dilatatie en curettage, aspiratie curettage of hysterotomie voor verloskundige diagnosen;14;Chirurgisch;757;4.916
Vlaams Gewest;545;Procedure voor ectopische zwangerschap;14;Chirurgisch;649;89
Vlaams Gewest;546;Andere operatiezaal procedures voor verloskundige diagnosen behalve bevalling;14;Chirurgisch;282;118
Vlaams Gewest;560;Vaginale bevalling;14;Medisch;47.453;1.004
Vlaams Gewest;561;Diagnosen in het postpartum en post abortus, zonder ingrepen;14;Medisch;1.023;71
Vlaams Gewest;563;Vroegtijdige arbeid;14;Medisch;1.493;6
Vlaams Gewest;564;Abortus, zonder dilatatie en curettage, aspiratie curettage of hysterotomie;14;Medisch;379;151
Vlaams Gewest;565;Valse arbeid;14;Medisch;613;7
Vlaams Gewest;566;Andere diagnosen in het antepartum;14;Medisch;7.183;889
Vlaams Gewest;580;Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;Medisch;47;0
Vlaams Gewest;581;Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;Medisch;21;< 5
Vlaams Gewest;583;Pasgeborene, met extracorporele membraanoxygenatie (ECMO);15;Chirurgisch;7;0
Vlaams Gewest;588;Pasgeborene, geboortegewicht < 1 500 g met majeure procedure;15;Chirurgisch;37;0
Vlaams Gewest;589;Pasgeborene, geboortegewicht < 500 g of zwangerschapsduur < 24 weken;15;Medisch;14;0
Vlaams Gewest;591;Pasgeborene, geboortegewicht 500-749 g zonder majeure procedure;15;Medisch;65;0
Vlaams Gewest;593;Pasgeborene, geboortegewicht 750-999 g zonder majeure procedure;15;Medisch;98;0
Vlaams Gewest;602;Pasgeborene, geboortegewicht 1 000-1 249 g met respiratoire distress syndroom/andere majeure respiratoire anomalie of majeure anomalie;15;Medisch;89;0
Vlaams Gewest;603;Pasgeborene, geboortegewicht 1 000-1 249 g met of zonder andere significante aandoening;15;Medisch;32;0
Vlaams Gewest;607;Pasgeborene, geboortegewicht 1 250-1 499 g met respiratoire distress syndroom/andere majeure respiratoire of majeure anomalie;15;Medisch;140;0
Vlaams Gewest;608;Pasgeborene, geboortegewicht 1 250-1 499 g met of zonder andere significante aandoening;15;Medisch;66;0
Vlaams Gewest;609;Pasgeborene, geboortegewicht 1 500-2 499 g met majeure procedure;15;Chirurgisch;33;0
Vlaams Gewest;611;Pasgeborene, geboortegewicht 1 500-1 999 g met majeure anomalie;15;Medisch;116;0
Vlaams Gewest;612;Pasgeborene, geboortegewicht 1 500-1 999 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;125;0
Vlaams Gewest;613;Pasgeborene, geboortegewicht 1 500-1 999 g met congenitale of perinatale infecties;15;Medisch;31;0
Vlaams Gewest;614;Andere pasgeborene, geboortegewicht 1 500-1 999 g met of zonder andere significante aandoening;15;Medisch;190;0
Vlaams Gewest;621;Pasgeborene, geboortegewicht 2 000-2 499 g met majeure anomalie;15;Medisch;89;0
Vlaams Gewest;622;Pasgeborene, geboortegewicht 2 000-2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;101;0
Vlaams Gewest;623;Pasgeborene, geboortegewicht 2 000-2 499 g met congenitale of perinatale infectie;15;Medisch;31;0
Vlaams Gewest;625;Pasgeborene, geboortegewicht 2 000-2 499 g, hier geboren, met andere significante aandoening;15;Medisch;138;0
Vlaams Gewest;626;Pasgeborene, geboortegewicht 2 000-2 499 g, normale pasgeborene of pasgeborene met ander probleem;15;Medisch;130;0
Vlaams Gewest;630;Pasgeborene, geboortegewicht > 2 499 g met majeure cardiovasculaire procedures;15;Chirurgisch;50;0
Vlaams Gewest;631;Pasgeborene, geboortegewicht > 2 499 g met andere majeure procedure;15;Chirurgisch;52;0
Vlaams Gewest;633;Pasgeborene, geboortegewicht > 2 499 g met majeure anomalie;15;Medisch;257;0
Vlaams Gewest;634;Pasgeborene, geboortegewicht > 2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;284;0
Vlaams Gewest;636;Pasgeborene, geboortegewicht > 2 499 g met congenitale of perinatale infecties;15;Medisch;126;0
Vlaams Gewest;639;Pasgeborene, geboortegewicht > 2 499 g hier geboren, met andere significante aandoening;15;Medisch;378;0
Vlaams Gewest;640;Pasgeborene, geboortegewicht > 2 499 g, normale pasgeborene of met ander probleem;15;Medisch;1.019;6
Vlaams Gewest;650;Splenectomie;16;Chirurgisch;120;0
Vlaams Gewest;651;Andere procedures op bloed en bloedvormende organen;16;Chirurgisch;469;469
Vlaams Gewest;660;Majeure hemato-/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;16;Medisch;2.020;3.594
Vlaams Gewest;661;Bloedstollingsstoornissen en bloedplaatjes;16;Medisch;665;759
Vlaams Gewest;662;Crisis van sikkelcelanemie;16;Medisch;271;23
Vlaams Gewest;663;Andere anemia en bloedstoornissen en hematopoietische organen;16;Medisch;5.575;10.507
Vlaams Gewest;680;Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;17;Chirurgisch;582;14
Vlaams Gewest;681;Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;17;Chirurgisch;2.250;856
Vlaams Gewest;690;Acute leukemie;17;Medisch;565;1.999
Vlaams Gewest;691;Lymfoom, myeloom en niet-acute leukemie;17;Medisch;2.096;5.502
Vlaams Gewest;692;Radiotherapie;17;Medisch;260;105
Vlaams Gewest;694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;Medisch;1.563;8.163
Vlaams Gewest;695;Chemotherapie voor acute leukemie;17;Medisch;623;3.121
Vlaams Gewest;696;Andere chemotherapie;17;Medisch;15.179;238.696
Vlaams Gewest;710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;Chirurgisch;1.578;64
Vlaams Gewest;711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;18;Chirurgisch;1.266;266
Vlaams Gewest;720;Septicemie en gedissemineerde infecties;18;Medisch;6.851;7
Vlaams Gewest;721;Postoperatieve, posttraumatische en andere toestel infecties;18;Medisch;2.357;266
Vlaams Gewest;722;Koorts;18;Medisch;2.123;18
Vlaams Gewest;723;Virale ziekte;18;Medisch;6.112;25
Vlaams Gewest;724;Andere infectieuze en parasitaire ziekten;18;Medisch;2.117;275
Vlaams Gewest;740;Diagnosen van mentale ziekte met operatiezaal procedures;19;Chirurgisch;462;29
Vlaams Gewest;750;Schizofrenie;19;Medisch;135;< 5
Vlaams Gewest;751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;19;Medisch;1.144;1.773
Vlaams Gewest;752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;19;Medisch;144;< 5
Vlaams Gewest;753;Bipolaire stoornissen;19;Medisch;524;339
Vlaams Gewest;754;Depressie, behalve majeure depressieve diagnosen;19;Medisch;1.315;137
Vlaams Gewest;755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;19;Medisch;1.551;104
