code;beschrijving;medisch_of_chirurgicsh;mdc;soort_hospitalisatie;aantal_verblijven
049;Bacteriele en tuberculeuze infecties van het zenuwstelsel;Medisch;01;Daghosp.;25
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Klass. hosp;751
050;Niet bacteriele infecties van het zenuwstelsel behalve virale meningitis;Medisch;01;Daghosp.;62
051;Virale meningitis;Medisch;01;Klass. hosp;1373
051;Virale meningitis;Medisch;01;Daghosp.;1
052;Niet-traumatische stupor en coma;Medisch;01;Klass. hosp;2812
052;Niet-traumatische stupor en coma;Medisch;01;Daghosp.;52
053;Epileptisch insult;Medisch;01;Klass. hosp;15541
053;Epileptisch insult;Medisch;01;Daghosp.;256
054;Migraine en andere hoofdpijn;Medisch;01;Klass. hosp;6718
054;Migraine en andere hoofdpijn;Medisch;01;Daghosp.;535
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Klass. hosp;2943
055;Hoofdtrauma met coma > 1 uur of met hemorragie;Medisch;01;Daghosp.;16
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Klass. hosp;935
056;Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;Medisch;01;Daghosp.;4
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Klass. hosp;9556
057;Hersenschudding, gesloten schedelbreuk niet anders gespecificeerd, niet gecompliceerd intracraniaal letsel, coma < 1 uur of geen coma;Medisch;01;Daghosp.;40
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Klass. hosp;16960
058;Andere stoornissen van het zenuwstelsel;Medisch;01;Daghosp.;1366
070;Procedures op de orbita;Chirurgisch;02;Klass. hosp;529
070;Procedures op de orbita;Chirurgisch;02;Daghosp.;145
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Klass. hosp;11120
073;Procedures op het oog behalve op de orbita;Chirurgisch;02;Daghosp.;138234
080;Acute majeure ooginfecties;Medisch;02;Klass. hosp;675
080;Acute majeure ooginfecties;Medisch;02;Daghosp.;8
082;Oogstoornissen behalve majeure infecties;Medisch;02;Klass. hosp;2864
082;Oogstoornissen behalve majeure infecties;Medisch;02;Daghosp.;1800
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;1933
089;Majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;557
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Klass. hosp;253
090;Majeure procedures op larynx en trachea;Chirurgisch;03;Daghosp.;9
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Klass. hosp;643
091;Andere majeure procedures op hoofd en hals;Chirurgisch;03;Daghosp.;79
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Klass. hosp;3703
092;Procedures op aangezichtsbeenderen, behalve majeure procedures op aangezichts- en schedelbeenderen;Chirurgisch;03;Daghosp.;10487
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Klass. hosp;6196
093;Procedures op sinussen en mastoïd;Chirurgisch;03;Daghosp.;5064
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Klass. hosp;823
095;Palatoplastie en herstel van hazelip;Chirurgisch;03;Daghosp.;379
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Klass. hosp;7534
097;Procedures op tonsillen en adenoïden;Chirurgisch;03;Daghosp.;34146
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Klass. hosp;14348
098;Andere procedures op oren, neus, mond en keel;Chirurgisch;03;Daghosp.;70116
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Klass. hosp;1896
110;Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;Medisch;03;Daghosp.;1324
111;Vertigo en andere labyrinthstoornissen;Medisch;03;Klass. hosp;5753
111;Vertigo en andere labyrinthstoornissen;Medisch;03;Daghosp.;38
113;Infecties bovenste luchtwegen;Medisch;03;Klass. hosp;15838
113;Infecties bovenste luchtwegen;Medisch;03;Daghosp.;1132
114;Dentale en orale ziekten en letsels;Medisch;03;Klass. hosp;4465
114;Dentale en orale ziekten en letsels;Medisch;03;Daghosp.;99034
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Klass. hosp;49022
115;Andere diagnosen van oren, neus, mond, keel en schedel/aangezicht;Medisch;03;Daghosp.;5978
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Klass. hosp;2525
120;Majeure thoracale en respiratoire procedures;Chirurgisch;04;Daghosp.;9
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Klass. hosp;4549
121;Andere respiratoire en thoracale procedures;Chirurgisch;04;Daghosp.;397
130;Diagnose van het respiratoire stelsel met kunstmatige beademing 96+ uur;Medisch;04;Klass. hosp;1255
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Klass. hosp;798
131;Mucoviscidose (cystic fibrosis) - longziekte;Medisch;04;Daghosp.;30
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;Medisch;04;Klass. hosp;140
132;Bronchopulmonale dysplasie en andere chronische respiratoire ziekten ontstaan in de perinatale periode;Medisch;04;Daghosp.;5
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Klass. hosp;1250
133;Longoedeem en respiratoire insufficiëntie;Medisch;04;Daghosp.;11
134;Longembolie;Medisch;04;Klass. hosp;5317
134;Longembolie;Medisch;04;Daghosp.;16
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Klass. hosp;3229
135;Majeur thoracaal en respiratoir trauma;Medisch;04;Daghosp.;14
136;Maligne respiratoire aandoening;Medisch;04;Klass. hosp;8597
136;Maligne respiratoire aandoening;Medisch;04;Daghosp.;4625
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Klass. hosp;7726
137;Majeure respiratoire infecties en inflammaties;Medisch;04;Daghosp.;192
138;Bronchiolitis en RSV pneumonie;Medisch;04;Klass. hosp;10831
138;Bronchiolitis en RSV pneumonie;Medisch;04;Daghosp.;30
139;Andere pneumonie;Medisch;04;Klass. hosp;31198
139;Andere pneumonie;Medisch;04;Daghosp.;234
140;Chronische obstructieve longaandoeningen;Medisch;04;Klass. hosp;27789
140;Chronische obstructieve longaandoeningen;Medisch;04;Daghosp.;853
141;Astma;Medisch;04;Klass. hosp;6062
141;Astma;Medisch;04;Daghosp.;113
142;Interstitiële longziekte;Medisch;04;Klass. hosp;1874
142;Interstitiële longziekte;Medisch;04;Daghosp.;426
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;Medisch;04;Klass. hosp;5919
143;Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;Medisch;04;Daghosp.;1291
144;Respiratoire tekens, symptomen en mineure diagnosen;Medisch;04;Klass. hosp;25164
144;Respiratoire tekens, symptomen en mineure diagnosen;Medisch;04;Daghosp.;3284
160;Majeur cardiothoracaal herstel van hartanomalie;Chirurgisch;05;Klass. hosp;139
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;Chirurgisch;05;Klass. hosp;1943
161;Inplantatie van hartdefibrillator en hartassistentiesyteem;Chirurgisch;05;Daghosp.;31
162;Procedures op hartkleppen met hartkatheterisatie;Chirurgisch;05;Klass. hosp;1021
163;Procedures op hartkleppen zonder hartkatheterisatie;Chirurgisch;05;Klass. hosp;4168
163;Procedures op hartkleppen zonder hartkatheterisatie;Chirurgisch;05;Daghosp.;2
165;Coronaire overbrugging met hartkatheterisatie of percutane hartprocedures;Chirurgisch;05;Klass. hosp;1991
165;Coronaire overbrugging met hartkatheterisatie of percutane hartprocedures;Chirurgisch;05;Daghosp.;1
166;Coronaire overbrugging zonder hartkatheterisatie of percutane hartprocedures;Chirurgisch;05;Klass. hosp;3671
167;Andere cardiothoracale procedures;Chirurgisch;05;Klass. hosp;685
167;Andere cardiothoracale procedures;Chirurgisch;05;Daghosp.;2
169;Majeure thoracale en abdominale vasculaire procedures;Chirurgisch;05;Klass. hosp;2436
169;Majeure thoracale en abdominale vasculaire procedures;Chirurgisch;05;Daghosp.;13
170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;460
171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Klass. hosp;7301
171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;Chirurgisch;05;Daghosp.;28
173;Andere vasculaire procedures;Chirurgisch;05;Klass. hosp;21644
173;Andere vasculaire procedures;Chirurgisch;05;Daghosp.;5700
174;Percutane cardiovasculaire procedures met acuut hartinfarct;Chirurgisch;05;Klass. hosp;7993
174;Percutane cardiovasculaire procedures met acuut hartinfarct;Chirurgisch;05;Daghosp.;282
175;Percutane cardiovasculaire procedures zonder acuut hartinfarct;Chirurgisch;05;Klass. hosp;24161
175;Percutane cardiovasculaire procedures zonder acuut hartinfarct;Chirurgisch;05;Daghosp.;1686
176;Vervangen van pacemaker of defibrillator;Chirurgisch;05;Klass. hosp;2711
176;Vervangen van pacemaker of defibrillator;Chirurgisch;05;Daghosp.;392
177;Revisie van pacemaker of defibrillator behalve toestel vervanging;Chirurgisch;05;Klass. hosp;966
177;Revisie van pacemaker of defibrillator behalve toestel vervanging;Chirurgisch;05;Daghosp.;87
180;Andere procedures op het circulatoire systeem;Chirurgisch;05;Klass. hosp;3393
180;Andere procedures op het circulatoire systeem;Chirurgisch;05;Daghosp.;19151
190;Acuut myocardinfarct;Medisch;05;Klass. hosp;7880
190;Acuut myocardinfarct;Medisch;05;Daghosp.;373
191;Hartkatheterisatie met circulatoire stoornissen behalve ischemische hartziekte;Medisch;05;Klass. hosp;12859
191;Hartkatheterisatie met circulatoire stoornissen behalve ischemische hartziekte;Medisch;05;Daghosp.;3104
192;Hartkatheterisatie voor ischemische hartziekte;Medisch;05;Klass. hosp;19410
192;Hartkatheterisatie voor ischemische hartziekte;Medisch;05;Daghosp.;10477
193;Acute en subacute endocarditis;Medisch;05;Klass. hosp;231
193;Acute en subacute endocarditis;Medisch;05;Daghosp.;3
194;Hartfalen;Medisch;05;Klass. hosp;22248
194;Hartfalen;Medisch;05;Daghosp.;27
196;Hartstilstand;Medisch;05;Klass. hosp;887
196;Hartstilstand;Medisch;05;Daghosp.;138
197;Perifere en andere vasculaire stoornissen;Medisch;05;Klass. hosp;6029
197;Perifere en andere vasculaire stoornissen;Medisch;05;Daghosp.;2195
198;Angina pectoris en coronaire atherosclerose;Medisch;05;Klass. hosp;5422
198;Angina pectoris en coronaire atherosclerose;Medisch;05;Daghosp.;59
199;Hypertensie;Medisch;05;Klass. hosp;2708
199;Hypertensie;Medisch;05;Daghosp.;40
200;Structurele hartaandoeningen en kleplijden;Medisch;05;Klass. hosp;1202
200;Structurele hartaandoeningen en kleplijden;Medisch;05;Daghosp.;178
201;Hartaritmie en geleidingsstoornissen;Medisch;05;Klass. hosp;19909
201;Hartaritmie en geleidingsstoornissen;Medisch;05;Daghosp.;4979
203;Thoracale pijn;Medisch;05;Klass. hosp;5314
203;Thoracale pijn;Medisch;05;Daghosp.;215
204;Syncope en collaps;Medisch;05;Klass. hosp;9931
204;Syncope en collaps;Medisch;05;Daghosp.;28
205;Cardiomyopathie;Medisch;05;Klass. hosp;329
205;Cardiomyopathie;Medisch;05;Daghosp.;9
206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;Medisch;05;Klass. hosp;958
206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;Medisch;05;Daghosp.;344
207;Andere diagnosen van het circulatoir stelsel;Medisch;05;Klass. hosp;5196
207;Andere diagnosen van het circulatoir stelsel;Medisch;05;Daghosp.;278
220;Majeure procedures op oesofagus, maag en duodenum;Chirurgisch;06;Klass. hosp;3476
220;Majeure procedures op oesofagus, maag en duodenum;Chirurgisch;06;Daghosp.;144
221;Majeure procedures op dunne en dikke darm;Chirurgisch;06;Klass. hosp;17349
221;Majeure procedures op dunne en dikke darm;Chirurgisch;06;Daghosp.;61
222;Andere procedures op oesofagus, maag, duodenum;Chirurgisch;06;Klass. hosp;2346
222;Andere procedures op oesofagus, maag, duodenum;Chirurgisch;06;Daghosp.;242
223;Andere procedures op dunne en dikke darm;Chirurgisch;06;Klass. hosp;3085
223;Andere procedures op dunne en dikke darm;Chirurgisch;06;Daghosp.;216
224;Peritoneale adhesiolyse;Chirurgisch;06;Klass. hosp;1771
224;Peritoneale adhesiolyse;Chirurgisch;06;Daghosp.;92
225;Appendectomie;Chirurgisch;06;Klass. hosp;13226
225;Appendectomie;Chirurgisch;06;Daghosp.;100
226;Anale procedures;Chirurgisch;06;Klass. hosp;7626
226;Anale procedures;Chirurgisch;06;Daghosp.;8572
227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Klass. hosp;6854
227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Daghosp.;1308
228;Procedures voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Klass. hosp;17368
228;Procedures voor hernia inguinalis, femoralis en umbilicalis;Chirurgisch;06;Daghosp.;11845
229;Andere procedures op het spijsverteringsstelsel en abdomen;Chirurgisch;06;Klass. hosp;2537
229;Andere procedures op het spijsverteringsstelsel en abdomen;Chirurgisch;06;Daghosp.;478
240;Maligne aandoeningen van het spijsverteringsstelsel;Medisch;06;Klass. hosp;7331
240;Maligne aandoeningen van het spijsverteringsstelsel;Medisch;06;Daghosp.;8636
241;Peptisch ulcus en gastritis;Medisch;06;Klass. hosp;8818
241;Peptisch ulcus en gastritis;Medisch;06;Daghosp.;11394
242;Majeure slokdarmstoornissen;Medisch;06;Klass. hosp;912
242;Majeure slokdarmstoornissen;Medisch;06;Daghosp.;464
243;Andere slokdarmstoornissen;Medisch;06;Klass. hosp;7818
243;Andere slokdarmstoornissen;Medisch;06;Daghosp.;17170
244;Diverticulitis en diverticulosis;Medisch;06;Klass. hosp;9635
244;Diverticulitis en diverticulosis;Medisch;06;Daghosp.;15453
245;Inflammatoire darmziekte;Medisch;06;Klass. hosp;3174
245;Inflammatoire darmziekte;Medisch;06;Daghosp.;7432
246;Gastro-intestinale vasculaire insufficiëntie;Medisch;06;Klass. hosp;1594
246;Gastro-intestinale vasculaire insufficiëntie;Medisch;06;Daghosp.;123
247;Intestinale obstructie;Medisch;06;Klass. hosp;9086
247;Intestinale obstructie;Medisch;06;Daghosp.;444
248;Majeure gastro-intestinale en peritoneale infecties;Medisch;06;Klass. hosp;5543
248;Majeure gastro-intestinale en peritoneale infecties;Medisch;06;Daghosp.;121
249;Niet bacteriële gastro-enteritis, misselijkheid en braken;Medisch;06;Klass. hosp;26734
249;Niet bacteriële gastro-enteritis, misselijkheid en braken;Medisch;06;Daghosp.;6754
251;Abdominale pijn;Medisch;06;Klass. hosp;6735
251;Abdominale pijn;Medisch;06;Daghosp.;6597
252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;Medisch;06;Klass. hosp;2041
252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;Medisch;06;Daghosp.;639
253;Andere en niet gespecificeerde gastro-intestinale hemorragie;Medisch;06;Klass. hosp;2572
253;Andere en niet gespecificeerde gastro-intestinale hemorragie;Medisch;06;Daghosp.;1873
254;Andere diagnosen van spijsverteringsstelsel;Medisch;06;Klass. hosp;24144
254;Andere diagnosen van spijsverteringsstelsel;Medisch;06;Daghosp.;84993
260;Majeure pancreas-, lever- en shuntprocedures;Chirurgisch;07;Klass. hosp;2472
260;Majeure pancreas-, lever- en shuntprocedures;Chirurgisch;07;Daghosp.;20
261;Majeure procedures op de galwegen;Chirurgisch;07;Klass. hosp;513
261;Majeure procedures op de galwegen;Chirurgisch;07;Daghosp.;47
262;Cholecystectomie, behalve laparoscopisch;Chirurgisch;07;Klass. hosp;863
262;Cholecystectomie, behalve laparoscopisch;Chirurgisch;07;Daghosp.;20
263;Laparoscopische cholecystectomie;Chirurgisch;07;Klass. hosp;19287
263;Laparoscopische cholecystectomie;Chirurgisch;07;Daghosp.;1104
264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;Chirurgisch;07;Klass. hosp;1058
264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;Chirurgisch;07;Daghosp.;301
279;Hepatisch coma en andere majeure acute leverstoornissen;Medisch;07;Klass. hosp;1608
279;Hepatisch coma en andere majeure acute leverstoornissen;Medisch;07;Daghosp.;48
280;Alcoholische leverziekte;Medisch;07;Klass. hosp;3807
280;Alcoholische leverziekte;Medisch;07;Daghosp.;324
281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;Medisch;07;Klass. hosp;5332
281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;Medisch;07;Daghosp.;2094
282;Stoornissen van de pancreas behalve maligne aandoeningen;Medisch;07;Klass. hosp;6869
282;Stoornissen van de pancreas behalve maligne aandoeningen;Medisch;07;Daghosp.;885
283;Andere leverstoornissen;Medisch;07;Klass. hosp;3363
283;Andere leverstoornissen;Medisch;07;Daghosp.;1260
284;Stoornissen van de galblaas en de galwegen;Medisch;07;Klass. hosp;11337
284;Stoornissen van de galblaas en de galwegen;Medisch;07;Daghosp.;978
301;Vervanging van heupgewricht;Chirurgisch;08;Klass. hosp;28444
301;Vervanging van heupgewricht;Chirurgisch;08;Daghosp.;3
302;Kniegewricht vervanging;Chirurgisch;08;Klass. hosp;24441
302;Kniegewricht vervanging;Chirurgisch;08;Daghosp.;12
303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;Chirurgisch;08;Klass. hosp;287
304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;Chirurgisch;08;Klass. hosp;9940
304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;Chirurgisch;08;Daghosp.;7
305;Amputatie van onderste lidmaat behalve tenen;Chirurgisch;08;Klass. hosp;956
305;Amputatie van onderste lidmaat behalve tenen;Chirurgisch;08;Daghosp.;3
308;Procedures op heup en femur voor trauma behalve gewrichtsvervanging;Chirurgisch;08;Klass. hosp;10742
308;Procedures op heup en femur voor trauma behalve gewrichtsvervanging;Chirurgisch;08;Daghosp.;17
309;Procedures op heup en femur zonder trauma behalve gewrichtsvervanging;Chirurgisch;08;Klass. hosp;2815
309;Procedures op heup en femur zonder trauma behalve gewrichtsvervanging;Chirurgisch;08;Daghosp.;933
310;Excisie en decompressie van discus intervertebralis;Chirurgisch;08;Klass. hosp;19429
310;Excisie en decompressie van discus intervertebralis;Chirurgisch;08;Daghosp.;240
312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;Chirurgisch;08;Klass. hosp;377
312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;Chirurgisch;08;Daghosp.;234
313;Procedures op de knie en het onderbeen, behalve op de voet;Chirurgisch;08;Klass. hosp;23232
313;Procedures op de knie en het onderbeen, behalve op de voet;Chirurgisch;08;Daghosp.;46285
314;Procedures op voet en tenen;Chirurgisch;08;Klass. hosp;17006
314;Procedures op voet en tenen;Chirurgisch;08;Daghosp.;7732
315;Procedures op schouder, arm en voorarm;Chirurgisch;08;Klass. hosp;37549
315;Procedures op schouder, arm en voorarm;Chirurgisch;08;Daghosp.;12795
316;Procedures op hand en pols;Chirurgisch;08;Klass. hosp;6030
316;Procedures op hand en pols;Chirurgisch;08;Daghosp.;33133
317;Procedures op pees, spier en andere weke weefsels;Chirurgisch;08;Klass. hosp;7216
317;Procedures op pees, spier en andere weke weefsels;Chirurgisch;08;Daghosp.;9193
320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;Chirurgisch;08;Klass. hosp;8831
320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;Chirurgisch;08;Daghosp.;23976
321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;Chirurgisch;08;Klass. hosp;7632
321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;Chirurgisch;08;Daghosp.;366
340;Femurfracturen;Medisch;08;Klass. hosp;1510
340;Femurfracturen;Medisch;08;Daghosp.;20
341;Fracturen van het bekken of luxatie van de heup;Medisch;08;Klass. hosp;3879
341;Fracturen van het bekken of luxatie van de heup;Medisch;08;Daghosp.;24
342;Fracturen of luxatie, behalve femur, heup en bekken;Medisch;08;Klass. hosp;9005
342;Fracturen of luxatie, behalve femur, heup en bekken;Medisch;08;Daghosp.;4026
343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;Medisch;08;Klass. hosp;2202
343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;Medisch;08;Daghosp.;1152
344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;Medisch;08;Klass. hosp;1316
344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;Medisch;08;Daghosp.;53
346;Stoornissen van het bindweefsel;Medisch;08;Klass. hosp;3738
346;Stoornissen van het bindweefsel;Medisch;08;Daghosp.;2448
347;Andere stoornissen, breuken en letsels van de rug en van de nek;Medisch;08;Klass. hosp;21777
347;Andere stoornissen, breuken en letsels van de rug en van de nek;Medisch;08;Daghosp.;113108
349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;Medisch;08;Klass. hosp;2309
349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;Medisch;08;Daghosp.;331
351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;Medisch;08;Klass. hosp;13002
351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;Medisch;08;Daghosp.;7844
361;Huidgreffe voor huid en subcutaan weefsel diagnosen;Chirurgisch;09;Klass. hosp;3400
361;Huidgreffe voor huid en subcutaan weefsel diagnosen;Chirurgisch;09;Daghosp.;5004
362;Mastectomie procedures;Chirurgisch;09;Klass. hosp;6471
362;Mastectomie procedures;Chirurgisch;09;Daghosp.;261
363;Procedures op de borst, behalve mastectomie;Chirurgisch;09;Klass. hosp;14533
363;Procedures op de borst, behalve mastectomie;Chirurgisch;09;Daghosp.;6154
364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;Chirurgisch;09;Klass. hosp;10080
364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;Chirurgisch;09;Daghosp.;9204
380;Huidulcera;Medisch;09;Klass. hosp;2253
380;Huidulcera;Medisch;09;Daghosp.;128
381;Majeure aandoeningen van de huid;Medisch;09;Klass. hosp;1289
381;Majeure aandoeningen van de huid;Medisch;09;Daghosp.;395
382;Maligne aandoeningen van de mamma;Medisch;09;Klass. hosp;1313
382;Maligne aandoeningen van de mamma;Medisch;09;Daghosp.;3772
383;Cellulitis en andere bacteriële huidinfecties;Medisch;09;Klass. hosp;11749
383;Cellulitis en andere bacteriële huidinfecties;Medisch;09;Daghosp.;1828
384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;Medisch;09;Klass. hosp;8630
384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;Medisch;09;Daghosp.;5097
385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;Medisch;09;Klass. hosp;4935
385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;Medisch;09;Daghosp.;19501
401;Procedures op bijnieren en hypofyse;Chirurgisch;10;Klass. hosp;633
403;Procedures voor obesitas;Chirurgisch;10;Klass. hosp;13572
403;Procedures voor obesitas;Chirurgisch;10;Daghosp.;76
404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;Chirurgisch;10;Klass. hosp;7251
404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;Chirurgisch;10;Daghosp.;91
405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;Chirurgisch;10;Klass. hosp;652
405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;Chirurgisch;10;Daghosp.;169
420;Diabetes;Medisch;10;Klass. hosp;11290
420;Diabetes;Medisch;10;Daghosp.;37
421;Malnutritie, “failure to thrive” en andere nutritionele stoornissen;Medisch;10;Klass. hosp;6108
421;Malnutritie, “failure to thrive” en andere nutritionele stoornissen;Medisch;10;Daghosp.;1739
422;Hypovolemie en gerelateerde electrolytenstoornissen;Medisch;10;Klass. hosp;4176
