apr-drg;apr-drg_label;mdc_label;medisch_of_chirurgisch;soort_hospitalisatie;nis_code;gewest;aantal_verblijven
22;Procedures op een ventriculaire shunt;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;175
22;Procedures op een ventriculaire shunt;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;45
22;Procedures op een ventriculaire shunt;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;23
22;Procedures op een ventriculaire shunt;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;3000;Waals Gewest;< 5
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;953
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;463
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;71
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;43
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;2000;Vlaams Gewest;117
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;3000;Waals Gewest;19
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
23;Spinale procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;0;Buitenlands verblijf;< 5
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;2 915
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;1 715
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;395
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;107
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;2000;Vlaams Gewest;52
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;3000;Waals Gewest;22
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;8
24;Extracraniale vasculaire procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;0;Buitenlands verblijf;< 5
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;2000;Vlaams Gewest;2 020
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;3000;Waals Gewest;1 186
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;196
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;0;Buitenlands verblijf;88
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;2000;Vlaams Gewest;21 580
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;3000;Waals Gewest;13 497
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;1 886
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;0;Buitenlands verblijf;318
26;Andere procedures op het zenuwstelsel en gerelateerde procedures;MDC 01 : Zenuwstelsel;Chirurgisch;Daghosp.;9999;Zonder vast verblijf;9
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;450
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;167
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;41
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;9
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;51
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;29
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;7
40;Spinale stoornissen en letsels;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;1 814
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;1 002
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;220
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;66
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;189
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;87
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;43
41;Maligniteit van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;8 125
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;4 195
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;1 053
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;101
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;92
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;45
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;32
42;Degeneratieve stoornissen van het zenuwstelsel met uitzondering van multipele sclerose;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;2 768
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;1 089
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;214
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;49
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;124
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;128
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;72
43;Multipele sclerose en andere demyeliniserende ziekten;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;2 101
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;1 139
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;282
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;60
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;25
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;14
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;6
44;Intracraniële hemorragie;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;9 442
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;4 719
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;1 113
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;169
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;25
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;5
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;6
45;CVA en precerebrale occlusie met infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;421
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;259
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;53
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;8
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;50
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;32
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;14
46;Niet specifieke CVA en precerebrale occlusie zonder infarct;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;5 213
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;2 210
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;484
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;93
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;18
47;Transitoire cerebrale ischemie (TIA);MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;6
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;2 564
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;1 353
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;288
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;70
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;9999;Zonder vast verblijf;< 5
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;3 501
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;1 439
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;579
48;Stoornissen van de perifere, craniale en autonome zenuwen;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;39
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;381
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;226
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;72
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;9
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;< 5
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;< 5
49;Bacteriële en tuberculeuze infecties van het zenuwstelsel;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;589
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;253
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;96
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;15
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;23
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;13
50;Niet bacteriële infecties van het zenuwstelsel behalve virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;1 096
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;369
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;151
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;16
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;< 5
51;Virale meningitis;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;5
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;1 625
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;750
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;169
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;60
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;24
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;3000;Waals Gewest;18
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;4000;Brussels Hoofdstedelijk Gewest;< 5
52;Niet-traumatische stupor en coma;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;0;Buitenlands verblijf;< 5
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;2000;Vlaams Gewest;9 292
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;3000;Waals Gewest;5 680
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;4000;Brussels Hoofdstedelijk Gewest;1 535
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;0;Buitenlands verblijf;335
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Klass. hosp.;9999;Zonder vast verblijf;15
53;Epileptisch insult;MDC 01 : Zenuwstelsel;Medisch;Daghosp.;2000;Vlaams Gewest;170
