région;drg_36;libellé_drg;mdc_36;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
Région flamande;201;201 Arythmie cardiaque et troubles de la conduction;05;Médical;9 272;6 191
Région flamande;203;203 Douleur thoracique;05;Médical;2 183;78
Région flamande;204;204 Syncope et collapsus;05;Médical;6 942;164
Région flamande;205;205 Cardiomyopathie;05;Médical;141;19
Région flamande;206;206 Dysfonctionnement, réaction et complic. du matériel ou de la procédure cardiaque/vasculaire;05;Médical;751;390
Région flamande;207;207 Autres diagnostics du système circulatoire;05;Médical;3 220;557
Région flamande;220;220 Procédures majeures sur l'oesophage, l'estomac et le duodénum;06;Chirurgical;1 890;30
Région flamande;222;222 Autres procédures sur l'oesophage, l'estomac et le duodénum;06;Chirurgical;729;179
Région flamande;223;223 Autres procédures sur l'intestin grêle et le gros intestin;06;Chirurgical;871;1 168
Région flamande;224;224 Adhésiolyse péritonéale;06;Chirurgical;1 240;136
Région flamande;226;226 Procédures sur l'anus;06;Chirurgical;1 931;5 966
Région flamande;227;227 Procédures pour hernie, excepté procédures pour hernie inguinale, fémorale et ombilicale;06;Chirurgical;3 369;2 240
Région flamande;228;228 Procédures pour hernie inguinale, fémorale et ombilicale;06;Chirurgical;5 532;9 474
Région flamande;229;229 Autres procédures sur le système digestif et l'abdomen;06;Chirurgical;1 480;482
Région flamande;230;230 Procédures majeures sur l'intestin grêle;06;Chirurgical;3 674;29
Région flamande;231;231 Procédures majeures sur le gros intestin;06;Chirurgical;7 068;158
Région flamande;232;232 Fundoplicature de l'estomac;06;Chirurgical;383;9
Région flamande;233;233 Appendicectomie avec diagnose principale complexe;06;Chirurgical;1 206;10
Région flamande;234;234 Appendicectomie sans diagnose principale complexe;06;Chirurgical;6 254;202
Région flamande;240;240 Affections malignes du système digestif;06;Médical;3 480;5 737
Région flamande;241;241 Ulcère peptique et gastrite;06;Médical;4 231;10 038
Région flamande;242;242 Troubles majeurs de l'oesophage;06;Médical;623;370
Région flamande;243;243 Autres troubles de l'oesophage;06;Médical;2 795;10 709
Région flamande;244;244 Diverticulite et diverticulose;06;Médical;5 158;12 871
Région flamande;245;245 Maladie inflammatoire de l'intestin;06;Médical;1 871;6 610
Région flamande;246;246 Insuffisance vasculaire gastro-intestinale;06;Médical;816;114
Région flamande;247;247 Obstruction intestinale;06;Médical;4 769;225
Région flamande;248;248 Infections gastro-intestinales et péritonéales majeures;06;Médical;3 035;113
Région flamande;249;249 Autre gastro-entérite, nausée et vomissement;06;Médical;18 485;7 109
Région flamande;251;251 Douleur abdominale;06;Médical;2 928;5 180
Région flamande;252;252 Dysfonctionnement, réaction et complic, de dispositif ou de procédure gastro-intestinaux;06;Médical;1 579;656
Région flamande;253;253 Hémorragie gastro-intestinale, autre et non specifiée;06;Médical;1 699;1 130
Région flamande;254;254 Autres diagnostics du système digestif;06;Médical;11 713;77 965
Région flamande;260;260 Procédures majeures sur pancréas, foie et shunt;07;Chirurgical;1 352;48
Région flamande;261;261 Procédures majeures sur les voies biliaires;07;Chirurgical;239;< 5
Région flamande;263;263 Cholécystectomie;07;Chirurgical;10 953;1 914
Région flamande;264;264 Autres procédures abdominales, sur système hépatobiliaire et pancréas;07;Chirurgical;791;223
Région flamande;279;279 Coma hépatique et autres troubles hépatiques majeurs aigus;07;Médical;942;29
Région flamande;280;280 Maladie hépatique alcoolique;07;Médical;2 065;230
Région flamande;281;281 Affection maligne du système hépatobiliaire et du pancréas;07;Médical;2 493;2 367
Région flamande;282;282 Troubles du pancréas excepté affections malignes;07;Médical;3 902;869
Région flamande;283;283 Autres troubles du foie;07;Médical;1 426;963
Région flamande;284;284 Troubles de la vésicule biliaire et des voies biliaires;07;Médical;7 167;966
Région flamande;301;301 Remplacement de l'articulation de la hanche;08;Chirurgical;19 796;31
Région flamande;302;302 Remplacement de l'articulation du genou;08;Chirurgical;16 528;45
Région flamande;303;303 Arthrodèse dorsale et lombaire pour déviation du dos;08;Chirurgical;225;0
Région flamande;304;304 Arthrodèse dorso-lombaire excepté déviation du dos;08;Chirurgical;4 851;< 5
Région flamande;305;305 Amputation du membre inférieur excepté les orteils;08;Chirurgical;525;7
Région flamande;308;308 Réparation d'une fracture de la hanche et du fémur;08;Chirurgical;6 290;13
Région flamande;309;309 Autre chirurgie significative de la hanche et du fémur;08;Chirurgical;2 210;1 514
Région flamande;310;310 Excision et décompression du disque intervertébral;08;Chirurgical;9 935;99
Région flamande;312;312 Greffe cutanée, excepté de la main, pour diagnostics musculo-squelettiques et du tissu conjonctif;08;Chirurgical;335;453
Région flamande;313;313 Procédures sur le genou et la jambe, excepté le pied;08;Chirurgical;10 096;22 365
Région flamande;314;314 Procédures sur le pied et les orteils;08;Chirurgical;7 701;5 844
Région flamande;315;315 Procédures sur l'épaule, le bras et l'avant-bras excepté le remplacement de l'articulation;08;Chirurgical;18 232;13 663
Région flamande;316;316 Procédures sur la main et le poignet;08;Chirurgical;2 766;22 633
Région flamande;317;317 Procédures sur le tendon, le muscle et autres tissus mous;08;Chirurgical;3 941;7 168
Région flamande;320;320 Autres procédures sur le système musculo-squelettique et le tissu conjonctif;08;Chirurgical;6 640;6 436
Région flamande;321;321 Arthrodèse cervicale et autres procédures sur le cou/dos, excepté excis./décompres. de disque;08;Chirurgical;4 361;173
Région flamande;322;322 Remplacement de l'articulation de l'épaule et du coude;08;Chirurgical;3 389;10
Région flamande;340;340 Fracture du fémur;08;Médical;974;7
Région flamande;341;341 Fracture du bassin ou luxation de la hanche;08;Médical;2 111;6
Région flamande;342;342 Fracture ou luxation excepté du fémur, du bassin et du dos;08;Médical;4 460;2 435
Région flamande;343;343 Affection maligne musc-squellet. et fracture pathol. dues à affection maligne musc-squellet.;08;Médical;1 402;827
Région flamande;344;344 Ostéomyélite, arthrite septique et autres infections musculo-squelettiques;08;Médical;806;70
Région flamande;346;346 Troubles du tissu conjonctif;08;Médical;1 793;1 059
Région flamande;347;347 Autres troubles, fractures et traumatismes du dos et du cou;08;Médical;9 589;14 429
Région flamande;349;349 Dysfonctionnement, réaction et complic. de matériel ou de procédure orthopédiques;08;Médical;1 176;436
Région flamande;351;351 Autres diagnostics du système musculo-squelettique et du tissu conjonctif;08;Médical;6 732;4 533
Région flamande;361;361 Greffe cutanée pour diagnotics de la peau et du tissu sous-cutane;09;Chirurgical;2 252;6 290
Région flamande;362;362 Procédures de mastectomie;09;Chirurgical;3 084;310
Région flamande;363;363 Procédures mammaires, excepté mastectomie;09;Chirurgical;9 029;4 836
Région flamande;364;364 Autres procédures sur la peau, les tissus sous-cutanés et procédures associées;09;Chirurgical;3 408;4 209
Région flamande;380;380 Ulcères cutanés;09;Médical;871;62
Région flamande;381;381 Troubles majeurs de la peau;09;Médical;362;421
Région flamande;382;382 Affections malignes du sein;09;Médical;433;3 748
Région flamande;383;383 Cellulite et autres infections de la peau;09;Médical;5 884;1 678
Région flamande;384;384 Contusion, plaie ouverte et autres traumatismes de la peau et du tissu sous-cutané;09;Médical;3 900;1 489
Région flamande;385;385 Autres troubles de la peau, du tissu sous-cutané et du sein;09;Médical;2 661;10 586
Région flamande;401;401 Procédures sur les surrénales et l'hypophyse;10;Chirurgical;189;< 5
Région flamande;403;403 Procédures pour obésité;10;Chirurgical;8 515;103
Région flamande;404;404 Procédures sur la thyroïde, les parathyroïdes ou le canal thyréoglosse;10;Chirurgical;3 560;52
Région flamande;405;405 Autres procédures pour troubles endocriniens, nutritionnels et métaboliques;10;Chirurgical;134;10
Région flamande;420;420 Diabète;10;Médical;5 332;29
Région flamande;421;421 Malnutrition, retard staturo-pondéral et autres troubles nutritionnels;10;Médical;4 149;1 082
Région flamande;422;422 Hypovolémie et troubles électrolytiques associés;10;Médical;1 835;< 5
Région flamande;423;423 Anomalies congénitales du métabolisme;10;Médical;304;237
Région flamande;424;424 Autres troubles endocriniens;10;Médical;730;144
Région flamande;425;425 Autres troubles électrolytiques non hypovolémiques;10;Médical;1 253;12
Région flamande;426;426 Troubles non hypovolémiques du bilan du sodium;10;Médical;1 814;< 5
Région flamande;427;427 Troubles thyroïdiens;10;Médical;685;35
Région flamande;440;440 Transplantation rénale;11;Chirurgical;216;0
Région flamande;441;441 Procédures majeures sur la vessie;11;Chirurgical;661;< 5
Région flamande;442;442 Procédures sur les reins et les voies urinaires pour affection maligne;11;Chirurgical;1 301;43
Région flamande;443;443 Procédures sur les reins et les voies urinaires pour affection non maligne;11;Chirurgical;2 778;977
Région flamande;444;444 Procédure pour installation du dispositif d'accès pour dialyse rénale et réparation de vaisseaux;11;Chirurgical;443;251
Région flamande;445;445 Autres procédures sur la vessie;11;Chirurgical;1 494;545
Région flamande;446;446 Procédures uréthrales et transuréthrales;11;Chirurgical;10 491;4 289
Région flamande;447;447 Autres procédures sur les reins, les voies urinaires et procédures associées;11;Chirurgical;176;31
Région flamande;461;461 Affection maligne des reins et voies urinaires;11;Médical;963;2 896
Région flamande;462;462 Néphrite et néphrose;11;Médical;465;159
Région flamande;463;463 Infections des reins et voies urinaires;11;Médical;12 913;787
Région flamande;465;465 Lithiases urinaires et obstruction acquise du tractus urinaire supérieur;11;Médical;5 987;8 294
Région flamande;466;466 Dysfonctionnement, réaction et complic. de matériel ou de procédure génito-urinaire;11;Médical;1 752;660
Région flamande;468;468 Autres diagnostics, signes et symptômes du rein et des voies urinaires;11;Médical;6 626;21 229
Région flamande;469;469 Traumatisme aigue du rein;11;Médical;1 346;6
Région flamande;470;470 Maladie rénale chronique;11;Médical;1 081;441
Région flamande;480;480 Procédures majeures sur le bassin masculin;12;Chirurgical;3 120;< 5
Région flamande;482;482 Prostatectomie transurétrale;12;Chirurgical;5 502;234
Région flamande;483;483 Procédures sur le pénis, les testicules et le scrotum;12;Chirurgical;1 263;4 364
Région flamande;484;484 Autres procédures sur le système reproducteur masculin et procédures associées;12;Chirurgical;805;138
Région flamande;500;500 Affection maligne du système reproducteur masculin;12;Médical;673;3 163
Région flamande;501;501 Diagnostics du système reproducteur masculin excepté affections malignes;12;Médical;2 767;19 051
Région flamande;510;510 Eviscération pelvienne, hystérectomie radicale et autres procédures gynécologiques radicales;13;Chirurgical;364;< 5
Région flamande;511;511 Procédures sur utérus et annexes pour affection maligne des ovaires et ses annexes;13;Chirurgical;430;48
Région flamande;512;512 Procédures sur utérus et annexes pour affections malignes excepté des ovaires et ses annexes;13;Chirurgical;724;62
Région flamande;513;513 Procédures sur uterus/annexes pour affection non maligne excepté léiomyome;13;Chirurgical;6 041;5 542
Région flamande;514;514 Procédures réconstructives du système reproducteur féminin;13;Chirurgical;1 626;121
Région flamande;517;517 Dilatation et curetage pour des diagnostics non-obstétricaux;13;Chirurgical;282;3 944
Région flamande;518;518 Autres procédures sur le système reproducteur féminin et procédures associées;13;Chirurgical;860;1 983
Région flamande;519;519 Procédures sur utérus/annexes pour léiomyome;13;Chirurgical;2 430;767
Région flamande;530;530 Affection maligne du système reproducteur féminin;13;Médical;674;1 209
Région flamande;531;531 Infections du système reproducteur féminin;13;Médical;368;251
Région flamande;532;532 Troubles menstruels et autres troubles du système reproducteur féminin;13;Médical;799;6 406
Région flamande;540;540 Accouchement par césarienne;14;Chirurgical;14 271;34
Région flamande;541;541 Accouchement par voie vaginale avec stérilisation et/ou dilatation et curetage;14;Chirurgical;1 591;74
Région flamande;542;542 Accouchement par voie vaginale avec proc. compl., excepté stérilisat. ou dilat. et curet.;14;Chirurgical;960;14
Région flamande;544;544 Dilatation et curetage, curetage par aspiration ou hystérotomie pour diagnostics obstétricaux;14;Chirurgical;718;4 275
Région flamande;545;545 Procédure pour grossesse ectopique;14;Chirurgical;604;110
Région flamande;546;546 Autres procédures en salle d'opération pour diagnostics obstétricaux excepté accouchement;14;Chirurgical;270;152
Région flamande;560;560 Accouchement par voie vaginale;14;Médical;47 141;1 397
Région flamande;561;561 Diagnostics du post-partum et post-avortement, sans procédure;14;Médical;1 006;80
Région flamande;563;563 Travail prématuré;14;Médical;950;5
Région flamande;564;564 Avortement, sans dilatation et curetage, curetage par aspiration ou hystérotomie;14;Médical;448;178
Région flamande;565;565 Faux travail;14;Médical;598;8
Région flamande;566;566 Autres diagnostics en antepartum;14;Médical;6 687;1 042
Région flamande;580;580 Nouveau-né, transferé dans les 5 jours, né ailleurs;15;Médical;69;0
Région flamande;581;581 Nouveau-né, transferé dans les 5 jours, né ici;15;Médical;26;< 5
Région flamande;583;583 Nouveau-né, avec ECMO;15;Chirurgical;8;0
Région flamande;588;588 Nouveau-né, poids de naissance < 1500g, avec procédure majeure;15;Chirurgical;18;0
Région flamande;589;589 Nouveau-né, poids de nais. <  500g, ou poids de nais. 500-999g et age gestat. < 24 semaines, ou poids de nais. 500-749g avec anomalie majeure ou sans intervention de maintien de la vie;15;Médical;15;0
Région flamande;591;591 Nouveau-né, poids de naissance 500-749g sans procédure majeure;15;Médical;56;0
Région flamande;593;593 Nouveau-né, poids de naissance 750-999g sans procédure majeure;15;Médical;104;0
Région flamande;602;602 Nouveau-né, poids de nais. 1000-1249g avec syndrôme de détresse resp./autres anom. resp. maj. ou anom. maj.;15;Médical;102;0
Région flamande;603;603 Nouveau-né, poids de naissance 1000-1249g avec ou sans autre affection significative;15;Médical;10;0
Région flamande;607;607 Nouveau-né, poids de nais. 1250-1499g avec syndrôme de détresse resp./autres anom. respir. maj. ou anom. maj.;15;Médical;156;0
Région flamande;608;608 Nouveau-né, poids de naissance 1250-1499g avec/sans autre affection significative;15;Médical;45;0
Région flamande;609;609 Nouveau-né, poids de naissance 1500-2499g avec procédure majeure;15;Chirurgical;25;0
Région flamande;611;611 Nouveau-né, poids de naissance 1500-1999g avec anomalie majeure;15;Médical;92;0
Région flamande;612;612 Nouveau-né, poids de naissance 1500-1999g avec syndrôme de détresse resp./autre affec. resp. majeure;15;Médical;218;0
Région flamande;613;613 Nouveau-né, poids de naissance 1500-1999g avec infection congénitale ou périnatale;15;Médical;18;0
Région flamande;614;614 Nouveau-né, poids de naissance 1500-1999g avec ou sans autre affection significative;15;Médical;176;0
Région flamande;621;621 Nouveau-né, poids de naissance 2000-2499g avec anomalie majeure;15;Médical;72;0
Région flamande;622;622 Nouveau-né, poids de naissance 2000-2499g avec syndrôme de détresse resp./autre affec. resp. majeure;15;Médical;145;0
Région flamande;623;623 Nouveau-né, poids de naissance 2000-2499g avec infections congénitales ou périnatales;15;Médical;27;0
Région flamande;625;625 Nouveau-né, poids de naissance 2000-2499g, né ici, avec autre affection significative;15;Médical;105;0
Région flamande;626;626 Nouveau-né, poids de naissance 2000-2499g, nouveau-né normal ou nouveau-né avec autre problème;15;Médical;139;0
Région flamande;630;630 Nouveau-né , poids de naissance > 2499g avec procédure cardiovasculaire majeure;15;Chirurgical;47;0
Région flamande;631;631 Nouveau-né, poids de naissance > 2499g avec autre procédure majeure;15;Chirurgical;51;0
Région flamande;633;633 Nouveau-né, poids de naissance > 2499g avec anomalie majeure;15;Médical;245;0
Région flamande;634;634 Nouveau-né, poids de naissance > 2499g avec syndrôme de détresse resp./autre affec. resp. majeure;15;Médical;347;0
Région flamande;636;636 Nouveau-né, poids de naissance > 2499g avec infection congénitale ou périnatale;15;Médical;129;0
Région flamande;639;639 Nouveau-né, poids de naissance > 2499g avec autre affection significative;15;Médical;377;0
Région flamande;640;640 Nouveau-né, poids de naissance > 2499g, nouveau-né normal ou nouveau-né avec autres problèmes;15;Médical;1 139;6
Région flamande;650;650 Splénectomie;16;Chirurgical;81;< 5
Région flamande;651;651 Autres procédures sur sang et organes hématopoïétiques;16;Chirurgical;311;475
Région flamande;660;660 Diagnostics hématol./immunol. majeurs excepté crise drépanocytaire et crise de la coagulation;16;Médical;1 784;3 832
Région flamande;661;661 Troubles de la coagulation et des plaquettes;16;Médical;635;1 158
Région flamande;662;662 Crise d'anémie à cellules falciformes;16;Médical;341;55
Région flamande;663;663 Autres anémies et troubles sanguins et troubles des organes hematopoïétiques;16;Médical;5 879;12 861
Région flamande;680;680 Procédures majeures en salle d'opération pour néoplasie lymphatique/hématopoïétique/autre;17;Chirurgical;564;21
Région flamande;681;681 Autres procédures en salle d'opération pour néoplasie lymphatique/hématopoïétique/autre;17;Chirurgical;1 571;1 028
Région flamande;690;690 Leucémie aiguë;17;Médical;664;3 243
Région flamande;691;691 Lymphome, myélome et leucémie non aiguë;17;Médical;1 756;5 086
Région flamande;692;692 Radiothérapie;17;Médical;155;210
Région flamande;694;694 Affections malignes, lymphatiques et autres, et néoplasmes de comportement incertain;17;Médical;1 435;8 535
Région flamande;695;695 Chimiotherapie pour leucémie aiguë;17;Médical;711;7 133
Région flamande;696;696 Autre chimiotherapie;17;Médical;11 836;286 084
Région flamande;710;710 Infections et maladies parasitaires incluant le HIV avec procédure en salle d'opération;18;Chirurgical;1 040;98
Région flamande;711;711 Infections d'un dispositif post-opératoires, post-traumatiques et autres avec procédure en salle d'opération;18;Chirurgical;1 135;396
Région flamande;720;720 Septicémie et infections disséminées;18;Médical;7 036;14
Région flamande;721;721 Infections d'un dispositif post-opératoires, post-traumatiques et autres;18;Médical;2 556;218
Région flamande;722;722 Fièvre;18;Médical;2 430;16
Région flamande;723;723 Maladie virale;18;Médical;4 183;29
Région flamande;724;724 Autres maladies infectieuses et parasitaires;18;Médical;1 994;166
Région flamande;740;740 Diagnostic de maladie mentale avec procédure en salle d'opération;19;Chirurgical;506;62
Région flamande;750;750 Schizophrénie;19;Médical;97;32
Région flamande;751;751 Troubles dépressifs majeurs et psychoses autres/non spécifiées;19;Médical;930;467
Région flamande;752;752 Troubles de la personnalité et du contrôle des impulsions;19;Médical;78;< 5
Région flamande;753;753 Troubles bipolaires;19;Médical;410;777
Région flamande;754;754 Dépression, excepté trouble dépressif majeur;19;Médical;876;37
Région flamande;755;755 Troubles de l'ajustement et névroses, excepté diagnostics dépressifs;19;Médical;1 126;59
Région flamande;756;756 Etats d'anxiété et de délire aigus;19;Médical;1 668;55
Région flamande;757;757 Troubles organiques de la santé mentale;19;Médical;598;192
Région flamande;758;758 Troubles comportementaux;19;Médical;144;8
Région flamande;759;759 Troubles de la nutrition;19;Médical;409;6
Région flamande;760;760 Autres troubles de la santé mentale;19;Médical;2 105;317
Région flamande;770;770 Abus ou dépendance à l'alcool et à la drogue, sortie contre l'avis medical;20;Médical;226;< 5
Région flamande;772;772 Dépendance à l'alcool et à la drogue avec revalidation ou thérapie de revalidation/désintoxication;20;Médical;343;57
Région flamande;773;773 Abus et dépendance aux opiacés;20;Médical;193;< 5
Région flamande;774;774 Abus et dépendance à la cocaïne;20;Médical;279;< 5
Région flamande;775;775 Abus et dépendance a l'alcool;20;Médical;3 435;21
Région flamande;776;776 Abus et dépendance à d'autres drogues;20;Médical;355;5
Région flamande;792;792 Procédures extensives en salle d'opération pour d'autres complications du traitement;21;Chirurgical;650;195
Région flamande;793;793 Procédures modérément extensives en salle d'opération pour d'autres complications du traitement;21;Chirurgical;1 429;594
Région flamande;794;794 Procédures non extensives en salle d'opération pour autres complications du traitement;21;Chirurgical;479;551
Région flamande;810;810 Hémorragie ou hématome dues à complication;21;Médical;1 150;80
Région flamande;811;811 Réactions allergiques;21;Médical;757;< 5
Région flamande;812;812 Empoisonnement par agents médicamenteux;21;Médical;2 121;19
Région flamande;813;813 Autres complications de traitement;21;Médical;1 807;952
