gewest;drg_36;drg_beschrijving;mdc_36;soort_drg;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;243;243 Andere slokdarmstoornissen;06;Medisch;2 903;9 409
Vlaams Gewest;244;244 Diverticulitis en diverticulosis;06;Medisch;5 023;10 195
Vlaams Gewest;245;245 Inflammatoire darmziekten;06;Medisch;1 689;5 951
Vlaams Gewest;246;246 Gastro-intestinale vasculaire insufficientie;06;Medisch;770;102
Vlaams Gewest;247;247 Intestinale obstructie;06;Medisch;4 559;207
Vlaams Gewest;248;248 Majeure gastro-intestinale en peritoneale infecties;06;Medisch;2 743;144
Vlaams Gewest;249;249 Andere gastro-enteritis, misselijkheid en braken;06;Medisch;12 802;4 522
Vlaams Gewest;251;251 Abdominale pijn;06;Medisch;2 763;4 415
Vlaams Gewest;252;252 Dysfunctie, reactie op en complic, van gastro-intestinaal hulpmiddel of procedure;06;Medisch;1 363;534
Vlaams Gewest;253;253 Andere en niet gespecificeerde gastro-intestinale hemorragie;06;Medisch;1 661;1 012
Vlaams Gewest;254;254 Andere diagnosen van spijsverteringsstelsel;06;Medisch;10 910;65 900
Vlaams Gewest;260;260 Majeure pancreas-, lever- en shuntprocedures;07;Chirurgisch;1 160;39
Vlaams Gewest;261;261 Majeure procedures op galwegen;07;Chirurgisch;210;5
Vlaams Gewest;263;263 Cholecystectomie;07;Chirurgisch;9 797;1 491
Vlaams Gewest;264;264 Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;07;Chirurgisch;717;196
Vlaams Gewest;279;279 Hepatisch coma en andere majeure acute leverstoornissen;07;Medisch;906;38
Vlaams Gewest;280;280 Alcoholische leverziekte;07;Medisch;1 859;213
Vlaams Gewest;281;281 Maligne aandoening van hepatobiliair stelsel en pancreas;07;Medisch;2 582;2 311
Vlaams Gewest;282;282 Stoornissen van pancreas behalve maligne aandoeningen;07;Medisch;3 714;595
Vlaams Gewest;283;283 Andere leverstoornissen;07;Medisch;1 402;883
Vlaams Gewest;284;284 Stoornissen van galblaas en galwegen;07;Medisch;6 748;658
Vlaams Gewest;301;301 Vervanging van heupgewricht;08;Chirurgisch;16 752;16
Vlaams Gewest;302;302 Vervanging van kniegewricht;08;Chirurgisch;13 592;29
Vlaams Gewest;303;303 Dorsale en lumbale arthrodese bij wervelkolomafwijkingen;08;Chirurgisch;160;0
Vlaams Gewest;304;304 Dorsale en lumbale arthrodese behalve bij wervelkolomafwijkingen;08;Chirurgisch;4 113;0
Vlaams Gewest;305;305 Amputatie van onderste lidmaat behalve tenen;08;Chirurgisch;533;7
Vlaams Gewest;308;308 Herstellen fractuur van heup en femur;08;Chirurgisch;6 302;11
Vlaams Gewest;309;309 Andere significante chirurgie op heup en femur;08;Chirurgisch;1 983;1 160
Vlaams Gewest;310;310 Excisie en decompressie van discus intervertebralis;08;Chirurgisch;8 848;129
Vlaams Gewest;312;312 Huidgreffe, behalve van hand, voor musculoskeletale en bindweefseldiagnosen;08;Chirurgisch;324;409
Vlaams Gewest;313;313 Procedures op knie en onderbeen, behalve op voet;08;Chirurgisch;9 366;20 866
Vlaams Gewest;314;314 Procedures op voet en tenen;08;Chirurgisch;7 201;4 461
Vlaams Gewest;315;315 Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;08;Chirurgisch;17 521;10 519
Vlaams Gewest;316;316 Procedures op hand en pols;08;Chirurgisch;2 709;17 868
Vlaams Gewest;317;317 Procedures op pees, spier en andere weke weefsels;08;Chirurgisch;3 604;5 744
Vlaams Gewest;320;320 Andere procedures op musculoskeletaal stelsel en bindweefsel;08;Chirurgisch;6 021;5 396
Vlaams Gewest;321;321 Cervicale artrodese en andere procedures op nek/rug, behalve exc./decompr. Wervel;08;Chirurgisch;3 622;32
Vlaams Gewest;322;322 Vervanging van schouder en elleboog gewricht;08;Chirurgisch;2 649;10
Vlaams Gewest;340;340 Femurfractuur;08;Medisch;943;6
Vlaams Gewest;341;341 Fractuur van bekken of luxatie van heup;08;Medisch;2 169;8
Vlaams Gewest;342;342 Fracturen of luxatie, behalve van femur, heup en bekken;08;Medisch;4 309;2 235
Vlaams Gewest;343;343 Maligne aandoeningen van musculoskeletaal stelsel en pathologische fracturen hierdoor.;08;Medisch;1 311;1 043
Vlaams Gewest;344;344 Osteomyelitis, septische arthritis en andere musculoskeletale infecties;08;Medisch;724;71
Vlaams Gewest;346;346 Stoornissen van bindweefsel;08;Medisch;1 682;1 026
Vlaams Gewest;347;347 Andere stoornissen, breuken en letsels van rug en van nek;08;Medisch;9 525;11 324
Vlaams Gewest;349;349 Dysfunctie, reactie op en compl. van orthopedisch hulpmiddel of procedure;08;Medisch;1 187;349
Vlaams Gewest;351;351 Andere diagnosen van musculoskeletaal stelsel en bindweefsel;08;Medisch;6 189;3 496
Vlaams Gewest;361;361 Huidgreffe voor diagnosen van huid en subcutaan weefsel;09;Chirurgisch;2 223;5 446
Vlaams Gewest;362;362 Mastectomie procedures;09;Chirurgisch;2 787;276
Vlaams Gewest;363;363 Procedures op borst, behalve mastectomie;09;Chirurgisch;7 295;3 658
Vlaams Gewest;364;364 Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;09;Chirurgisch;3 044;3 679
Vlaams Gewest;380;380 Huidulcera;09;Medisch;834;165
Vlaams Gewest;381;381 Majeure aandoeningen van huid;09;Medisch;373;453
Vlaams Gewest;382;382 Maligne aandoeningen van mamma;09;Medisch;448;3 583
Vlaams Gewest;383;383 Cellulitis en andere huidinfecties;09;Medisch;5 712;1 815
Vlaams Gewest;384;384 Contusie, open wonde en andere traumata van huid en van subcutaan weefsel;09;Medisch;3 716;1 675
Vlaams Gewest;385;385 Andere aandoeningen van huid, subcutaan weefsel en mamma;09;Medisch;2 256;9 293
Vlaams Gewest;401;401 Procedures op bijnieren en hypofyse;10;Chirurgisch;146;0
Vlaams Gewest;403;403 Procedures voor obesitas;10;Chirurgisch;5 960;70
Vlaams Gewest;404;404 Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;Chirurgisch;3 058;42
Vlaams Gewest;405;405 Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;Chirurgisch;137;7
Vlaams Gewest;420;420 Diabetes;10;Medisch;5 113;40
Vlaams Gewest;421;421 Malnutritie, ¿'failure to thrive¿' en andere nutritionele stoornissen;10;Medisch;3 481;910
Vlaams Gewest;422;422 Hypovolemie en gerelateerde electrolytenstoornissen;10;Medisch;1 999;< 5
Vlaams Gewest;423;423 Congenitale afwijkingen van metabolisme;10;Medisch;245;226
Vlaams Gewest;424;424 Andere endocriene stoornissen;10;Medisch;651;122
Vlaams Gewest;425;425 Andere niet-hypovolemische elektrolytenstoornissen;10;Medisch;1 165;7
Vlaams Gewest;426;426 Niet-hypovolemische stoornissen van natriumhuishouding;10;Medisch;1 490;< 5
Vlaams Gewest;427;427 Schildklierstoornissen;10;Medisch;640;36
Vlaams Gewest;440;440 Niertransplantatie;11;Chirurgisch;202;0
Vlaams Gewest;441;441 Majeure procedures op blaas;11;Chirurgisch;630;< 5
Vlaams Gewest;442;442 Procedures op nier en urinewegen voor maligne aandoening;11;Chirurgisch;1 302;26
Vlaams Gewest;443;443 Procedures op nier en urinewegen voor niet maligne aandoening;11;Chirurgisch;2 310;749
Vlaams Gewest;444;444 Procedure voor plaatsen van hulpmiddel voor toegangsweg voor nierdialyse et vaatherstel;11;Chirurgisch;391;260
Vlaams Gewest;445;445 Andere procedures op blaas;11;Chirurgisch;1 303;515
Vlaams Gewest;446;446 Transurethrale en urethrale procedures;11;Chirurgisch;9 572;3 547
Vlaams Gewest;447;447 Andere procedures op nieren, urinewegen en gerelateerde procedures;11;Chirurgisch;179;25
Vlaams Gewest;461;461 Maligne aandoening van nier en urinewegen;11;Medisch;984;2 720
Vlaams Gewest;462;462 Nefritis en nefrose;11;Medisch;401;160
Vlaams Gewest;463;463 Infecties van nier en urinewegen;11;Medisch;12 520;725
Vlaams Gewest;465;465 Urinaire stenen en verworven bovenste urinewegobstructie;11;Medisch;6 264;8 443
Vlaams Gewest;466;466 Dysfunctie, reactie op en compl. van urogenitaal hulpmiddel of procedure;11;Medisch;1 699;618
Vlaams Gewest;468;468 Andere nier en urinewegen diagnosen, tekens en symptomen;11;Medisch;6 311;17 950
Vlaams Gewest;469;469 Acuut niertrauma;11;Medisch;1 342;24
Vlaams Gewest;470;470 Chronische nierziekte;11;Medisch;1 028;357
Vlaams Gewest;480;480 Majeure procedures op mannelijk bekken;12;Chirurgisch;2 749;0
Vlaams Gewest;482;482 Transurethrale prostatectomie;12;Chirurgisch;4 518;153
Vlaams Gewest;483;483 Procedures op penis, testes en scrotum;12;Chirurgisch;1 165;3 617
Vlaams Gewest;484;484 Andere procedures op mannelijk voortplantingsstelsel en gerelateerde procedures;12;Chirurgisch;760;128
Vlaams Gewest;500;500 Maligne aandoening van mannelijk voortplantingsstelsel;12;Medisch;624;2 679
Vlaams Gewest;501;501 Diagnosen van mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;Medisch;2 652;14 546
Vlaams Gewest;510;510 Evisceratie van bekken, radicale hysterectomie en andere radicale gyneco. procedures;13;Chirurgisch;409;< 5
Vlaams Gewest;511;511 Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;Chirurgisch;424;55
Vlaams Gewest;512;512 Procedures op uterus/adnexen voor maligne aandoening behalve van ovaria en adnexen;13;Chirurgisch;659;52
Vlaams Gewest;513;513 Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;Chirurgisch;5 158;4 192
Vlaams Gewest;514;514 Reconstructieve procedures op vrouwelijk voortplantingsstelsel;13;Chirurgisch;1 266;88
Vlaams Gewest;517;517 Dilatatie en curettage voor niet-verloskundige diagnoses;13;Chirurgisch;281;3 679
Vlaams Gewest;518;518 Andere procedures op vrouwelijk voortplantingsstelsel en gerelateerde procedures;13;Chirurgisch;715;1 507
Vlaams Gewest;519;519 Procedures op uterus/adnexen voor leiomyoma;13;Chirurgisch;2 018;521
Vlaams Gewest;530;530 Maligne aandoening van vrouwelijk voortplantingsstelsel;13;Medisch;698;1 066
Vlaams Gewest;531;531 Infecties van vrouwelijk voortplantingsstelsel;13;Medisch;357;211
Vlaams Gewest;532;532 Menstruatiestoornissen en andere stoornissen van vrouwelijk voortplantingsstelsel;13;Medisch;754;5 650
Vlaams Gewest;540;540 Bevalling met sectio caesarea;14;Chirurgisch;13 540;36
Vlaams Gewest;541;541 Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;Chirurgisch;1 364;52
Vlaams Gewest;542;542 Vaginale bevalling met gecompl. procedures behalve sterilisatie en/of dilatatie en curettage;14;Chirurgisch;896;12
Vlaams Gewest;544;544 Dilatatie en curettage, curettage via aspiratie of hysterotomie voor verloskundige diagnosen;14;Chirurgisch;721;4 172
Vlaams Gewest;545;545 Procedure voor ectopische zwangerschap;14;Chirurgisch;628;126
Vlaams Gewest;546;546 Andere operatiezaal procedures voor verloskundige diagnoses behalve bevalling;14;Chirurgisch;241;108
Vlaams Gewest;560;560 Vaginale bevalling;14;Medisch;45 297;1 286
Vlaams Gewest;561;561 Diagnosen in postpartum en post abortus, zonder procedure;14;Medisch;896;81
Vlaams Gewest;563;563 Vroegtijdige arbeid;14;Medisch;967;5
Vlaams Gewest;564;564 Abortus, zonder dilatatie en curettage, curettagevia aspiratie of hysterotomie;14;Medisch;391;147
Vlaams Gewest;565;565 Valse arbeid;14;Medisch;500;6
Vlaams Gewest;566;566 Andere diagnosen in antepartum;14;Medisch;6 046;1 209
Vlaams Gewest;580;580 Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;Medisch;43;< 5
Vlaams Gewest;581;581 Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;Medisch;20;0
Vlaams Gewest;583;583 Pasgeborene, met ECMO;15;Chirurgisch;6;0
Vlaams Gewest;588;588 Pasgeborene, geboortegewicht < 1500g, met majeure procedure;15;Chirurgisch;26;0
Vlaams Gewest;589;589 Pasgeborene, geboortegewicht < 500g, of geboortegew. 500-999g en zw.duur < 24 weken, of geboortegew. 500-749g met majeure anomalie of zonder levensreddende interventie;15;Medisch;11;0
Vlaams Gewest;591;591 Pasgeborene, geboortegewicht 500-749g zonder majeure procedure;15;Medisch;48;0
Vlaams Gewest;593;593 Pasgeborene, geboortegewicht 750 - 999g zonder majeure procedure;15;Medisch;107;0
Vlaams Gewest;602;602 Pasgeborene, geboortegewicht 1000-1249g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;Medisch;131;0
Vlaams Gewest;603;603 Pasgeborene, geboortegewicht 1000-1249g met of zonder andere significante aandoening;15;Medisch;18;0
Vlaams Gewest;607;607 Pasgeborene, geboortegewicht 1250-1499g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;Medisch;143;0
Vlaams Gewest;608;608 Pasgeborene, geboortegewicht 1250-1499g met of zonder andere significante aandoening;15;Medisch;38;0
Vlaams Gewest;609;609 Pasgeborene, geboortegewicht 1500-2499g met majeure procedure;15;Chirurgisch;37;0
Vlaams Gewest;611;611 Pasgeborene, geboortegewicht 1500-1999g met majeure anomalie;15;Medisch;85;0
Vlaams Gewest;612;612 Pasgeborene, geboortegewicht 1500-1999g met resp. distr. syndr./ andere maj. resp. aandoening;15;Medisch;176;0
Vlaams Gewest;613;613 Pasgeborene, geboortegewicht 1500-1999g met congenitale of perinatale infecties;15;Medisch;17;0
Vlaams Gewest;614;614 Pasgeborene, geboortegewicht : 1500-1999g met of zonder andere significante aandoening;15;Medisch;184;0
Vlaams Gewest;621;621 Pasgeborene, geboortegewicht 2000-2499g met majeure anomalie;15;Medisch;82;0
Vlaams Gewest;622;622 Pasgeborene, geboortegewicht 2000-2499g met resp. distr. syndr./ andere maj. resp. aandoening;15;Medisch;109;0
Vlaams Gewest;623;623 Pasgeborene, geboortegewicht 2000-2499g met congenitale of perinatale infecties;15;Medisch;17;0
Vlaams Gewest;625;625 Pasgeborene, geboortegewicht 2000-2499g, hier geboren, met andere significante aandoening;15;Medisch;106;0
Vlaams Gewest;626;626 Pasgeborene, geboortegewicht 2000-2499g, normale pasgeborene of pasgeborene met ander probleem;15;Medisch;137;0
Vlaams Gewest;630;630 Pasgeborene, geboortegewicht > 2499g met majeure cardiovasculaire procedures;15;Chirurgisch;66;0
Vlaams Gewest;631;631 Pasgeborene, geboortegewicht > 2499g met andere majeure procedure;15;Chirurgisch;42;0
Vlaams Gewest;633;633 Pasgeborene, geboortegewicht > 2499g met majeure anomalie;15;Medisch;242;0
Vlaams Gewest;634;634 Pasgeborene, geboortegewicht > 2499g  met resp. distr. syndr./ andere maj. resp. aandoening;15;Medisch;318;0
Vlaams Gewest;636;636 Pasgeborene, geboortegewicht > 2499g met congenitale of perinatale infecties;15;Medisch;115;0
Vlaams Gewest;639;639 Pasgeborene, geboortegewicht > 2499g hier geboren, met andere significante aandoening;15;Medisch;320;0
Vlaams Gewest;640;640 Pasgeborene, geboortegewicht > 2499g normale pasgeborene of met andere problemen;15;Medisch;1 185;< 5
Vlaams Gewest;650;650 Splenectomie;16;Chirurgisch;82;0
Vlaams Gewest;651;651 Andere procedures op bloed en bloedvormende organen;16;Chirurgisch;366;471
Vlaams Gewest;660;660 Majeure hemato/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;16;Medisch;1 842;2 825
Vlaams Gewest;661;661 Bloedstollingsstoornissen en bloedplaatjes;16;Medisch;557;1 050
Vlaams Gewest;662;662 Crisis van sikkelcelanemie;16;Medisch;290;42
Vlaams Gewest;663;663 Andere anemia en bloedstoornissen en hematopoietische organen;16;Medisch;5 423;11 197
Vlaams Gewest;680;680 Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;17;Chirurgisch;528;26
Vlaams Gewest;681;681 Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;17;Chirurgisch;1 730;1 034
Vlaams Gewest;690;690 Acute leukemie;17;Medisch;689;3 069
Vlaams Gewest;691;691 Lymfoom, myeloom en niet-acute leukemie;17;Medisch;1 625;4 956
Vlaams Gewest;692;692 Radiotherapie;17;Medisch;166;72
Vlaams Gewest;694;694 Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;Medisch;1 448;9 105
Vlaams Gewest;695;695 Chemotherapie voor acute leukemie;17;Medisch;789;6 343
Vlaams Gewest;696;696 Andere chemotherapie;17;Medisch;13 018;271 257
Vlaams Gewest;710;710 Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;Chirurgisch;958;87
