drg_36;libellé_drg;mdc_36;libellé_mdc;type_de_drg;hospitalisation_classique;hospitalisation_de_jour
098;098 Autres procédures sur l'oreille, le nez, la bouche et la gorge;03;03 Nez, gorge, oreilles, crâne et face;Chirurgical;14 873;34 210
110;110 Affections malignes de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;03 Nez, gorge, oreilles, crâne et face;Médical;1 451;1 831
111;111 Vertige et autres troubles labyrinthiques;03;03 Nez, gorge, oreilles, crâne et face;Médical;5 209;233
113;113 Infections des voies aériennes supérieures;03;03 Nez, gorge, oreilles, crâne et face;Médical;14 839;3 532
114;114 Maladies et troubles dentaires et buccales;03;03 Nez, gorge, oreilles, crâne et face;Médical;1 609;124 662
115;115 Autres diagnostics de l'oreille, le nez, la bouche, la gorge, le crâne/la face;03;03 Nez, gorge, oreilles, crâne et face;Médical;64 062;15 701
120;120 Procédures majeures sur le système respiratoire et le thorax;04;04 Système respiratoire;Chirurgical;1 654;7
121;121  Autres procédures sur le système respiratoire et le thorax;04;04 Système respiratoire;Chirurgical;4 803;669
130;130 Affection du système respiratoire avec assistance ventilatoire pendant + de 96 heures;04;04 Système respiratoire;Médical;3 154;0
131;131 Mucoviscidose (cystic fibrosis) - maladie pulmonaire;04;04 Système respiratoire;Médical;527;40
132;132 Dysplasie broncho-pulmon. et autres maladies respirat.chron.apparaissant en période périnatale;04;04 Système respiratoire;Médical;115;9
133;133 Insuffisance respiratoire;04;04 Système respiratoire;Médical;4 819;24
134;134 Embolie pulmonaire;04;04 Système respiratoire;Médical;6 116;19
135;135 Traumatisme majeur respiratoire et thoracique;04;04 Système respiratoire;Médical;3 588;15
136;136 Affection maligne respiratoire;04;04 Système respiratoire;Médical;7 160;5 216
137;137 Inflammations et infections majeures du système respiratoire;04;04 Système respiratoire;Médical;8 308;181
138;138 Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);04;04 Système respiratoire;Médical;16 851;27
139;139 Autre pneumonie;04;04 Système respiratoire;Médical;46 774;148
140;140 Maladie pulmonaire obstructive chronique;04;04 Système respiratoire;Médical;21 149;557
141;141 Asthme;04;04 Système respiratoire;Médical;3 948;79
142;142 Maladies pulmonaires interstitielles et alvéolaires;04;04 Système respiratoire;Médical;2 092;480
143;143 Autres diagnostics respiratoires, excepté les signes, symptômes et diagnostics mineurs;04;04 Système respiratoire;Médical;5 353;1 206
144;144 Signes respiratoires, symptômes et diagnostics mineurs;04;04 Système respiratoire;Médical;13 493;3 636
145;145 Bronchite aiguë et symptômes associés;04;04 Système respiratoire;Médical;6 824;923
160;160 Réparation majeure d'anomalie cardiaque par voie cardiothoracique;05;05 Système circulatoire;Chirurgical;122;0
161;161 Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;05;05 Système circulatoire;Chirurgical;2 167;19
162;162 Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou DP complexe;05;05 Système circulatoire;Chirurgical;483;0
163;163 Procédures sur les valves cardiaques sans infarctus du myocarde aigu ou DP complexe;05;05 Système circulatoire;Chirurgical;4 012;< 5
165;165 Pontage coronarien avec infarctus aigu du myocarde ou DP complexe;05;05 Système circulatoire;Chirurgical;973;< 5
166;166 Pontage coronarien sans infarctus aigu du myocarde ou DP complexe;05;05 Système circulatoire;Chirurgical;4 284;< 5
167;167 Autres procédures cardiothoraciques et thoracovasculaires;05;05 Système circulatoire;Chirurgical;2 035;275
169;169 Procédures vasculaires abdominales majeures;05;05 Système circulatoire;Chirurgical;2 113;18
170;170 Implantation du pacemaker permanent avec infarctus aigu du myocard., décomp. cardiaque ou choc;05;05 Système circulatoire;Chirurgical;94;0
171;171 Implantation du pacemaker permanent sans infarctus aigu du myocard., décomp. cardiaque ou choc;05;05 Système circulatoire;Chirurgical;8 030;24
174;174 Procédures coronariennes percutanées avec infarctus aigu du myocarde;05;05 Système circulatoire;Chirurgical;9 364;708
175;175 Procédures coronariennes percutanées sans infarctus aigu du myocarde;05;05 Système circulatoire;Chirurgical;31 182;4 739
176;176 Remplacement du pacemaker et du défibrillateur cardiaque;05;05 Système circulatoire;Chirurgical;2 046;385
177;177 Révision du pacemaker et du défibrillateur cardiaque, excepté le remplacement de l'appareil;05;05 Système circulatoire;Chirurgical;681;12
180;180 Autres procédures sur le système circulatoire;05;05 Système circulatoire;Chirurgical;2 036;17 702
181;181 Procédures sur les artères des membres inférieurs;05;05 Système circulatoire;Chirurgical;18 173;1 660
182;182 Autres procédures sur les vaisseaux périphériques;05;05 Système circulatoire;Chirurgical;4 101;3 876
190;190 Infarctus aigu du myocarde;05;05 Système circulatoire;Médical;6 009;766
191;191 Cathétérisme cardiaque pour maladie coronarienne;05;05 Système circulatoire;Médical;9 502;21 622
192;192 Cathétérisme cardiaque pour autres affections non coronariennes;05;05 Système circulatoire;Médical;11 951;8 896
193;193 Endocardite aiguë et subaiguë;05;05 Système circulatoire;Médical;274;< 5
194;194 Insuffisance cardiaque;05;05 Système circulatoire;Médical;23 416;118
196;196 Arrêt cardiaque et choc;05;05 Système circulatoire;Médical;1 210;106
197;197 Troubles vasculaires, périphériques et autres;05;05 Système circulatoire;Médical;4 530;1 720
198;198 Angine de poitrine et athérosclérose coronaire;05;05 Système circulatoire;Médical;3 304;110
199;199 Hypertension;05;05 Système circulatoire;Médical;2 082;84
200;200 Maladies cardiaques structurelles et valvulaires;05;05 Système circulatoire;Médical;976;261
201;201 Arythmie cardiaque et troubles de la conduction;05;05 Système circulatoire;Médical;15 070;8 373
203;203 Douleur thoracique;05;05 Système circulatoire;Médical;3 208;196
204;204 Syncope et collapsus;05;05 Système circulatoire;Médical;9 627;250
205;205 Cardiomyopathie;05;05 Système circulatoire;Médical;309;27
206;206 Dysfonctionnement, réaction et complic. du matériel ou de la procédure cardiaque/vasculaire;05;05 Système circulatoire;Médical;1 293;637
207;207 Autres diagnostics du système circulatoire;05;05 Système circulatoire;Médical;5 257;763
220;220 Procédures majeures sur l'oesophage, l'estomac et le duodénum;06;06 Système digestif;Chirurgical;3 501;49
222;222 Autres procédures sur l'oesophage, l'estomac et le duodénum;06;06 Système digestif;Chirurgical;1 315;351
223;223 Autres procédures sur l'intestin grêle et le gros intestin;06;06 Système digestif;Chirurgical;1 559;1 861
224;224 Adhésiolyse péritonéale;06;06 Système digestif;Chirurgical;1 971;179
226;226 Procédures sur l'anus;06;06 Système digestif;Chirurgical;4 160;9 418
227;227 Procédures pour hernie, excepté procédures pour hernie inguinale, fémorale et ombilicale;06;06 Système digestif;Chirurgical;7 170;3 509
228;228 Procédures pour hernie inguinale, fémorale et ombilicale;06;06 Système digestif;Chirurgical;12 049;13 809
229;229 Autres procédures sur le système digestif et l'abdomen;06;06 Système digestif;Chirurgical;2 696;836
230;230 Procédures majeures sur l'intestin grêle;06;06 Système digestif;Chirurgical;6 620;43
231;231 Procédures majeures sur le gros intestin;06;06 Système digestif;Chirurgical;11 204;268
232;232 Fundoplicature de l'estomac;06;06 Système digestif;Chirurgical;1 089;12
233;233 Appendicectomie avec diagnose principale complexe;06;06 Système digestif;Chirurgical;2 497;14
234;234 Appendicectomie sans diagnose principale complexe;06;06 Système digestif;Chirurgical;10 303;293
240;240 Affections malignes du système digestif;06;06 Système digestif;Médical;6 134;9 157
241;241 Ulcère peptique et gastrite;06;06 Système digestif;Médical;6 731;21 980
242;242 Troubles majeurs de l'oesophage;06;06 Système digestif;Médical;1 066;683
243;243 Autres troubles de l'oesophage;06;06 Système digestif;Médical;4 959;22 644
244;244 Diverticulite et diverticulose;06;06 Système digestif;Médical;8 710;21 041
245;245 Maladie inflammatoire de l'intestin;06;06 Système digestif;Médical;3 357;10 883
246;246 Insuffisance vasculaire gastro-intestinale;06;06 Système digestif;Médical;1 280;144
247;247 Obstruction intestinale;06;06 Système digestif;Médical;8 006;322
248;248 Infections gastro-intestinales et péritonéales majeures;06;06 Système digestif;Médical;4 623;158
249;249 Autre gastro-entérite, nausée et vomissement;06;06 Système digestif;Médical;26 767;10 644
251;251 Douleur abdominale;06;06 Système digestif;Médical;4 680;8 804
252;252 Dysfonctionnement, réaction et complic, de dispositif ou de procédure gastro-intestinaux;06;06 Système digestif;Médical;3 172;1 228
253;253 Hémorragie gastro-intestinale, autre et non specifiée;06;06 Système digestif;Médical;2 837;2 093
254;254 Autres diagnostics du système digestif;06;06 Système digestif;Médical;20 027;116 746
260;260 Procédures majeures sur pancréas, foie et shunt;07;07 Système hépatobiliaire et pancréas;Chirurgical;2 235;80
261;261 Procédures majeures sur les voies biliaires;07;07 Système hépatobiliaire et pancréas;Chirurgical;376;7
263;263 Cholécystectomie;07;07 Système hépatobiliaire et pancréas;Chirurgical;20 286;2 810
264;264 Autres procédures abdominales, sur système hépatobiliaire et pancréas;07;07 Système hépatobiliaire et pancréas;Chirurgical;1 451;388
279;279 Coma hépatique et autres troubles hépatiques majeurs aigus;07;07 Système hépatobiliaire et pancréas;Médical;1 571;50
280;280 Maladie hépatique alcoolique;07;07 Système hépatobiliaire et pancréas;Médical;4 369;477
281;281 Affection maligne du système hépatobiliaire et du pancréas;07;07 Système hépatobiliaire et pancréas;Médical;4 819;3 952
282;282 Troubles du pancréas excepté affections malignes;07;07 Système hépatobiliaire et pancréas;Médical;7 789;1 816
283;283 Autres troubles du foie;07;07 Système hépatobiliaire et pancréas;Médical;2 729;1 557
284;284 Troubles de la vésicule biliaire et des voies biliaires;07;07 Système hépatobiliaire et pancréas;Médical;12 345;1 664
301;301 Remplacement de l'articulation de la hanche;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;32 307;53
302;302 Remplacement de l'articulation du genou;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;25 979;62
303;303 Arthrodèse dorsale et lombaire pour déviation du dos;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;428;< 5
304;304 Arthrodèse dorso-lombaire excepté déviation du dos;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;7 561;< 5
305;305 Amputation du membre inférieur excepté les orteils;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;1 162;12
308;308 Réparation d'une fracture de la hanche et du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;10 765;18
309;309 Autre chirurgie significative de la hanche et du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;3 493;1 984
310;310 Excision et décompression du disque intervertébral;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;16 097;136
312;312 Greffe cutanée, excepté de la main, pour diagnostics musculo-squelettiques et du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;575;801
313;313 Procédures sur le genou et la jambe, excepté le pied;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;17 614;31 997
314;314 Procédures sur le pied et les orteils;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;12 311;8 491
315;315 Procédures sur l'épaule, le bras et l'avant-bras excepté le remplacement de l'articulation;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;27 872;19 415
316;316 Procédures sur la main et le poignet;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;4 291;37 421
317;317 Procédures sur le tendon, le muscle et autres tissus mous;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;6 957;10 524
320;320 Autres procédures sur le système musculo-squelettique et le tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;10 736;10 718
321;321 Arthrodèse cervicale et autres procédures sur le cou/dos, excepté excis./décompres. de disque;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;6 645;190
322;322 Remplacement de l'articulation de l'épaule et du coude;08;08 Système musculo-squelettique et tissu conjonctif;Chirurgical;5 317;21
340;340 Fracture du fémur;08;08 Système musculo-squelettique et tissu conjonctif;Médical;1 559;11
341;341 Fracture du bassin ou luxation de la hanche;08;08 Système musculo-squelettique et tissu conjonctif;Médical;3 222;12
342;342 Fracture ou luxation excepté du fémur, du bassin et du dos;08;08 Système musculo-squelettique et tissu conjonctif;Médical;7 480;3 878
343;343 Affection maligne musc-squellet. et fracture pathol. dues à affection maligne musc-squellet.;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 135;1 237
344;344 Ostéomyélite, arthrite septique et autres infections musculo-squelettiques;08;08 Système musculo-squelettique et tissu conjonctif;Médical;1 606;147
346;346 Troubles du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 937;1 871
347;347 Autres troubles, fractures et traumatismes du dos et du cou;08;08 Système musculo-squelettique et tissu conjonctif;Médical;14 482;45 703
349;349 Dysfonctionnement, réaction et complic. de matériel ou de procédure orthopédiques;08;08 Système musculo-squelettique et tissu conjonctif;Médical;2 188;641
351;351 Autres diagnostics du système musculo-squelettique et du tissu conjonctif;08;08 Système musculo-squelettique et tissu conjonctif;Médical;10 949;8 831
361;361 Greffe cutanée pour diagnotics de la peau et du tissu sous-cutane;09;09 Peau, tissu sous-cutané, sein;Chirurgical;4 108;10 387
362;362 Procédures de mastectomie;09;09 Peau, tissu sous-cutané, sein;Chirurgical;5 346;558
363;363 Procédures mammaires, excepté mastectomie;09;09 Peau, tissu sous-cutané, sein;Chirurgical;15 846;7 052
364;364 Autres procédures sur la peau, les tissus sous-cutanés et procédures associées;09;09 Peau, tissu sous-cutané, sein;Chirurgical;6 380;7 282
380;380 Ulcères cutanés;09;09 Peau, tissu sous-cutané, sein;Médical;1 596;87
381;381 Troubles majeurs de la peau;09;09 Peau, tissu sous-cutané, sein;Médical;646;655
382;382 Affections malignes du sein;09;09 Peau, tissu sous-cutané, sein;Médical;855;5 201
383;383 Cellulite et autres infections de la peau;09;09 Peau, tissu sous-cutané, sein;Médical;10 411;2 917
384;384 Contusion, plaie ouverte et autres traumatismes de la peau et du tissu sous-cutané;09;09 Peau, tissu sous-cutané, sein;Médical;6 333;2 799
385;385 Autres troubles de la peau, du tissu sous-cutané et du sein;09;09 Peau, tissu sous-cutané, sein;Médical;4 886;19 392
401;401 Procédures sur les surrénales et l'hypophyse;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;320;7
403;403 Procédures pour obésité;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;16 191;151
404;404 Procédures sur la thyroïde, les parathyroïdes ou le canal thyréoglosse;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;6 783;73
405;405 Autres procédures pour troubles endocriniens, nutritionnels et métaboliques;10;10 Maladies endocriniennes, nutritives et du métabolisme;Chirurgical;257;16
420;420 Diabète;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;9 175;63
421;421 Malnutrition, retard staturo-pondéral et autres troubles nutritionnels;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;6 804;2 022
422;422 Hypovolémie et troubles électrolytiques associés;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;3 026;< 5
423;423 Anomalies congénitales du métabolisme;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;532;372
424;424 Autres troubles endocriniens;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;1 320;279
425;425 Autres troubles électrolytiques non hypovolémiques;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;2 140;20
426;426 Troubles non hypovolémiques du bilan du sodium;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;3 533;9
427;427 Troubles thyroïdiens;10;10 Maladies endocriniennes, nutritives et du métabolisme;Médical;1 168;57
440;440 Transplantation rénale;11;11 Reins et voies urinaires;Chirurgical;386;0
441;441 Procédures majeures sur la vessie;11;11 Reins et voies urinaires;Chirurgical;1 163;< 5
442;442 Procédures sur les reins et les voies urinaires pour affection maligne;11;11 Reins et voies urinaires;Chirurgical;2 212;58
443;443 Procédures sur les reins et les voies urinaires pour affection non maligne;11;11 Reins et voies urinaires;Chirurgical;7 188;2 364
444;444 Procédure pour installation du dispositif d'accès pour dialyse rénale et réparation de vaisseaux;11;11 Reins et voies urinaires;Chirurgical;896;466
445;445 Autres procédures sur la vessie;11;11 Reins et voies urinaires;Chirurgical;2 364;826
446;446 Procédures uréthrales et transuréthrales;11;11 Reins et voies urinaires;Chirurgical;15 767;5 908
447;447 Autres procédures sur les reins, les voies urinaires et procédures associées;11;11 Reins et voies urinaires;Chirurgical;338;57
461;461 Affection maligne des reins et voies urinaires;11;11 Reins et voies urinaires;Médical;1 781;4 063
462;462 Néphrite et néphrose;11;11 Reins et voies urinaires;Médical;831;291
463;463 Infections des reins et voies urinaires;11;11 Reins et voies urinaires;Médical;23 027;1 207
465;465 Lithiases urinaires et obstruction acquise du tractus urinaire supérieur;11;11 Reins et voies urinaires;Médical;9 732;12 773
466;466 Dysfonctionnement, réaction et complic. de matériel ou de procédure génito-urinaire;11;11 Reins et voies urinaires;Médical;3 034;953
468;468 Autres diagnostics, signes et symptômes du rein et des voies urinaires;11;11 Reins et voies urinaires;Médical;10 617;32 192
469;469 Traumatisme aigue du rein;11;11 Reins et voies urinaires;Médical;2 667;15
470;470 Maladie rénale chronique;11;11 Reins et voies urinaires;Médical;2 244;844
480;480 Procédures majeures sur le bassin masculin;12;12 Système reproducteur masculin;Chirurgical;4 548;5
482;482 Prostatectomie transurétrale;12;12 Système reproducteur masculin;Chirurgical;8 611;304
483;483 Procédures sur le pénis, les testicules et le scrotum;12;12 Système reproducteur masculin;Chirurgical;2 983;7 542
484;484 Autres procédures sur le système reproducteur masculin et procédures associées;12;12 Système reproducteur masculin;Chirurgical;1 791;242
500;500 Affection maligne du système reproducteur masculin;12;12 Système reproducteur masculin;Médical;1 109;4 495
501;501 Diagnostics du système reproducteur masculin excepté affections malignes;12;12 Système reproducteur masculin;Médical;4 686;32 627
510;510 Eviscération pelvienne, hystérectomie radicale et autres procédures gynécologiques radicales;13;13 Système reproducteur féminin;Chirurgical;685;< 5
511;511 Procédures sur utérus et annexes pour affection maligne des ovaires et ses annexes;13;13 Système reproducteur féminin;Chirurgical;786;65
512;512 Procédures sur utérus et annexes pour affections malignes excepté des ovaires et ses annexes;13;13 Système reproducteur féminin;Chirurgical;1 168;128
513;513 Procédures sur uterus/annexes pour affection non maligne excepté léiomyome;13;13 Système reproducteur féminin;Chirurgical;12 273;9 873
514;514 Procédures réconstructives du système reproducteur féminin;13;13 Système reproducteur féminin;Chirurgical;2 512;174
517;517 Dilatation et curetage pour des diagnostics non-obstétricaux;13;13 Système reproducteur féminin;Chirurgical;480;5 911
518;518 Autres procédures sur le système reproducteur féminin et procédures associées;13;13 Système reproducteur féminin;Chirurgical;1 568;3 029
519;519 Procédures sur utérus/annexes pour léiomyome;13;13 Système reproducteur féminin;Chirurgical;4 431;1 422
530;530 Affection maligne du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;1 216;1 727
531;531 Infections du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;707;421
532;532 Troubles menstruels et autres troubles du système reproducteur féminin;13;13 Système reproducteur féminin;Médical;1 620;10 466
540;540 Accouchement par césarienne;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;25 745;89
541;541 Accouchement par voie vaginale avec stérilisation et/ou dilatation et curetage;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;3 208;121
542;542 Accouchement par voie vaginale avec proc. compl., excepté stérilisat. ou dilat. et curet.;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 691;15
544;544 Dilatation et curetage, curetage par aspiration ou hystérotomie pour diagnostics obstétricaux;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 384;7 399
545;545 Procédure pour grossesse ectopique;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;1 318;156
546;546 Autres procédures en salle d'opération pour diagnostics obstétricaux excepté accouchement;14;14 Grossesse, accouchement et puerpéralité;Chirurgical;570;361
560;560 Accouchement par voie vaginale;14;14 Grossesse, accouchement et puerpéralité;Médical;85 571;2 366
561;561 Diagnostics du post-partum et post-avortement, sans procédure;14;14 Grossesse, accouchement et puerpéralité;Médical;1 722;129
563;563 Travail prématuré;14;14 Grossesse, accouchement et puerpéralité;Médical;2 685;10
564;564 Avortement, sans dilatation et curetage, curetage par aspiration ou hystérotomie;14;14 Grossesse, accouchement et puerpéralité;Médical;851;334
565;565 Faux travail;14;14 Grossesse, accouchement et puerpéralité;Médical;1 020;20
566;566 Autres diagnostics en antepartum;14;14 Grossesse, accouchement et puerpéralité;Médical;11 801;2 125
580;580 Nouveau-né, transferé dans les 5 jours, né ailleurs;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;149;< 5
581;581 Nouveau-né, transferé dans les 5 jours, né ici;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;50;< 5
583;583 Nouveau-né, avec ECMO;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;13;0
588;588 Nouveau-né, poids de naissance < 1500g, avec procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;52;0
589;589 Nouveau-né, poids de nais. <  500g, ou poids de nais. 500-999g et age gestat. < 24 semaines, ou poids de nais. 500-749g avec anomalie majeure ou sans intervention de maintien de la vie;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;28;0
591;591 Nouveau-né, poids de naissance 500-749g sans procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;97;0
593;593 Nouveau-né, poids de naissance 750-999g sans procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;228;0
602;602 Nouveau-né, poids de nais. 1000-1249g avec syndrôme de détresse resp./autres anom. resp. maj. ou anom. maj.;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;198;0
603;603 Nouveau-né, poids de naissance 1000-1249g avec ou sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;28;0
607;607 Nouveau-né, poids de nais. 1250-1499g avec syndrôme de détresse resp./autres anom. respir. maj. ou anom. maj.;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;324;0
608;608 Nouveau-né, poids de naissance 1250-1499g avec/sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;102;0
609;609 Nouveau-né, poids de naissance 1500-2499g avec procédure majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;46;0
611;611 Nouveau-né, poids de naissance 1500-1999g avec anomalie majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;171;0
612;612 Nouveau-né, poids de naissance 1500-1999g avec syndrôme de détresse resp./autre affec. resp. majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;399;0
613;613 Nouveau-né, poids de naissance 1500-1999g avec infection congénitale ou périnatale;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;36;0
614;614 Nouveau-né, poids de naissance 1500-1999g avec ou sans autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;382;0
621;621 Nouveau-né, poids de naissance 2000-2499g avec anomalie majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;142;0
622;622 Nouveau-né, poids de naissance 2000-2499g avec syndrôme de détresse resp./autre affec. resp. majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;322;0
623;623 Nouveau-né, poids de naissance 2000-2499g avec infections congénitales ou périnatales;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;68;0
625;625 Nouveau-né, poids de naissance 2000-2499g, né ici, avec autre affection significative;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;221;0
626;626 Nouveau-né, poids de naissance 2000-2499g, nouveau-né normal ou nouveau-né avec autre problème;15;15 Nouveau-nés - Affections d'origine périnatale;Médical;435;0
630;630 Nouveau-né , poids de naissance > 2499g avec procédure cardiovasculaire majeure;15;15 Nouveau-nés - Affections d'origine périnatale;Chirurgical;84;0
