région;drg_34;libellé_drg;mdc_34;type_de_diagnostic;hospitalisation_classique;hospitalisation_de_jour
Région flamande;91;Autres procédures majeures de la tête et du cou;3;Chirurgical;385;47
Région flamande;92;Procédures sur les os de la face, excepté procédures majeures des os du crâne ou de la face;3;Chirurgical;3.464;19.970
Région flamande;93;Procédures sur sinus et mastoïde;3;Chirurgical;3.145;2.785
Région flamande;95;Réparation de la fente labiale et du palais;3;Chirurgical;107;13
Région flamande;97;Procédures sur amygdales et végétations;3;Chirurgical;4.979;17.408
Région flamande;98;Autres procédures sur l'oreille, le nez, la bouche et la gorge;3;Chirurgical;7.523;28.411
Région flamande;110;Affections malignes de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;727;850
Région flamande;111;Vertige et autres troubles labyrinthiques;3;Médical;4.062;31
Région flamande;113;Infection des voies aériennes supérieures;3;Médical;15.252;635
Région flamande;114;Maladies et lésions dentaires et buccales;3;Médical;2.506;87.039
Région flamande;115;Autres diagnostics de l'oreille, du nez, de la bouche, de la gorge, du crâne et de la face;3;Médical;31.845;5.133
Région flamande;120;Interventions majeures sur le système respiratoire et le thorax;4;Chirurgical;2.033;131
Région flamande;121;Autres interventions sur le système respiratoire et le thorax;4;Chirurgical;2.243;251
Région flamande;130;Affection du système respiratoire avec assistance ventilatoire pendant plus de 96 heures;4;Médical;461;0
Région flamande;131;Mucoviscidose (cystic fibrosis) - maladie pulmonaire;4;Médical;540;24
Région flamande;132;Dysplasie bronchopulmonaire et autres maladies respiratoires chroniques apparaissant en période périnatale;4;Médical;66;< 5
Région flamande;133;Insuffisance respiratoire;4;Médical;496;< 5
Région flamande;134;Embolie pulmonaire;4;Médical;2.779;11
Région flamande;135;Traumatisme majeur thoracique et respiratoire;4;Médical;2.444;10
Région flamande;136;Affection maligne respiratoire;4;Médical;4.599;3.132
Région flamande;137;Inflammations et infections majeures du système respiratoire;4;Médical;4.352;166
Région flamande;138;Bronchiolite et pneumonie à virus respiratoire syncytial (RSV);4;Médical;8.149;27
Région flamande;139;Autre pneumonie;4;Médical;19.760;124
Région flamande;140;Maladie pulmonaire obstructive chronique;4;Médical;17.163;574
Région flamande;141;Asthme;4;Médical;2.942;77
Région flamande;142;Maladie pulmonaire interstitielle et alvéolaire;4;Médical;1.100;262
Région flamande;143;Autres diagnostics respiratoires excepté les signes, symptômes et diagnostics mineurs;4;Médical;2.958;697
Région flamande;144;Signes respiratoires, symptômes et diagnostics mineurs;4;Médical;15.010;2.523
Région flamande;160;Réparation majeure d'anomalie cardiaque par voie cardiothoracique;5;Chirurgical;54;0
Région flamande;161;Implantation d'un défibrillateur cardiaque et d'un système d'assistance cardiaque;5;Chirurgical;1.166;9
Région flamande;162;Procédures sur les valves cardiaques avec infarctus du myocarde aigu ou diagnostic principal complexe;5;Chirurgical;293;0
Région flamande;163;Procédures sur les valves cardiaques sans cathétérisme cardiaque ni diagnostic principal complexe;5;Chirurgical;2.081;< 5
Région flamande;165;Pontage coronarien avec infarctus aigu du myocarde ou diagnostic principal complexe;5;Chirurgical;530;0
Région flamande;166;Pontage coronarien sans infarctus aigu du myocarde ni disgnostic principal complexe;5;Chirurgical;2.574;0
Région flamande;167;Autres procédures cardiothoraciques et thoracovasculaires;5;Chirurgical;1.951;135
Région flamande;169;Procédures vasculaires abdominales majeures;5;Chirurgical;1.160;17
Région flamande;170;Implantation de pacemaker permanent avec infarctus aigu du myocarde, décompensation cardiaque ou choc;5;Chirurgical;255;< 5
Région flamande;171;Implantation de pacemaker permanent sans infarctus aigu du myocarde ni décompensation cardiaque ni choc;5;Chirurgical;3.999;6
Région flamande;174;Procédures coronariennes percutanées avec infarctus aigu du myocarde;5;Chirurgical;4.958;364
Région flamande;175;Procédures coronariennes percutanées sans infarctus aigu du myocarde;5;Chirurgical;17.659;1.824
Région flamande;176;Remplacement de pacemaker et de défibrillateur cardiaque;5;Chirurgical;1.410;187
Région flamande;177;Révision de pacemaker et de défibrillateur cardiaque excepté remplacement d'appareil;5;Chirurgical;435;26
Région flamande;180;Autres procédures sur le système circulatoire;5;Chirurgical;1.569;13.910
Région flamande;181;Procédures sur les artères des membres inférieurs;5;Chirurgical;12.161;1.070
Région flamande;182;Autres procédures sur les vaisseaux périphériques;5;Chirurgical;2.625;2.669
Région flamande;190;Infarctus aigu du myocarde;5;Médical;4.201;456
Région flamande;191;Cathétérisme cardiaque pour maladie coronarienne;5;Médical;6.675;12.508
Région flamande;192;Cathétérisme cardiaque pour autre maladie non coronarienne;5;Médical;8.577;5.357
Région flamande;193;Endocardite aiguë et subaiguë;5;Médical;109;< 5
Région flamande;194;Insuffisance cardiaque;5;Médical;13.706;53
Région flamande;196;Arrêt cardiaque et choc;5;Médical;533;67
Région flamande;197;Troubles vasculaires périphériques et autres;5;Médical;2.815;1.250
Région flamande;198;Angine de poitrine et athérosclérose coronarienne;5;Médical;2.471;42
Région flamande;199;Hypertension;5;Médical;1.373;31
Région flamande;200;Maladies cardiaques structurelles et valvulaires;5;Médical;734;170
Région flamande;201;Arythmie cardiaque et troubles de conduction;5;Médical;11.910;5.116
Région flamande;203;Douleur thoracique;5;Médical;3.062;75
Région flamande;204;Syncope et collapsus;5;Médical;8.030;103
Région flamande;205;Cardiomyopathie;5;Médical;193;8
Région flamande;206;Dysfonctionnement, réaction et complication en rapport avec du matériel ou une procédure cardiaques ou vasculaires;5;Médical;780;259
Région flamande;207;Autres diagnostics du système circulatoire;5;Médical;3.275;312
Région flamande;220;Procédures majeures sur œsophage, estomac et duodénum;6;Chirurgical;1.923;147
Région flamande;221;Procédures majeures sur l'intestin grêle et le gros intestin;6;Chirurgical;9.582;84
Région flamande;222;Autres procédures surœsophage, estomac et duodénum;6;Chirurgical;2.342;341
Région flamande;223;Autres procédures sur l'intestin grêle et le gros intestin;6;Chirurgical;2.420;1.100
Région flamande;224;Lyse d'adhérences péritonéales;6;Chirurgical;1.072;84
Région flamande;225;Appendicectomie;6;Chirurgical;7.379;208
Région flamande;226;Procédures sur l'anus;6;Chirurgical;3.253;6.975
Région flamande;227;Procédures pour hernie excepté hernies inguinale, fémorale et ombilicale;6;Chirurgical;3.911;2.089
Région flamande;228;Procédures pour hernies inguinale, fémorale et ombilicale;6;Chirurgical;6.949;8.973
Région flamande;229;Autres procédures sur le système digestif et au niveau abdominal;6;Chirurgical;1.726;463
Région flamande;240;Affections malignes du tube digestif;6;Médical;4.000;5.095
Région flamande;241;Ulcère peptique et gastrite;6;Médical;4.831;7.848
Région flamande;242;Troubles majeurs de l'œsophage;6;Médical;458;261
Région flamande;243;Autres troubles de l'œsophage;6;Médical;3.834;9.261
Région flamande;244;Diverticulite et diverticulose;6;Médical;5.566;15.600
Région flamande;245;Maladie inflammatoire de l'intestin;6;Médical;1.957;5.644
Région flamande;246;Insuffisance vasculaire gastro-intestinale;6;Médical;924;103
Région flamande;247;Obstruction intestinale;6;Médical;5.283;233
Région flamande;248;Infections gastro-intestinales et péritonéales majeures;6;Médical;3.282;92
Région flamande;249;Autres gastro-entérites, nausées et vomissements;6;Médical;20.787;4.867
Région flamande;251;Douleur abdominale;6;Médical;3.666;5.055
Région flamande;252;Dysfonctionnement, réaction et complication en rapport avec une procédure ou du matériel gastro-intestinaux;6;Médical;1.356;496
Région flamande;253;Hémorragie gastro-intestinale autre et non spécifiée;6;Médical;1.602;1.192
Région flamande;254;Autres diagnostics du système digestif;6;Médical;12.115;68.024
Région flamande;260;Procédures majeures sur pancréas, foie et shunt;7;Chirurgical;1.539;51
Région flamande;261;Procédures majeures des voies biliaires;7;Chirurgical;816;73
Région flamande;262;Cholécystectomie excepté par voie laparascopique;7;Chirurgical;221;151
Région flamande;263;Cholécystectomie laparoscopique;7;Chirurgical;10.795;1.193
Région flamande;264;Autres procédures abdominales, sur système hépatobiliaire et pancréas;7;Chirurgical;1.430;422
Région flamande;279;Coma hépatique et autres troubles hépatiques majeurs aigus;7;Médical;759;112
Région flamande;280;Maladie hépatique alcoolique;7;Médical;1.703;163
Région flamande;281;Affections malignes du système hépatobiliaire et du pancréas;7;Médical;2.700;1.839
Région flamande;282;Troubles du pancréas excepté affections malignes;7;Médical;3.391;357
Région flamande;283;Autres troubles du foie;7;Médical;1.303;763
Région flamande;284;Troubles de la vésicule biliaire et des voies biliaires;7;Médical;6.080;537
Région flamande;301;Remplacement d'articulation de la hanche;8;Chirurgical;19.020;7
Région flamande;302;Remplacement d'articulation du genou;8;Chirurgical;16.752;16
Région flamande;303;Arthrodèse dorsolombaire pour déviation du dos;8;Chirurgical;249;0
Région flamande;304;Arthrodèse dorsolombaire excepté déviation du dos;8;Chirurgical;5.121;0
Région flamande;305;Amputation des membres inférieurs, excepté amputation des seuls orteils;8;Chirurgical;614;< 5
Région flamande;308;Réparation de fractures de la hanche et du fémur;8;Chirurgical;6.305;7
Région flamande;309;Autres chirurgies significatives de la hanche et du fémur;8;Chirurgical;2.586;1.505
Région flamande;310;Excision et décompression de disque intervertébral;8;Chirurgical;10.689;180
Région flamande;312;Greffe cutanée, excepté sur la main, pour affections musculo-squelettique et du tissu conjonctif;8;Chirurgical;424;369
Région flamande;313;Procédures au niveau du genou et de la jambe excepté le pied;8;Chirurgical;10.496;29.546
Région flamande;314;Procédures au niveau du pied et des orteils;8;Chirurgical;10.337;5.432
Région flamande;315;Procédures au niveau de l'épaule, du bras et de l'avant-bras excepté le remplacement d'une articulation;8;Chirurgical;23.769;10.990
Région flamande;316;Procédures au niveau de la main et du poignet;8;Chirurgical;3.582;19.778
Région flamande;317;Procédures au niveau des tendons, muscles et autres tissus mous;8;Chirurgical;6.430;7.404
Région flamande;320;Autres procédures du système musculo-squelettique et du tissu conjonctif;8;Chirurgical;7.161;6.632
Région flamande;321;Arthrodèse cervicale et autres procédures sur le cou/dos, excepté excision/décompression de disques intervertébraux;8;Chirurgical;4.754;47
Région flamande;322;Remplacement de l'articulation de l'épaule et du coude;8;Chirurgical;892;29
Région flamande;340;Fractures du fémur;8;Médical;1.054;7
Région flamande;341;Fracture du bassin ou luxation de la hanche;8;Médical;2.332;7
Région flamande;342;Fracture ou luxation excepté du fémur, du bassin et du dos;8;Médical;5.235;2.446
Région flamande;343;Affection maligne musculo-squelletique et fractures pathologiques liées à ce type d'affection;8;Médical;1.554;1.052
Région flamande;344;Ostéomyélite, arthrite septique et autres infections musculo-squelettiques;8;Médical;894;49
Région flamande;346;Troubles du tissu conjonctif;8;Médical;1.932;1.319
Région flamande;347;Autres troubles, fractures et lésions du dos et du cou;8;Médical;12.488;13.505
Région flamande;349;Dysfonctionnement, réaction et complication dues à du matériel ou à une procédure orthopédique;8;Médical;1.368;351
Région flamande;351;Autres diagnostics concernant le système musculo-squelettique et le tissu conjonctif;8;Médical;8.452;4.781
Région flamande;361;Greffe cutanée pour affections de la peau et du tissu sous-cutané;9;Chirurgical;2.990;6.450
Région flamande;362;Procédures de mastectomie;9;Chirurgical;2.786;267
Région flamande;363;Procédures mammaires, excepté mastectomie;9;Chirurgical;8.801;4.295
Région flamande;364;Autres interventions sur la peau, les tissus sous-cutanés et apparentés;9;Chirurgical;4.233;4.855
Région flamande;380;Ulcères cutanés;9;Médical;1.065;120
Région flamande;381;Affections majeures de la peau;9;Médical;457;347
Région flamande;382;Affections malignes du sein;9;Médical;576;3.260
Région flamande;383;Cellulite et autres infections de la peau;9;Médical;7.734;1.745
Région flamande;384;Contusion, plaie ouverte et autres traumatismes de la peau et du tissu sous-cutané;9;Médical;4.459;2.264
Région flamande;385;Autres affections de la peau, du tissu sous-cutané et du sein;9;Médical;2.885;10.565
Région flamande;401;Procédures sur les surrénales et l'hypophyse;10;Chirurgical;381;< 5
Région flamande;403;Procédures pour obésité;10;Chirurgical;7.423;206
Région flamande;404;Procédures sur la thyroïde, les parathyroïdes et le canal thyréoglosse;10;Chirurgical;3.382;28
Région flamande;405;Autres procédures pour troubles endocriniens, nutritionnels et métaboliques;10;Chirurgical;193;26
Région flamande;420;Diabète;10;Médical;6.507;31
Région flamande;421;Malnutrition, retard staturopondéral et autres troubles nutritionnels;10;Médical;3.749;1.062
Région flamande;422;Hypovolémie et troubles électrolytiques associés;10;Médical;3.220;< 5
Région flamande;423;Anomalies congénitales du métabolisme;10;Médical;313;130
Région flamande;424;Autres troubles endocriniens;10;Médical;1.772;104
Région flamande;425;Autres troubles électrolytiques sauf ceux associés à l'hypovolémie;10;Médical;2.321;9
Région flamande;440;Transplantation rénale;11;Chirurgical;259;0
Région flamande;441;Procédures majeures sur la vessie;11;Chirurgical;866;57
Région flamande;442;Procédures sur les reins et les voies urinaires pour affections malignes;11;Chirurgical;1.365;31
Région flamande;443;Procédures sur les reins et les voies urinaires pour affections bénignes;11;Chirurgical;4.408;5.991
Région flamande;444;Procédure uniquement pour matériel de voie d'accès de dialyse rénale;11;Chirurgical;424;256
Région flamande;445;Autres procédures sur la vessie;11;Chirurgical;904;215
Région flamande;446;Procédures urétrales et transurétrales;11;Chirurgical;9.279;2.833
Région flamande;447;Autres procédures du rein, des voies urinaires et apparentées;11;Chirurgical;294;45
Région flamande;461;Affection maligne des reins et des voies urinaires;11;Médical;973;2.564
Région flamande;462;Néphrite et néphrose;11;Médical;515;128
Région flamande;463;Infections des reins et des voies urinaires;11;Médical;12.877;662
Région flamande;465;Lithiases urinaires et obstruction acquise du tractus urinaire supérieur;11;Médical;7.213;8.014
Région flamande;466;Dysfonctionnement, réaction et complication de matériel ou de procédure génito-urinaire;11;Médical;1.534;338
Région flamande;468;Autres diagnostics, signes et symptômes du rein et des voies urinaires;11;Médical;6.815;12.194
Région flamande;469;Lésion aiguë du rein;11;Médical;1.332;6
Région flamande;470;Maladie rénale chronique;11;Médical;1.311;339
Région flamande;480;Procédures majeures sur le petit bassin chez l'homme;12;Chirurgical;2.660;< 5
Région flamande;481;Procédures sur le pénis;12;Chirurgical;601;1.437
Région flamande;482;Prostatectomie transurétrale;12;Chirurgical;5.310;40
Région flamande;483;Procédures sur les testicules et le scrotum;12;Chirurgical;884;3.431
Région flamande;484;Autres interventions sur le système reproducteur masculin et interventions apparentées;12;Chirurgical;1.159;152
Région flamande;500;Affections malignes du système reproducteur masculin;12;Médical;767;2.401
Région flamande;501;Diagnostics du système reproducteur masculin sauf affections malignes;12;Médical;3.233;25.712
Région flamande;510;Éviscération pelvienne, hystérectomie radicale et autres procédures gynécologiques radicales;13;Chirurgical;529;< 5
Région flamande;511;Procédures sur l'utérus et ses annexes pour affections malignes des ovaires et des annexes;13;Chirurgical;383;43
Région flamande;512;Procédures sur l'utérus et ses annexes pour affections malignes excepté celles des ovaires et des annexes;13;Chirurgical;671;44
Région flamande;513;Procédures sur l'utérus et ses annexes pour affection non maligne excepté léiomyome;13;Chirurgical;6.884;5.059
Région flamande;514;Procédures reconstructrices du système reproducteur féminin;13;Chirurgical;2.765;373
Région flamande;517;Dilatation et curetage pour diagnostics non-obstétriques;13;Chirurgical;332;4.907
Région flamande;518;Autres procédures sur le système reproducteur féminin et procédures apparentées;13;Chirurgical;1.019;2.713
Région flamande;519;Procédures sur l'utérus et ses annexes pour léiomyome;13;Chirurgical;2.455;552
Région flamande;530;Affection maligne du système reproducteur féminin;13;Médical;690;850
Région flamande;531;Infections du système reproducteur féminin;13;Médical;458;221
Région flamande;532;Troubles menstruels et autres troubles du système reproducteur féminin;13;Médical;919;5.865
Région flamande;540;Accouchement par césarienne;14;Chirurgical;13.481;44
Région flamande;541;Accouchement par voie vaginale avec stérilisation et/ou dilatation et curetage;14;Chirurgical;1.288;75
Région flamande;542;Accouchement par voie vaginale avec procédure compliquée, excepté stérilisation et dilatation-curetage;14;Chirurgical;1.075;10
Région flamande;544;Dilatation et curetage, curetage par aspiration ou hystérotomie pour diagnostics obstétricaux;14;Chirurgical;761;4.676
Région flamande;545;Procédure pour grossesse ectopique;14;Chirurgical;620;94
Région flamande;546;Autres procédures opératoires pour diagnostics obstétricaux excepté accouchement;14;Chirurgical;224;123
Région flamande;560;Accouchement par voie vaginale;14;Médical;47.305;1.044
Région flamande;561;Diagnostics du post-partum et post-avortement, sans procédure;14;Médical;1.049;66
Région flamande;563;Travail prématuré;14;Médical;1.324;< 5
Région flamande;564;Avortement, sans dilatation-curetage, ni curetage par aspiration, ni hystérotomie;14;Médical;419;115
Région flamande;565;Faux travail;14;Médical;687;7
Région flamande;566;Autres diagnostics en antepartum;14;Médical;7.459;917
Région flamande;580;Nouveau-né, transféré dans les 5 jours, né ailleurs;15;Médical;70;< 5
Région flamande;581;Nouveau-né, transféré dans les 5 jours, né sur place;15;Médical;15;< 5
Région flamande;583;Nouveau-né, avec oxygénation par membrane extracorporelle (ECMO);15;Chirurgical;10;0
Région flamande;588;Nouveau-né, poids de naissance < 1 500 g avec procédure majeure;15;Chirurgical;54;0
Région flamande;589;Nouveau-né, poids de naissance < 500 g ou âge gestationnel < 24 semaines;15;Médical;16;0
Région flamande;591;Nouveau-né, poids de naissance 500-749 g sans procédure majeure;15;Médical;48;0
Région flamande;593;Nouveau-né, poids de naissance 750-999 g sans procédure majeure;15;Médical;94;0
Région flamande;602;Nouveau-né, poids de naissance 1 000-1 249 g avec syndrome de détresse respiratoire, autre anomalie respiratoire majeure ou anomalie majeure;15;Médical;102;0
Région flamande;603;Nouveau-né, poids de naissance 1 000-1 249 g avec ou sans autre affection significative;15;Médical;29;0
Région flamande;607;Nouveau-né, poids de naissance 1 250-1 499 g avec syndrome de détresse respiratoire, autre anomalie respiratoire majeure ou autre anomalie majeure;15;Médical;144;0
Région flamande;608;Nouveau-né, poids de naissance 1 250-1 499 g avec ou sans autre affection significative;15;Médical;66;0
Région flamande;609;Nouveau-né, poids de naissance 1 500-2 499 g avec procédure majeure;15;Chirurgical;59;0
Région flamande;611;Nouveau-né, poids de naissance 1 500-1 999 g avec anomalie majeure;15;Médical;86;0
Région flamande;612;Nouveau-né, poids de naissance 1 500-1 999 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;148;0
Région flamande;613;Nouveau-né, poids de naissance 1 500-1 999 g avec infection congénitale ou périnatale;15;Médical;29;0
Région flamande;614;Autre nouveau-né, poids de naissance 1 500-1 999 g avec ou sans autre affection significative;15;Médical;181;0
Région flamande;621;Nouveau-né, poids de naissance 2 000-2 499 g avec anomalie majeure;15;Médical;85;0
Région flamande;622;Nouveau-né, poids de naissance 2 000-2 499 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;130;0
Région flamande;623;Nouveau-né, poids de naissance 2 000-2 499 g avec infection congénitale ou périnatale;15;Médical;19;0
Région flamande;625;Nouveau-né, poids de naissance 2 000-2 499 g, né sur place, avec autre affection significative;15;Médical;96;0
Région flamande;626;Nouveau-né, poids de naissance 2 000-2 499 g, normal ou nouveau-né avec autre problème;15;Médical;164;0
Région flamande;630;Nouveau-né, poids de naissance > 2 499 g avec procédure cardiovasculaire majeure;15;Chirurgical;67;0
Région flamande;631;Nouveau-né, poids de naissance > 2 499 g avec autre procédure majeure;15;Chirurgical;54;0
Région flamande;633;Nouveau-né, poids de naissance > 2 499 g avec anomalie majeure;15;Médical;265;0
Région flamande;634;Nouveau-né, poids de naissance > 2 499 g avec syndrome de détresse respiratoire ou autre affection respiratoire majeure;15;Médical;291;0
Région flamande;636;Nouveau-né, poids de naissance > 2 499 g avec infection congénitale ou périnatale;15;Médical;100;0
Région flamande;639;Nouveau-né, poids de naissance > 2 499 g avec autre affection significative;15;Médical;374;0
Région flamande;640;Nouveau-né, poids de naissance > 2 499 g, normal et avec autres problèmes;15;Médical;1.015;< 5
Région flamande;650;Splénectomie;16;Chirurgical;102;0
Région flamande;651;Autres procédures concernant le sang et les organes hématopoïétiques;16;Chirurgical;435;529
Région flamande;660;Diagnostics hématologiques et immunologiques majeurs excepté crise drépanocytaire et coagulation;16;Médical;2.087;3.451
Région flamande;661;Troubles de la coagulation et des plaquettes;16;Médical;613;806
Région flamande;662;Crise d'anémie à cellules falciformes;16;Médical;344;18
Région flamande;663;Autres anémies et troubles sanguins, troubles des organes hématopoïétiques;16;Médical;5.628;11.308
Région flamande;680;Procédures opératoires majeures pour néoplasie lymphatique, hématopoïétique ou autre;17;Chirurgical;570;25
Région flamande;681;Autres procédures opératoires pour néoplasie lymphatique, hématopoïétique ou autre;17;Chirurgical;2.159;951
Région flamande;690;Leucémie aiguë;17;Médical;636;2.276
Région flamande;691;Lymphome, myélome et leucémie non aiguë;17;Médical;1.876;5.056
Région flamande;692;Radiothérapie;17;Médical;198;139
Région flamande;694;Affections malignes lymphatiques et autres et néoplasmes de comportement incertain;17;Médical;1.599;8.476
Région flamande;695;Chimiothérapie pour leucémie aiguë;17;Médical;667;4.423
Région flamande;696;Autre chimiothérapie;17;Médical;14.705;248.036
Région flamande;710;Infections et maladies parasitaires incluant le HIV avec procédure opératoire;18;Chirurgical;1.697;63
Région flamande;711;Infections post-opératoires, post-traumatiques ou d'autre matériel avec procédure opératoire;18;Chirurgical;1.369;394
Région flamande;720;Septicémie et infections disséminées;18;Médical;7.590;12
Région flamande;721;Infections post-opératoires, post-traumatiques ou d'autre matériel;18;Médical;2.472;342
Région flamande;722;Fièvre;18;Médical;2.125;13
Région flamande;723;Maladie virale;18;Médical;7.016;25
Région flamande;724;Autres maladies infectieuses et parasitaires;18;Médical;2.176;150
Région flamande;740;Diagnostic de maladie mentale avec procédure opératoire;19;Chirurgical;556;38
Région flamande;750;Schizophrénie;19;Médical;120;49
Région flamande;751;Troubles dépressifs majeurs et psychoses autres ou non spécifiées;19;Médical;1.195;719
Région flamande;752;Troubles de la personnalité et du contrôle des impulsions;19;Médical;131;0
Région flamande;753;Troubles bipolaires;19;Médical;437;550
Région flamande;754;Dépression, excepté trouble dépressif majeur;19;Médical;1.254;264
Région flamande;755;Troubles de l'ajustement et névroses, excepté diagnostics dépressifs;19;Médical;1.557;120
Région flamande;756;États d'anxiété et de délire aigus;19;Médical;1.525;10
Région flamande;757;Troubles organiques de la santé mentale;19;Médical;3.098;116
Région flamande;758;Troubles comportementaux;19;Médical;179;11
Région flamande;759;Troubles de la nutrition;19;Médical;190;< 5
Région flamande;760;Autres troubles de la santé mentale;19;Médical;2.337;187
Région flamande;770;Abus d'alcool et de drogues avec dépendance, sortie contre avis médical;20;Médical;247;< 5
Région flamande;772;Dépendance à l'alcool et aux drogues avec revalidation ou revalidation et désintoxication;20;Médical;296;0
Région flamande;773;Abus d'opiacés et dépendance;20;Médical;224;< 5
Région flamande;774;Abus de cocaïne et dépendance;20;Médical;274;< 5
Région flamande;775;Abus d'alcool et dépendance;20;Médical;4.182;10
Région flamande;776;Abus d'autres drogues et dépendance;20;Médical;513;< 5
Région flamande;791;Procédures opératoires pour autres complications de traitement;21;Chirurgical;2.625;1.008
Région flamande;811;Réactions allergiques;21;Médical;845;8
Région flamande;812;Empoisonnement par agents médicamenteux;21;Médical;4.564;29
Région flamande;813;Autres complications de traitement;21;Médical;3.064;873
Région flamande;815;Autres diagnostics de blessure, empoisonnement, effets toxiques;21;Médical;1.023;52
Région flamande;816;Effets toxiques de substances non médicamenteuses;21;Médical;1.023;13
Région flamande;841;Brûlures extensives du troisième degré avec greffe de peau;22;Chirurgical;7;0
Région flamande;842;Brûlures avec greffe de peau excepté brûlures extensives du troisième degré;22;Chirurgical;144;21
Région flamande;843;Brûlures extensives du troisième degré ou de « l'épaisseur totale » sans greffe de peau;22;Médical;9;< 5
Région flamande;844;Brûlures de « l'épaisseur partielle » sans greffe de peau;22;Médical;492;29
Région flamande;850;Procédure avec diagnostic de rééducation, suites de soins ou autre contact avec les services de santé;23;Chirurgical;6.142;20.981
Région flamande;860;Rééducation;23;Médical;3.935;6
Région flamande;861;Signes, symptômes et autres facteurs influençant l'état de santé;23;Médical;17.131;219.419
Région flamande;862;Autre suivi de soins et convalescence;23;Médical;10.634;51.331
Région flamande;863;Suivi de soins néonatal;23;Médical;524;< 5
Région flamande;890;HIV avec affections majeures multiples en rapport avec le HIV;24;Médical;63;< 5
Région flamande;892;HIV avec une affection majeure en rapport avec le HIV;24;Médical;119;24
Région flamande;893;HIV avec affections significatives multiples en rapport avec le HIV;24;Médical;15;0
Région flamande;894;HIV avec une seule ou aucune affection significative en rapport avec le HIV;24;Médical;154;26
Région flamande;910;Craniotomie pour polytraumatisme significatif;25;Chirurgical;117;0
Région flamande;911;Procédure abdominale ou thoracique extensive pour polytraumatisme significatif;25;Chirurgical;106;< 5
Région flamande;912;Procédures musculo-squelettiques et autres pour polytraumatisme significatif;25;Chirurgical;714;0
