drg_36;drg_beschrijving;mdc_36;mdc_beschrijving;soort_drg;klassieke_hospitalisatie;daghospitalisatie
049;049 Bacteriële en tuberculeuze infecties van zenuwstelsel;01;01 Zenuwstelsel;Medisch;596;12
050;050 Niet bacteriële infecties van zenuwstelsel behalve virale meningitis;01;01 Zenuwstelsel;Medisch;927;100
051;051 Virale meningitis;01;01 Zenuwstelsel;Medisch;578;0
052;052 Wijziging in bewustzijn;01;01 Zenuwstelsel;Medisch;2 368;36
053;053 Epileptisch insult;01;01 Zenuwstelsel;Medisch;16 340;361
054;054 Migraine en andere hoofdpijn;01;01 Zenuwstelsel;Medisch;5 323;340
055;055 Hoofdtrauma met coma > 1 uur of met hemorragie;01;01 Zenuwstelsel;Medisch;3 600;26
056;056 Cerebrale contusie/laceratie en gecompliceerde schedelbreuk, met coma < 1 uur of zonder coma;01;01 Zenuwstelsel;Medisch;247;5
057;057 Hersenschud., gesl. schedelbreuk niet aanders gespec., niet gecompl. intracran. letsel, coma < 1u of geen coma;01;01 Zenuwstelsel;Medisch;7 436;76
058;058 Andere stoornissen van zenuwstelsel;01;01 Zenuwstelsel;Medisch;19 045;1 911
059;059 Anoxische en andere ernstige hersenschade;01;01 Zenuwstelsel;Medisch;156;25
073;073 Procedures op oog en orbita;02;02 Oogaandoeningen;Chirurgisch;8 484;150 172
082;082 Ooginfecties en andere stoornissen van oog;02;02 Oogaandoeningen;Medisch;3 650;4 158
089;089 Majeure procedures op aangezichts- en schedelbeenderen;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;1 748;26 369
091;091 Andere majeure procedures op hoofd en hals;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;929;136
092;092 Procedures op aangezichtsbeenderen, behalve maj. proc. op aangezichts-/schedelbeenderen;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;6 454;24 683
095;095 Palatoplastie en herstel van hazenlip;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;149;39
097;097 Procedures op tonsillen en adenoïden;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;4 612;25 013
098;098 Andere procedures op oren, neus, mond en keel;03;03 Neus, keel, oren, schedel en aangezicht;Chirurgisch;14 873;34 210
110;110 Maligne aandoeningen van oren, neus, mond, keel, schedel/aangezicht;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;1 451;1 831
111;111 Vertigo en andere labyrinthstoornissen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;5 209;233
113;113 Infecties bovenste luchtwegen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;14 839;3 532
114;114 Dentale en orale ziekten en aandoeningen;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;1 609;124 662
115;115 Andere diagnoses van oren, neus, mond, keel en schedel/aangezicht;03;03 Neus, keel, oren, schedel en aangezicht;Medisch;64 062;15 701
120;120 Majeure thoracale en respiratoire procedures;04;04 Ademhalingsstelsel;Chirurgisch;1 654;7
121;121 Andere respiratoire en thoracale procedures;04;04 Ademhalingsstelsel;Chirurgisch;4 803;669
130;130 Diagnose van respiratoire stelsel met kunstmatige beademing 96+uur;04;04 Ademhalingsstelsel;Medisch;3 154;0
131;131 Mucoviscidose (cystic fibrosis) - longziekte;04;04 Ademhalingsstelsel;Medisch;527;40
132;132 Bronchopulmonale dysplasie en andere chron. resp. ziekten ontstaan in perinatale periode;04;04 Ademhalingsstelsel;Medisch;115;9
133;133 Respiratoire insufficiëntie;04;04 Ademhalingsstelsel;Medisch;4 819;24
134;134 Longembolie;04;04 Ademhalingsstelsel;Medisch;6 116;19
135;135 Majeur thoracaal en respiratoir trauma;04;04 Ademhalingsstelsel;Medisch;3 588;15
136;136 Maligne respiratoire aandoening;04;04 Ademhalingsstelsel;Medisch;7 160;5 216
137;137 Majeure respiratoire infecties en inflammaties;04;04 Ademhalingsstelsel;Medisch;8 308;181
138;138 Bronchiolitis en RSV pneumonie;04;04 Ademhalingsstelsel;Medisch;16 851;27
139;139 Andere pneumonie;04;04 Ademhalingsstelsel;Medisch;46 774;148
140;140 Chronische obstructieve longaandoening;04;04 Ademhalingsstelsel;Medisch;21 149;557
141;141 Astma;04;04 Ademhalingsstelsel;Medisch;3 948;79
142;142 Interstitiële en alveolaire longziekte;04;04 Ademhalingsstelsel;Medisch;2 092;480
143;143 Andere respiratoire diagnosen behalve tekens, symptomen en mineure diagnosen;04;04 Ademhalingsstelsel;Medisch;5 353;1 206
144;144 Respiratoire tekens, symptomen en mineure diagnosen;04;04 Ademhalingsstelsel;Medisch;13 493;3 636
145;145 Acute bronchitis en gerelateerde symptomen;04;04 Ademhalingsstelsel;Medisch;6 824;923
160;160 Majeur cardiothoracaal herstel van hartanomalie;05;05 Hart en vaatstelsel;Chirurgisch;122;0
161;161 Implantatie van hartdefibrillator en hartassistentiesyteem;05;05 Hart en vaatstelsel;Chirurgisch;2 167;19
162;162 Procedures op hartkleppen met AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;483;0
163;163 Procedures op hartkleppen zonder AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;4 012;< 5
165;165 Coronaire overbrugging met AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;973;< 5
166;166 Coronaire overbrugging zonder AMI of complexe hoofddiagnose;05;05 Hart en vaatstelsel;Chirurgisch;4 284;< 5
167;167 Andere cardiothoracale procedures en thoracovasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;2 035;275
169;169 Majeure abdominale vasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;2 113;18
170;170 Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;05;05 Hart en vaatstelsel;Chirurgisch;94;0
171;171 Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;05;05 Hart en vaatstelsel;Chirurgisch;8 030;24
174;174 Percutane coronaire procedures met AMI;05;05 Hart en vaatstelsel;Chirurgisch;9 364;708
175;175 Percutane coronaire procedures zonder AMI;05;05 Hart en vaatstelsel;Chirurgisch;31 182;4 739
176;176 Vervangen van pacemaker of defibrillator;05;05 Hart en vaatstelsel;Chirurgisch;2 046;385
177;177 Revisie van pacemaker of defibrillator behalve vervanging van hulpmiddel;05;05 Hart en vaatstelsel;Chirurgisch;681;12
180;180 Andere procedures op circulatoir systeem;05;05 Hart en vaatstelsel;Chirurgisch;2 036;17 702
181;181 Procedures op arteries van onderste ledematen;05;05 Hart en vaatstelsel;Chirurgisch;18 173;1 660
182;182 Andere perifere vasculaire procedures;05;05 Hart en vaatstelsel;Chirurgisch;4 101;3 876
190;190 Acuut myocardinfarct;05;05 Hart en vaatstelsel;Medisch;6 009;766
191;191 Hartkatheterisatie voor coronaire ziekten;05;05 Hart en vaatstelsel;Medisch;9 502;21 622
192;192 Hartkatheterisatie voor andere niet-coronaire aandoeningen;05;05 Hart en vaatstelsel;Medisch;11 951;8 896
193;193 Acute en subacute endocarditis;05;05 Hart en vaatstelsel;Medisch;274;< 5
194;194 Hartfalen;05;05 Hart en vaatstelsel;Medisch;23 416;118
196;196 Hartstilstand en shock;05;05 Hart en vaatstelsel;Medisch;1 210;106
197;197 Perifere en andere vasculaire stoornissen;05;05 Hart en vaatstelsel;Medisch;4 530;1 720
198;198 Angina pectoris en coronaire atherosclerose;05;05 Hart en vaatstelsel;Medisch;3 304;110
199;199 Hypertensie;05;05 Hart en vaatstelsel;Medisch;2 082;84
200;200 Structurele hartaandoeningen en kleplijden;05;05 Hart en vaatstelsel;Medisch;976;261
201;201 Hartaritmie en geleidingsstoornissen;05;05 Hart en vaatstelsel;Medisch;15 070;8 373
203;203 Thoracale pijn;05;05 Hart en vaatstelsel;Medisch;3 208;196
204;204 Syncope en collaps;05;05 Hart en vaatstelsel;Medisch;9 627;250
205;205 Cardiomyopathie;05;05 Hart en vaatstelsel;Medisch;309;27
206;206 Dysfunctie, reactie op en compl. op cardiaal of vasc. hulpmiddel of procedure;05;05 Hart en vaatstelsel;Medisch;1 293;637
207;207 Andere diagnosen van het circulatoir systeem;05;05 Hart en vaatstelsel;Medisch;5 257;763
220;220 Majeure procedures op oesofagus, maag en duodenum;06;06 Spijsverteringsstelsel;Chirurgisch;3 501;49
222;222 Andere procedures op oesofagus, maag, duodenum;06;06 Spijsverteringsstelsel;Chirurgisch;1 315;351
223;223 Andere procedures op dunne en dikke darm;06;06 Spijsverteringsstelsel;Chirurgisch;1 559;1 861
224;224 Peritoneale adhesiolyse;06;06 Spijsverteringsstelsel;Chirurgisch;1 971;179
226;226 Procedures op anus;06;06 Spijsverteringsstelsel;Chirurgisch;4 160;9 418
227;227 Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;06;06 Spijsverteringsstelsel;Chirurgisch;7 170;3 509
228;228 Procedures voor hernia inguinalis, femoralis en umbilicalis;06;06 Spijsverteringsstelsel;Chirurgisch;12 049;13 809
229;229 Andere procedures op spijsverteringsstelsel en abdomen;06;06 Spijsverteringsstelsel;Chirurgisch;2 696;836
230;230 Majeure procedures op dunne darm;06;06 Spijsverteringsstelsel;Chirurgisch;6 620;43
231;231 Majeure procedures op dikke darm;06;06 Spijsverteringsstelsel;Chirurgisch;11 204;268
232;232 Fundoplicatie van maag;06;06 Spijsverteringsstelsel;Chirurgisch;1 089;12
233;233 Appendectomie met complexe hoofddiagnose;06;06 Spijsverteringsstelsel;Chirurgisch;2 497;14
234;234 Appendectomie zonder complexe hoofddiagnose;06;06 Spijsverteringsstelsel;Chirurgisch;10 303;293
240;240 Maligne aandoeningen van spijsverteringsstelsel;06;06 Spijsverteringsstelsel;Medisch;6 134;9 157
241;241 Peptisch ulcus en gastritis;06;06 Spijsverteringsstelsel;Medisch;6 731;21 980
242;242 Majeure slokdarmstoorinissen;06;06 Spijsverteringsstelsel;Medisch;1 066;683
243;243 Andere slokdarmstoornissen;06;06 Spijsverteringsstelsel;Medisch;4 959;22 644
244;244 Diverticulitis en diverticulosis;06;06 Spijsverteringsstelsel;Medisch;8 710;21 041
245;245 Inflammatoire darmziekten;06;06 Spijsverteringsstelsel;Medisch;3 357;10 883
246;246 Gastro-intestinale vasculaire insufficientie;06;06 Spijsverteringsstelsel;Medisch;1 280;144
247;247 Intestinale obstructie;06;06 Spijsverteringsstelsel;Medisch;8 006;322
248;248 Majeure gastro-intestinale en peritoneale infecties;06;06 Spijsverteringsstelsel;Medisch;4 623;158
249;249 Andere gastro-enteritis, misselijkheid en braken;06;06 Spijsverteringsstelsel;Medisch;26 767;10 644
251;251 Abdominale pijn;06;06 Spijsverteringsstelsel;Medisch;4 680;8 804
252;252 Dysfunctie, reactie op en complic, van gastro-intestinaal hulpmiddel of procedure;06;06 Spijsverteringsstelsel;Medisch;3 172;1 228
253;253 Andere en niet gespecificeerde gastro-intestinale hemorragie;06;06 Spijsverteringsstelsel;Medisch;2 837;2 093
254;254 Andere diagnosen van spijsverteringsstelsel;06;06 Spijsverteringsstelsel;Medisch;20 027;116 746
260;260 Majeure pancreas-, lever- en shuntprocedures;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;2 235;80
261;261 Majeure procedures op galwegen;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;376;7
263;263 Cholecystectomie;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;20 286;2 810
264;264 Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;1 451;388
279;279 Hepatisch coma en andere majeure acute leverstoornissen;07;07 Hepatobiliair stelsel en pancreas;Medisch;1 571;50
280;280 Alcoholische leverziekte;07;07 Hepatobiliair stelsel en pancreas;Medisch;4 369;477
281;281 Maligne aandoening van hepatobiliair stelsel en pancreas;07;07 Hepatobiliair stelsel en pancreas;Medisch;4 819;3 952
282;282 Stoornissen van pancreas behalve maligne aandoeningen;07;07 Hepatobiliair stelsel en pancreas;Medisch;7 789;1 816
283;283 Andere leverstoornissen;07;07 Hepatobiliair stelsel en pancreas;Medisch;2 729;1 557
284;284 Stoornissen van galblaas en galwegen;07;07 Hepatobiliair stelsel en pancreas;Medisch;12 345;1 664
301;301 Vervanging van heupgewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;32 307;53
302;302 Vervanging van kniegewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;25 979;62
303;303 Dorsale en lumbale arthrodese bij wervelkolomafwijkingen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;428;< 5
304;304 Dorsale en lumbale arthrodese behalve bij wervelkolomafwijkingen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;7 561;< 5
305;305 Amputatie van onderste lidmaat behalve tenen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;1 162;12
308;308 Herstellen fractuur van heup en femur;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;10 765;18
309;309 Andere significante chirurgie op heup en femur;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;3 493;1 984
310;310 Excisie en decompressie van discus intervertebralis;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;16 097;136
312;312 Huidgreffe, behalve van hand, voor musculoskeletale en bindweefseldiagnosen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;575;801
313;313 Procedures op knie en onderbeen, behalve op voet;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;17 614;31 997
314;314 Procedures op voet en tenen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;12 311;8 491
315;315 Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;27 872;19 415
316;316 Procedures op hand en pols;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;4 291;37 421
317;317 Procedures op pees, spier en andere weke weefsels;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;6 957;10 524
320;320 Andere procedures op musculoskeletaal stelsel en bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;10 736;10 718
321;321 Cervicale artrodese en andere procedures op nek/rug, behalve exc./decompr. Wervel;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;6 645;190
322;322 Vervanging van schouder en elleboog gewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;5 317;21
340;340 Femurfractuur;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;1 559;11
341;341 Fractuur van bekken of luxatie van heup;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;3 222;12
342;342 Fracturen of luxatie, behalve van femur, heup en bekken;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;7 480;3 878
343;343 Maligne aandoeningen van musculoskeletaal stelsel en pathologische fracturen hierdoor.;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 135;1 237
344;344 Osteomyelitis, septische arthritis en andere musculoskeletale infecties;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;1 606;147
346;346 Stoornissen van bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 937;1 871
347;347 Andere stoornissen, breuken en letsels van rug en van nek;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;14 482;45 703
349;349 Dysfunctie, reactie op en compl. van orthopedisch hulpmiddel of procedure;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 188;641
351;351 Andere diagnosen van musculoskeletaal stelsel en bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;10 949;8 831
361;361 Huidgreffe voor diagnosen van huid en subcutaan weefsel;09;09 Huid, subcutis, borst;Chirurgisch;4 108;10 387
362;362 Mastectomie procedures;09;09 Huid, subcutis, borst;Chirurgisch;5 346;558
363;363 Procedures op borst, behalve mastectomie;09;09 Huid, subcutis, borst;Chirurgisch;15 846;7 052
364;364 Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;09;09 Huid, subcutis, borst;Chirurgisch;6 380;7 282
380;380 Huidulcera;09;09 Huid, subcutis, borst;Medisch;1 596;87
381;381 Majeure aandoeningen van huid;09;09 Huid, subcutis, borst;Medisch;646;655
382;382 Maligne aandoeningen van mamma;09;09 Huid, subcutis, borst;Medisch;855;5 201
383;383 Cellulitis en andere huidinfecties;09;09 Huid, subcutis, borst;Medisch;10 411;2 917
384;384 Contusie, open wonde en andere traumata van huid en van subcutaan weefsel;09;09 Huid, subcutis, borst;Medisch;6 333;2 799
385;385 Andere aandoeningen van huid, subcutaan weefsel en mamma;09;09 Huid, subcutis, borst;Medisch;4 886;19 392
401;401 Procedures op bijnieren en hypofyse;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;320;7
403;403 Procedures voor obesitas;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;16 191;151
404;404 Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;6 783;73
405;405 Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;257;16
420;420 Diabetes;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;9 175;63
421;421 Malnutritie, ¿'failure to thrive¿' en andere nutritionele stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;6 804;2 022
422;422 Hypovolemie en gerelateerde electrolytenstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;3 026;< 5
423;423 Congenitale afwijkingen van metabolisme;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;532;372
424;424 Andere endocriene stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1 320;279
425;425 Andere niet-hypovolemische elektrolytenstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;2 140;20
426;426 Niet-hypovolemische stoornissen van natriumhuishouding;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;3 533;9
427;427 Schildklierstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1 168;57
440;440 Niertransplantatie;11;11 Nieren en urinewegen;Chirurgisch;386;0
441;441 Majeure procedures op blaas;11;11 Nieren en urinewegen;Chirurgisch;1 163;< 5
442;442 Procedures op nier en urinewegen voor maligne aandoening;11;11 Nieren en urinewegen;Chirurgisch;2 212;58
443;443 Procedures op nier en urinewegen voor niet maligne aandoening;11;11 Nieren en urinewegen;Chirurgisch;7 188;2 364
444;444 Procedure voor plaatsen van hulpmiddel voor toegangsweg voor nierdialyse et vaatherstel;11;11 Nieren en urinewegen;Chirurgisch;896;466
445;445 Andere procedures op blaas;11;11 Nieren en urinewegen;Chirurgisch;2 364;826
446;446 Transurethrale en urethrale procedures;11;11 Nieren en urinewegen;Chirurgisch;15 767;5 908
447;447 Andere procedures op nieren, urinewegen en gerelateerde procedures;11;11 Nieren en urinewegen;Chirurgisch;338;57
461;461 Maligne aandoening van nier en urinewegen;11;11 Nieren en urinewegen;Medisch;1 781;4 063
462;462 Nefritis en nefrose;11;11 Nieren en urinewegen;Medisch;831;291
463;463 Infecties van nier en urinewegen;11;11 Nieren en urinewegen;Medisch;23 027;1 207
465;465 Urinaire stenen en verworven bovenste urinewegobstructie;11;11 Nieren en urinewegen;Medisch;9 732;12 773
466;466 Dysfunctie, reactie op en compl. van urogenitaal hulpmiddel of procedure;11;11 Nieren en urinewegen;Medisch;3 034;953
468;468 Andere nier en urinewegen diagnosen, tekens en symptomen;11;11 Nieren en urinewegen;Medisch;10 617;32 192
469;469 Acuut niertrauma;11;11 Nieren en urinewegen;Medisch;2 667;15
470;470 Chronische nierziekte;11;11 Nieren en urinewegen;Medisch;2 244;844
480;480 Majeure procedures op mannelijk bekken;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;4 548;5
482;482 Transurethrale prostatectomie;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;8 611;304
483;483 Procedures op penis, testes en scrotum;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;2 983;7 542
484;484 Andere procedures op mannelijk voortplantingsstelsel en gerelateerde procedures;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;1 791;242
500;500 Maligne aandoening van mannelijk voortplantingsstelsel;12;12 Mannelijk voortplantingsstelsel;Medisch;1 109;4 495
501;501 Diagnosen van mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;12 Mannelijk voortplantingsstelsel;Medisch;4 686;32 627
510;510 Evisceratie van bekken, radicale hysterectomie en andere radicale gyneco. procedures;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;685;< 5
511;511 Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;786;65
512;512 Procedures op uterus/adnexen voor maligne aandoening behalve van ovaria en adnexen;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;1 168;128
513;513 Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;12 273;9 873
514;514 Reconstructieve procedures op vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;2 512;174
517;517 Dilatatie en curettage voor niet-verloskundige diagnoses;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;480;5 911
518;518 Andere procedures op vrouwelijk voortplantingsstelsel en gerelateerde procedures;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;1 568;3 029
519;519 Procedures op uterus/adnexen voor leiomyoma;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;4 431;1 422
530;530 Maligne aandoening van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;1 216;1 727
531;531 Infecties van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;707;421
532;532 Menstruatiestoornissen en andere stoornissen van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;1 620;10 466
540;540 Bevalling met sectio caesarea;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;25 745;89
541;541 Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;3 208;121
542;542 Vaginale bevalling met gecompl. procedures behalve sterilisatie en/of dilatatie en curettage;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 691;15
544;544 Dilatatie en curettage, curettage via aspiratie of hysterotomie voor verloskundige diagnosen;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 384;7 399
545;545 Procedure voor ectopische zwangerschap;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 318;156
546;546 Andere operatiezaal procedures voor verloskundige diagnoses behalve bevalling;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;570;361
560;560 Vaginale bevalling;14;14 Zwangerschap, bevalling en puerperium;Medisch;85 571;2 366
561;561 Diagnosen in postpartum en post abortus, zonder procedure;14;14 Zwangerschap, bevalling en puerperium;Medisch;1 722;129
563;563 Vroegtijdige arbeid;14;14 Zwangerschap, bevalling en puerperium;Medisch;2 685;10
564;564 Abortus, zonder dilatatie en curettage, curettagevia aspiratie of hysterotomie;14;14 Zwangerschap, bevalling en puerperium;Medisch;851;334
565;565 Valse arbeid;14;14 Zwangerschap, bevalling en puerperium;Medisch;1 020;20
566;566 Andere diagnosen in antepartum;14;14 Zwangerschap, bevalling en puerperium;Medisch;11 801;2 125
580;580 Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;15 Neonati - Perinatale aandoeningen;Medisch;149;< 5
581;581 Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;15 Neonati - Perinatale aandoeningen;Medisch;50;< 5
583;583 Pasgeborene, met ECMO;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;13;0
588;588 Pasgeborene, geboortegewicht < 1500g, met majeure procedure;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;52;0
589;589 Pasgeborene, geboortegewicht < 500g, of geboortegew. 500-999g en zw.duur < 24 weken, of geboortegew. 500-749g met majeure anomalie of zonder levensreddende interventie;15;15 Neonati - Perinatale aandoeningen;Medisch;28;0
591;591 Pasgeborene, geboortegewicht 500-749g zonder majeure procedure;15;15 Neonati - Perinatale aandoeningen;Medisch;97;0
593;593 Pasgeborene, geboortegewicht 750 - 999g zonder majeure procedure;15;15 Neonati - Perinatale aandoeningen;Medisch;228;0
602;602 Pasgeborene, geboortegewicht 1000-1249g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;15 Neonati - Perinatale aandoeningen;Medisch;198;0
603;603 Pasgeborene, geboortegewicht 1000-1249g met of zonder andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;28;0
607;607 Pasgeborene, geboortegewicht 1250-1499g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;15 Neonati - Perinatale aandoeningen;Medisch;324;0
608;608 Pasgeborene, geboortegewicht 1250-1499g met of zonder andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;102;0
609;609 Pasgeborene, geboortegewicht 1500-2499g met majeure procedure;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;46;0
611;611 Pasgeborene, geboortegewicht 1500-1999g met majeure anomalie;15;15 Neonati - Perinatale aandoeningen;Medisch;171;0
