drg_36;drg_beschrijving;mdc_36;mdc_beschrijving;soort_drg;klassieke_hospitalisatie;daghospitalisatie
263;263 Cholecystectomie;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;17 862;2 151
264;264 Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;07;07 Hepatobiliair stelsel en pancreas;Chirurgisch;1 303;352
279;279 Hepatisch coma en andere majeure acute leverstoornissen;07;07 Hepatobiliair stelsel en pancreas;Medisch;1 468;59
280;280 Alcoholische leverziekte;07;07 Hepatobiliair stelsel en pancreas;Medisch;4 085;390
281;281 Maligne aandoening van hepatobiliair stelsel en pancreas;07;07 Hepatobiliair stelsel en pancreas;Medisch;4 858;3 817
282;282 Stoornissen van pancreas behalve maligne aandoeningen;07;07 Hepatobiliair stelsel en pancreas;Medisch;7 306;1 311
283;283 Andere leverstoornissen;07;07 Hepatobiliair stelsel en pancreas;Medisch;2 742;1 360
284;284 Stoornissen van galblaas en galwegen;07;07 Hepatobiliair stelsel en pancreas;Medisch;11 430;1 232
301;301 Vervanging van heupgewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;26 920;42
302;302 Vervanging van kniegewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;20 888;41
303;303 Dorsale en lumbale arthrodese bij wervelkolomafwijkingen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;284;0
304;304 Dorsale en lumbale arthrodese behalve bij wervelkolomafwijkingen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;6 190;< 5
305;305 Amputatie van onderste lidmaat behalve tenen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;1 140;11
308;308 Herstellen fractuur van heup en femur;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;10 965;26
309;309 Andere significante chirurgie op heup en femur;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;3 045;1 513
310;310 Excisie en decompressie van discus intervertebralis;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;14 142;177
312;312 Huidgreffe, behalve van hand, voor musculoskeletale en bindweefseldiagnosen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;562;658
313;313 Procedures op knie en onderbeen, behalve op voet;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;16 002;28 827
314;314 Procedures op voet en tenen;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;11 217;6 312
315;315 Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;26 426;14 881
316;316 Procedures op hand en pols;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;4 110;28 938
317;317 Procedures op pees, spier en andere weke weefsels;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;6 072;8 201
320;320 Andere procedures op musculoskeletaal stelsel en bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;9 597;8 883
321;321 Cervicale artrodese en andere procedures op nek/rug, behalve exc./decompr. Wervel;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;5 665;45
322;322 Vervanging van schouder en elleboog gewricht;08;08 Musculoskeletaal stelsel en bindweefsel;Chirurgisch;4 117;28
340;340 Femurfractuur;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;1 524;15
341;341 Fractuur van bekken of luxatie van heup;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;3 203;25
342;342 Fracturen of luxatie, behalve van femur, heup en bekken;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;7 179;3 755
343;343 Maligne aandoeningen van musculoskeletaal stelsel en pathologische fracturen hierdoor.;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 041;1 427
344;344 Osteomyelitis, septische arthritis en andere musculoskeletale infecties;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;1 457;148
346;346 Stoornissen van bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 801;1 714
347;347 Andere stoornissen, breuken en letsels van rug en van nek;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;14 111;36 124
349;349 Dysfunctie, reactie op en compl. van orthopedisch hulpmiddel of procedure;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;2 054;524
351;351 Andere diagnosen van musculoskeletaal stelsel en bindweefsel;08;08 Musculoskeletaal stelsel en bindweefsel;Medisch;10 211;7 189
361;361 Huidgreffe voor diagnosen van huid en subcutaan weefsel;09;09 Huid, subcutis, borst;Chirurgisch;3 930;8 796
362;362 Mastectomie procedures;09;09 Huid, subcutis, borst;Chirurgisch;4 850;419
363;363 Procedures op borst, behalve mastectomie;09;09 Huid, subcutis, borst;Chirurgisch;12 784;5 332
364;364 Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;09;09 Huid, subcutis, borst;Chirurgisch;5 490;6 010
380;380 Huidulcera;09;09 Huid, subcutis, borst;Medisch;1 510;188
381;381 Majeure aandoeningen van huid;09;09 Huid, subcutis, borst;Medisch;644;711
382;382 Maligne aandoeningen van mamma;09;09 Huid, subcutis, borst;Medisch;898;4 978
383;383 Cellulitis en andere huidinfecties;09;09 Huid, subcutis, borst;Medisch;9 887;2 931
384;384 Contusie, open wonde en andere traumata van huid en van subcutaan weefsel;09;09 Huid, subcutis, borst;Medisch;5 972;3 034
385;385 Andere aandoeningen van huid, subcutaan weefsel en mamma;09;09 Huid, subcutis, borst;Medisch;4 042;16 422
401;401 Procedures op bijnieren en hypofyse;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;265;0
403;403 Procedures voor obesitas;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;11 172;110
404;404 Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;5 460;61
405;405 Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Chirurgisch;260;18
420;420 Diabetes;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;8 866;62
421;421 Malnutritie, ¿'failure to thrive¿' en andere nutritionele stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;5 557;1 601
422;422 Hypovolemie en gerelateerde electrolytenstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;3 299;< 5
423;423 Congenitale afwijkingen van metabolisme;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;430;309
424;424 Andere endocriene stoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1 167;237
425;425 Andere niet-hypovolemische elektrolytenstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;2 048;14
426;426 Niet-hypovolemische stoornissen van natriumhuishouding;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;3 005;5
427;427 Schildklierstoornissen;10;10 Endocriene, voedings- en stofwisselingsziekten;Medisch;1 116;51
440;440 Niertransplantatie;11;11 Nieren en urinewegen;Chirurgisch;349;0
441;441 Majeure procedures op blaas;11;11 Nieren en urinewegen;Chirurgisch;1 101;5
442;442 Procedures op nier en urinewegen voor maligne aandoening;11;11 Nieren en urinewegen;Chirurgisch;2 131;33
443;443 Procedures op nier en urinewegen voor niet maligne aandoening;11;11 Nieren en urinewegen;Chirurgisch;6 125;1 935
444;444 Procedure voor plaatsen van hulpmiddel voor toegangsweg voor nierdialyse et vaatherstel;11;11 Nieren en urinewegen;Chirurgisch;788;370
445;445 Andere procedures op blaas;11;11 Nieren en urinewegen;Chirurgisch;2 071;719
446;446 Transurethrale en urethrale procedures;11;11 Nieren en urinewegen;Chirurgisch;14 391;5 022
447;447 Andere procedures op nieren, urinewegen en gerelateerde procedures;11;11 Nieren en urinewegen;Chirurgisch;291;36
461;461 Maligne aandoening van nier en urinewegen;11;11 Nieren en urinewegen;Medisch;1 858;3 829
462;462 Nefritis en nefrose;11;11 Nieren en urinewegen;Medisch;727;256
463;463 Infecties van nier en urinewegen;11;11 Nieren en urinewegen;Medisch;22 450;1 071
465;465 Urinaire stenen en verworven bovenste urinewegobstructie;11;11 Nieren en urinewegen;Medisch;10 027;12 503
466;466 Dysfunctie, reactie op en compl. van urogenitaal hulpmiddel of procedure;11;11 Nieren en urinewegen;Medisch;2 939;948
468;468 Andere nier en urinewegen diagnosen, tekens en symptomen;11;11 Nieren en urinewegen;Medisch;9 979;27 114
469;469 Acuut niertrauma;11;11 Nieren en urinewegen;Medisch;2 695;33
470;470 Chronische nierziekte;11;11 Nieren en urinewegen;Medisch;2 162;796
480;480 Majeure procedures op mannelijk bekken;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;3 934;0
482;482 Transurethrale prostatectomie;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;6 791;196
483;483 Procedures op penis, testes en scrotum;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;2 507;5 789
484;484 Andere procedures op mannelijk voortplantingsstelsel en gerelateerde procedures;12;12 Mannelijk voortplantingsstelsel;Chirurgisch;1 601;203
500;500 Maligne aandoening van mannelijk voortplantingsstelsel;12;12 Mannelijk voortplantingsstelsel;Medisch;1 001;3 705
501;501 Diagnosen van mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;12 Mannelijk voortplantingsstelsel;Medisch;4 442;23 688
510;510 Evisceratie van bekken, radicale hysterectomie en andere radicale gyneco. procedures;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;722;< 5
511;511 Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;769;75
512;512 Procedures op uterus/adnexen voor maligne aandoening behalve van ovaria en adnexen;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;1 084;96
513;513 Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;10 054;7 308
514;514 Reconstructieve procedures op vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;1 902;118
517;517 Dilatatie en curettage voor niet-verloskundige diagnoses;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;462;5 597
518;518 Andere procedures op vrouwelijk voortplantingsstelsel en gerelateerde procedures;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;1 310;2 303
519;519 Procedures op uterus/adnexen voor leiomyoma;13;13 Vrouwelijk voortplantingsstelsel;Chirurgisch;3 683;931
530;530 Maligne aandoening van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;1 328;1 598
531;531 Infecties van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;670;349
532;532 Menstruatiestoornissen en andere stoornissen van vrouwelijk voortplantingsstelsel;13;13 Vrouwelijk voortplantingsstelsel;Medisch;1 510;8 954
540;540 Bevalling met sectio caesarea;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;24 408;73
541;541 Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;2 983;100
542;542 Vaginale bevalling met gecompl. procedures behalve sterilisatie en/of dilatatie en curettage;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 627;22
544;544 Dilatatie en curettage, curettage via aspiratie of hysterotomie voor verloskundige diagnosen;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 388;7 139
545;545 Procedure voor ectopische zwangerschap;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;1 272;174
546;546 Andere operatiezaal procedures voor verloskundige diagnoses behalve bevalling;14;14 Zwangerschap, bevalling en puerperium;Chirurgisch;491;331
560;560 Vaginale bevalling;14;14 Zwangerschap, bevalling en puerperium;Medisch;83 267;2 233
561;561 Diagnosen in postpartum en post abortus, zonder procedure;14;14 Zwangerschap, bevalling en puerperium;Medisch;1 543;114
563;563 Vroegtijdige arbeid;14;14 Zwangerschap, bevalling en puerperium;Medisch;2 550;9
564;564 Abortus, zonder dilatatie en curettage, curettagevia aspiratie of hysterotomie;14;14 Zwangerschap, bevalling en puerperium;Medisch;791;274
565;565 Valse arbeid;14;14 Zwangerschap, bevalling en puerperium;Medisch;918;18
566;566 Andere diagnosen in antepartum;14;14 Zwangerschap, bevalling en puerperium;Medisch;10 730;2 174
580;580 Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;15 Neonati - Perinatale aandoeningen;Medisch;118;< 5
581;581 Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;15 Neonati - Perinatale aandoeningen;Medisch;56;< 5
583;583 Pasgeborene, met ECMO;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;16;0
588;588 Pasgeborene, geboortegewicht < 1500g, met majeure procedure;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;53;0
589;589 Pasgeborene, geboortegewicht < 500g, of geboortegew. 500-999g en zw.duur < 24 weken, of geboortegew. 500-749g met majeure anomalie of zonder levensreddende interventie;15;15 Neonati - Perinatale aandoeningen;Medisch;30;0
591;591 Pasgeborene, geboortegewicht 500-749g zonder majeure procedure;15;15 Neonati - Perinatale aandoeningen;Medisch;92;0
593;593 Pasgeborene, geboortegewicht 750 - 999g zonder majeure procedure;15;15 Neonati - Perinatale aandoeningen;Medisch;200;0
602;602 Pasgeborene, geboortegewicht 1000-1249g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;15 Neonati - Perinatale aandoeningen;Medisch;225;0
603;603 Pasgeborene, geboortegewicht 1000-1249g met of zonder andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;31;0
607;607 Pasgeborene, geboortegewicht 1250-1499g met resp. distr. syndr./andere maj. resp. anom. of maj. anom.;15;15 Neonati - Perinatale aandoeningen;Medisch;313;0
608;608 Pasgeborene, geboortegewicht 1250-1499g met of zonder andere significante aandoening;15;15 Neonati - Perinatale aandoeningen;Medisch;81;0
609;609 Pasgeborene, geboortegewicht 1500-2499g met majeure procedure;15;15 Neonati - Perinatale aandoeningen;Chirurgisch;69;0
611;611 Pasgeborene, geboortegewicht 1500-1999g met majeure anomalie;15;15 Neonati - Perinatale aandoeningen;Medisch;150;< 5
