gewest;drg_34;drg_beschrijving;mdc_34;soort_diagnose;klassieke_hospitalisatie;daghospitalisatie
Vlaams Gewest;166;Coronaire overbrugging zonder acuut myocardinfarct of complexe hoofddiagnose;5;Chirurgisch;2496;0
Vlaams Gewest;167;Andere cardiothoracale procedures en thoracovasculaire procedures;5;Chirurgisch;2050;136
Vlaams Gewest;169;Majeure abdominale vasculaire procedures;5;Chirurgisch;1055;19
Vlaams Gewest;170;Implantatie van permanente pacemaker met AMI, hartdecompensatie of shock;5;Chirurgisch;278;0
Vlaams Gewest;171;Implanteren van permanente pacemaker zonder AMI, hartdecompensatie of shock;5;Chirurgisch;4081;7
Vlaams Gewest;174;Percutane coronaire procedures met acuut myocardinfarct;5;Chirurgisch;5130;357
Vlaams Gewest;175;Percutane coronaire procedures zonder acuut myocardinfarct;5;Chirurgisch;19171;2164
Vlaams Gewest;176;Vervangen van pacemaker of defibrillator;5;Chirurgisch;1342;178
Vlaams Gewest;177;Revisie van pacemaker of defibrillator behalve toestel vervanging;5;Chirurgisch;494;16
Vlaams Gewest;180;Andere procedures op het circulatoire systeem;5;Chirurgisch;1485;14267
Vlaams Gewest;181;Procedures op de arteries van de onderste ledematen;5;Chirurgisch;12055;1084
Vlaams Gewest;182;Andere perifere vasculaire procedures;5;Chirurgisch;2669;2264
Vlaams Gewest;190;Acuut myocardinfarct;5;Medisch;4034;500
Vlaams Gewest;191;Hartkatheterisatie voor coronaire condities;5;Medisch;6276;14286
Vlaams Gewest;192;Hartkatheterisatie voor andere niet-coronaire condities;5;Medisch;8237;6108
Vlaams Gewest;193;Acute en subacute endocarditis;5;Medisch;116;< 5
Vlaams Gewest;194;Hartfalen;5;Medisch;14616;66
Vlaams Gewest;196;Hartstilstand en shock;5;Medisch;494;119
Vlaams Gewest;197;Perifere en andere vasculaire stoornissen;5;Medisch;2726;1130
Vlaams Gewest;198;Angina pectoris en coronaire atherosclerose;5;Medisch;2471;54
Vlaams Gewest;199;Hypertensie;5;Medisch;1423;21
Vlaams Gewest;200;Structurele hartaandoeningen en kleplijden;5;Medisch;743;154
Vlaams Gewest;201;Hartaritmie en geleidingsstoornissen;5;Medisch;11506;5521
Vlaams Gewest;203;Thoracale pijn;5;Medisch;2996;77
Vlaams Gewest;204;Syncope en collaps;5;Medisch;7610;82
Vlaams Gewest;205;Cardiomyopathie;5;Medisch;247;8
Vlaams Gewest;206;Dysfunctie, reactie en complicatie op cardiaal of vasculair toestel of procedure;5;Medisch;723;296
Vlaams Gewest;207;Andere diagnosen van het circulatoir stelsel;5;Medisch;3143;380
Vlaams Gewest;220;Majeure procedures op oesofagus, maag en duodenum;6;Chirurgisch;1841;175
Vlaams Gewest;221;Majeure procedures op dunne en dikke darm;6;Chirurgisch;9786;86
Vlaams Gewest;222;Andere procedures op oesofagus, maag en duodenum;6;Chirurgisch;2289;356
Vlaams Gewest;223;Andere procedures op dunne en dikke darm;6;Chirurgisch;2385;1350
Vlaams Gewest;224;Peritoneale adhesiolyse;6;Chirurgisch;1038;98
Vlaams Gewest;225;Appendectomie;6;Chirurgisch;7358;230
Vlaams Gewest;226;Anale procedures;6;Chirurgisch;3251;7383
Vlaams Gewest;227;Procedures voor hernia behalve voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;3770;2212
Vlaams Gewest;228;Procedures voor hernia inguinalis, femoralis en umbilicalis;6;Chirurgisch;6831;9506
Vlaams Gewest;229;Andere procedures op het spijsverteringsstelsel en abdomen;6;Chirurgisch;1902;513
Vlaams Gewest;240;Maligne aandoeningen van het spijsverteringsstelsel;6;Medisch;3809;5396
Vlaams Gewest;241;Peptisch ulcus en gastritis;6;Medisch;4890;8539
Vlaams Gewest;242;Majeure slokdarmstoornissen;6;Medisch;405;293
Vlaams Gewest;243;Andere slokdarmstoornissen;6;Medisch;3613;10209
Vlaams Gewest;244;Diverticulitis en diverticulosis;6;Medisch;5748;12380
Vlaams Gewest;245;Inflammatoire darmziekte;6;Medisch;1966;6132
Vlaams Gewest;246;Gastro-intestinale vasculaire insufficiëntie;6;Medisch;879;104
Vlaams Gewest;247;Intestinale obstructie;6;Medisch;5284;244
Vlaams Gewest;248;Majeure gastro-intestinale en peritoneale infecties;6;Medisch;3230;107
Vlaams Gewest;249;Andere gastro-enteritis, misselijkheid en braken;6;Medisch;20938;5112
Vlaams Gewest;251;Abdominale pijn;6;Medisch;3514;4875
Vlaams Gewest;252;Dysfunctie, reactie op en complicatie van gastro-intestinaal toestel of procedure;6;Medisch;1528;480
Vlaams Gewest;253;Andere en niet gespecificeerde gastro-intestinale hemorragie;6;Medisch;1680;1266
Vlaams Gewest;254;Andere diagnosen van spijsverteringsstelsel;6;Medisch;12333;76525
Vlaams Gewest;260;Majeure pancreas-, lever- en shuntprocedures;7;Chirurgisch;1525;76
Vlaams Gewest;261;Majeure procedures op de galwegen;7;Chirurgisch;907;77
Vlaams Gewest;262;Cholecystectomie, behalve laparoscopisch;7;Chirurgisch;206;< 5
Vlaams Gewest;263;Laparoscopische cholecystectomie;7;Chirurgisch;10892;1451
Vlaams Gewest;264;Andere procedures op hepatobiliair stelsel en pancreas, abdominaal;7;Chirurgisch;1484;405
Vlaams Gewest;279;Hepatisch coma en andere majeure acute leverstoornissen;7;Medisch;818;80
Vlaams Gewest;280;Alcoholische leverziekte;7;Medisch;1801;199
Vlaams Gewest;281;Maligne aandoeningen van het hepatobiliair stelsel en de pancreas;7;Medisch;2627;1996
Vlaams Gewest;282;Stoornissen van de pancreas behalve maligne aandoeningen;7;Medisch;3388;449
Vlaams Gewest;283;Andere leverstoornissen;7;Medisch;1364;776
Vlaams Gewest;284;Stoornissen van de galblaas en de galwegen;7;Medisch;6375;530
Vlaams Gewest;301;Vervanging van heupgewricht;8;Chirurgisch;19562;8
Vlaams Gewest;302;Vervanging van kniegewricht;8;Chirurgisch;17530;24
Vlaams Gewest;303;Dorsolumbale arthrodese bij wervelkolomafwijkingen;8;Chirurgisch;272;0
Vlaams Gewest;304;Dorsolumbale arthrodese behalve bij wervelkolomafwijkingen;8;Chirurgisch;5331;5
Vlaams Gewest;305;Amputatie van onderste lidmaat behalve tenen;8;Chirurgisch;580;7
Vlaams Gewest;308;Herstellen van heup en femur fracturen;8;Chirurgisch;6117;7
Vlaams Gewest;309;Andere significante procedures op heup en femur;8;Chirurgisch;2457;1397
Vlaams Gewest;310;Excisie en decompressie van discus intervertebralis;8;Chirurgisch;10437;222
Vlaams Gewest;312;Huidgreffe behalve op de hand, voor musculo-skeletaal en bindweefsel diagnosen;8;Chirurgisch;410;406
Vlaams Gewest;313;Procedures op de knie en het onderbeen, behalve op de voet;8;Chirurgisch;10966;28611
Vlaams Gewest;314;Procedures op voet en tenen;8;Chirurgisch;9894;5593
Vlaams Gewest;315;Procedures op schouder, arm en voorarm behalve gewrichtsvervanging;8;Chirurgisch;23531;11278
Vlaams Gewest;316;Procedures op hand en pols;8;Chirurgisch;3591;21338
Vlaams Gewest;317;Procedures op pees, spier en andere weke weefsels;8;Chirurgisch;6347;7485
Vlaams Gewest;320;Andere procedures op musculo-skeletaalstelsel en bindweefsel;8;Chirurgisch;7211;6734
Vlaams Gewest;321;Cervicale artrodese en andere procedures op nek/rug, behalve excisie/decompressie discus intervertebralis;8;Chirurgisch;4646;52
Vlaams Gewest;322;Vervanging van schouder en elleboog gewricht;8;Chirurgisch;900;19
Vlaams Gewest;340;Femurfracturen;8;Medisch;1019;7
Vlaams Gewest;341;Fracturen van het bekken of luxatie van de heup;8;Medisch;2378;15
Vlaams Gewest;342;Fracturen of luxatie, behalve femur, heup en bekken;8;Medisch;5371;2675
Vlaams Gewest;343;Maligne aandoeningen van het musculoskeletaal stelsel en pathologische fracturen hierdoor.;8;Medisch;1620;1074
Vlaams Gewest;344;Osteomyelitis, septische arthritis en andere musculo-skeletale infecties;8;Medisch;1009;50
Vlaams Gewest;346;Stoornissen van het bindweefsel;8;Medisch;2091;1396
Vlaams Gewest;347;Andere stoornissen, breuken en letsels van de rug en van de nek;8;Medisch;12429;13343
Vlaams Gewest;349;Dysfunctie, bijwerking en complicaties van orthopedisch toestel of procedure;8;Medisch;1407;384
Vlaams Gewest;351;Andere diagnosen van het musculo-skeletaal stelsel en bindweefsel;8;Medisch;8009;4696
Vlaams Gewest;361;Huidgreffe voor huid en subcutaan weefsel diagnosen;9;Chirurgisch;2901;6827
Vlaams Gewest;362;Mastectomie procedures;9;Chirurgisch;2849;288
Vlaams Gewest;363;Procedures op de borst, behalve mastectomie;9;Chirurgisch;9005;4357
Vlaams Gewest;364;Andere procedures op huid, subcutaan weefsel en gerelateerde procedures;9;Chirurgisch;4251;5350
Vlaams Gewest;380;Huidulcera;9;Medisch;1077;155
Vlaams Gewest;381;Majeure aandoeningen van de huid;9;Medisch;450;419
Vlaams Gewest;382;Maligne aandoeningen van de mamma;9;Medisch;560;3710
Vlaams Gewest;383;Cellulitis en andere huidinfecties;9;Medisch;7801;1942
Vlaams Gewest;384;Contusie, open wonde en andere trauma van de huid en van het subcutaan weefsel;9;Medisch;4395;2003
Vlaams Gewest;385;Andere aandoeningen van de huid, het subcutaan weefsel en de mamma;9;Medisch;3024;10928
Vlaams Gewest;401;Procedures op bijnieren en hypofyse;10;Chirurgisch;358;< 5
Vlaams Gewest;403;Procedures voor obesitas;10;Chirurgisch;7195;126
Vlaams Gewest;404;Procedures op schildklier, bijschildklieren en ductus thyreoglossus;10;Chirurgisch;3438;31
Vlaams Gewest;405;Andere procedures bij endocriene, nutritionele en metabole stoornissen;10;Chirurgisch;198;21
Vlaams Gewest;420;Diabetes;10;Medisch;6363;38
Vlaams Gewest;421;Malnutritie,  “failure to thrive” en andere nutritionele stoornissen;10;Medisch;3726;987
Vlaams Gewest;422;Hypovolemie en gerelateerde electrolytenstoornissen;10;Medisch;2920;< 5
Vlaams Gewest;423;Congenitale afwijkingen van het metabolisme;10;Medisch;268;162
Vlaams Gewest;424;Andere endocriene stoornissen;10;Medisch;1805;156
Vlaams Gewest;425;Andere elektrolytenstoornissen behalve in verband met hypovolemie;10;Medisch;2248;28
Vlaams Gewest;440;Niertransplantatie;11;Chirurgisch;200;0
Vlaams Gewest;441;Majeure procedures op de blaas;11;Chirurgisch;918;65
Vlaams Gewest;442;Procedures op nier en urinewegen voor maligne aandoening;11;Chirurgisch;1436;51
Vlaams Gewest;443;Procedures op nier en urinewegen voor niet maligne aandoening;11;Chirurgisch;4581;6450
Vlaams Gewest;444;Procedure enkel voor het aanleggen van een dialyse toegangsweg toestel;11;Chirurgisch;388;248
Vlaams Gewest;445;Andere procedures op de blaas;11;Chirurgisch;843;273
Vlaams Gewest;446;Transurethrale en urethrale procedures;11;Chirurgisch;9214;2682
Vlaams Gewest;447;Andere procedures op nieren, urinewegen en gerelateerde procedures;11;Chirurgisch;320;46
Vlaams Gewest;461;Maligne aandoening van de nier en urinewegen;11;Medisch;1043;2615
Vlaams Gewest;462;Nefritis en nefrose;11;Medisch;531;162
Vlaams Gewest;463;Infecties van de nier en de urinewegen;11;Medisch;13617;734
Vlaams Gewest;465;Urinaire stenen en verworven bovenste urinewegobstructie;11;Medisch;6902;8366
Vlaams Gewest;466;Dysfunctie, reactie op en complicatie van genito-urinair toestel of procedure;11;Medisch;1622;381
Vlaams Gewest;468;Andere nier en urinewegen diagnosen, tekens en symptomen;11;Medisch;6603;13514
Vlaams Gewest;469;Acute nierziekten;11;Medisch;1356;8
Vlaams Gewest;470;Chronische nierziekten;11;Medisch;1226;330
Vlaams Gewest;480;Majeure procedures in het kleine bekken bij de man;12;Chirurgisch;2706;< 5
Vlaams Gewest;481;Procedures op de penis;12;Chirurgisch;618;1456
Vlaams Gewest;482;Transurethrale prostatectomie;12;Chirurgisch;5554;68
Vlaams Gewest;483;Procedures op de testes en het scrotum;12;Chirurgisch;882;3300
Vlaams Gewest;484;Andere procedures op het mannelijk voortplantingsstelsel en gerelateerde procedures;12;Chirurgisch;1037;145
Vlaams Gewest;500;Maligne aandoening van het mannelijk voortplantingsstelsel;12;Medisch;704;2565
Vlaams Gewest;501;Diagnosen van het mannelijk voortplantingsstelsel behalve maligne aandoeningen;12;Medisch;3161;25980
Vlaams Gewest;510;Evisceratie van het kleine bekken, radicale hysterectomie en andere radicale gynaecologische procedures;13;Chirurgisch;447;< 5
Vlaams Gewest;511;Procedures op uterus/adnexen voor maligne aandoening van ovaria en adnexen;13;Chirurgisch;422;47
Vlaams Gewest;512;Procedures op uterus/adnexen voor maligne aandoening behalve ovaria en adnexen;13;Chirurgisch;650;58
Vlaams Gewest;513;Procedures op uterus/adnexen voor niet-maligne aandoening behalve leiomyoma;13;Chirurgisch;6758;5552
Vlaams Gewest;514;Reconstructieve procedures op het vrouwelijke voortplantingsstelsel;13;Chirurgisch;2984;521
Vlaams Gewest;517;Dilatatie en curettage voor niet-verloskundige diagnosen;13;Chirurgisch;352;5019
Vlaams Gewest;518;Andere procedures op het vrouwelijke voortplantingsstelsel en gerelateerde procedures;13;Chirurgisch;1040;2679
Vlaams Gewest;519;Procedures op uterus/adnexen voor leiomyoma;13;Chirurgisch;2371;616
Vlaams Gewest;530;Maligne aandoening van het vrouwelijke voortplantingsstelsel;13;Medisch;706;1080
Vlaams Gewest;531;Infecties van het vrouwelijke voortplantingsstelsel;13;Medisch;460;295
Vlaams Gewest;532;Menstruatiestoornissen en andere stoornissen van het vrouwelijke voortplantingsstelsel;13;Medisch;852;6445
Vlaams Gewest;540;Bevalling met sectio caesarea;14;Chirurgisch;13236;37
Vlaams Gewest;541;Vaginale bevalling met sterilisatie en/of dilatatie en curettage;14;Chirurgisch;1319;77
Vlaams Gewest;542;Vaginale bevalling met gecompliceerde procedures behalve sterilisatie en/of dilatatie en curettage;14;Chirurgisch;1215;12
Vlaams Gewest;544;Dilatatie en curettage, aspiratie curettage of hysterotomie voor verloskundige diagnosen;14;Chirurgisch;811;4613
Vlaams Gewest;545;Procedure voor ectopische zwangerschap;14;Chirurgisch;651;118
Vlaams Gewest;546;Andere operatiezaal procedures voor verloskundige diagnosen behalve bevalling;14;Chirurgisch;269;138
Vlaams Gewest;560;Vaginale bevalling;14;Medisch;46663;1139
Vlaams Gewest;561;Diagnosen in het postpartum en post abortus, zonder ingrepen;14;Medisch;1074;86
Vlaams Gewest;563;Vroegtijdige arbeid;14;Medisch;1192;< 5
Vlaams Gewest;564;Abortus, zonder dilatatie en curettage, aspiratie curettage of hysterotomie;14;Medisch;410;133
Vlaams Gewest;565;Valse arbeid;14;Medisch;639;8
Vlaams Gewest;566;Andere diagnosen in het antepartum;14;Medisch;7695;1166
Vlaams Gewest;580;Pasgeborene, getransfereerd binnen 5 dagen, elders geboren;15;Medisch;47;0
Vlaams Gewest;581;Pasgeborene, getransfereerd binnen 5 dagen, hier geboren;15;Medisch;16;< 5
Vlaams Gewest;583;Pasgeborene, met extracorporele membraanoxygenatie (ECMO);15;Chirurgisch;9;0
Vlaams Gewest;588;Pasgeborene, geboortegewicht < 1 500 g met majeure procedure;15;Chirurgisch;51;0
Vlaams Gewest;589;Pasgeborene, geboortegewicht < 500 g of zwangerschapsduur < 24 weken;15;Medisch;8;0
Vlaams Gewest;591;Pasgeborene, geboortegewicht 500-749 g zonder majeure procedure;15;Medisch;42;0
Vlaams Gewest;593;Pasgeborene, geboortegewicht 750-999 g zonder majeure procedure;15;Medisch;80;0
Vlaams Gewest;602;Pasgeborene, geboortegewicht 1 000-1 249 g met respiratoire distress syndroom/andere majeure respiratoire anomalie of majeure anomalie;15;Medisch;105;0
Vlaams Gewest;603;Pasgeborene, geboortegewicht 1 000-1 249 g met of zonder andere significante aandoening;15;Medisch;27;0
Vlaams Gewest;607;Pasgeborene, geboortegewicht 1 250-1 499 g met respiratoire distress syndroom/andere majeure respiratoire of majeure anomalie;15;Medisch;129;0
Vlaams Gewest;608;Pasgeborene, geboortegewicht 1 250-1 499 g met of zonder andere significante aandoening;15;Medisch;68;0
Vlaams Gewest;609;Pasgeborene, geboortegewicht 1 500-2 499 g met majeure procedure;15;Chirurgisch;42;0
Vlaams Gewest;611;Pasgeborene, geboortegewicht 1 500-1 999 g met majeure anomalie;15;Medisch;83;0
Vlaams Gewest;612;Pasgeborene, geboortegewicht 1 500-1 999 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;142;0
Vlaams Gewest;613;Pasgeborene, geboortegewicht 1 500-1 999 g met congenitale of perinatale infecties;15;Medisch;15;0
Vlaams Gewest;614;Andere pasgeborene, geboortegewicht 1 500-1 999 g met of zonder andere significante aandoening;15;Medisch;176;0
Vlaams Gewest;621;Pasgeborene, geboortegewicht 2 000-2 499 g met majeure anomalie;15;Medisch;80;0
Vlaams Gewest;622;Pasgeborene, geboortegewicht 2 000-2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;129;0
Vlaams Gewest;623;Pasgeborene, geboortegewicht 2 000-2 499 g met congenitale of perinatale infectie;15;Medisch;22;0
Vlaams Gewest;625;Pasgeborene, geboortegewicht 2 000-2 499 g, hier geboren, met andere significante aandoening;15;Medisch;113;0
Vlaams Gewest;626;Pasgeborene, geboortegewicht 2 000-2 499 g, normale pasgeborene of pasgeborene met ander probleem;15;Medisch;154;0
Vlaams Gewest;630;Pasgeborene, geboortegewicht > 2 499 g met majeure cardiovasculaire procedures;15;Chirurgisch;74;0
Vlaams Gewest;631;Pasgeborene, geboortegewicht > 2 499 g met andere majeure procedure;15;Chirurgisch;57;0
Vlaams Gewest;633;Pasgeborene, geboortegewicht > 2 499 g met majeure anomalie;15;Medisch;265;0
Vlaams Gewest;634;Pasgeborene, geboortegewicht > 2 499 g met respiratoire distress syndroom/andere majeure respiratoire aandoening;15;Medisch;277;0
Vlaams Gewest;636;Pasgeborene, geboortegewicht > 2 499 g met congenitale of perinatale infecties;15;Medisch;104;0
Vlaams Gewest;639;Pasgeborene, geboortegewicht > 2 499 g hier geboren, met andere significante aandoening;15;Medisch;366;0
Vlaams Gewest;640;Pasgeborene, geboortegewicht > 2 499 g, normale pasgeborene of met ander probleem;15;Medisch;1030;6
Vlaams Gewest;650;Splenectomie;16;Chirurgisch;92;0
Vlaams Gewest;651;Andere procedures op bloed en bloedvormende organen;16;Chirurgisch;484;573
Vlaams Gewest;660;Majeure hemato-/immunologische diagnosen behalve crisis van sikkelcelanemie en coagulatie;16;Medisch;2110;3716
Vlaams Gewest;661;Bloedstollingsstoornissen en bloedplaatjes;16;Medisch;648;940
Vlaams Gewest;662;Crisis van sikkelcelanemie;16;Medisch;368;27
Vlaams Gewest;663;Andere anemia en bloedstoornissen en hematopoietische organen;16;Medisch;5981;11971
Vlaams Gewest;680;Majeure operatiezaal procedures voor lymfatische/hematopoietische/andere neoplasma;17;Chirurgisch;542;22
Vlaams Gewest;681;Andere operatiezaal procedures voor lymfatisch/hematopoietisch/andere neoplasma;17;Chirurgisch;2176;1111
Vlaams Gewest;690;Acute leukemie;17;Medisch;739;3004
Vlaams Gewest;691;Lymfoom, myeloom en niet-acute leukemie;17;Medisch;1859;4988
Vlaams Gewest;692;Radiotherapie;17;Medisch;178;87
Vlaams Gewest;694;Lymphatisch en andere maligne aandoeningen en neoplasmata met onzeker gedrag;17;Medisch;1581;9043
Vlaams Gewest;695;Chemotherapie voor acute leukemie;17;Medisch;770;5394
Vlaams Gewest;696;Andere chemotherapie;17;Medisch;14732;263841
Vlaams Gewest;710;Infectieuze en parasitaire ziekten, HIV met operatiezaal procedures inbegrepen;18;Chirurgisch;1658;64
Vlaams Gewest;711;Postoperatieve, posttraumatische en andere toestel- infecties met operatiezaal procedures;18;Chirurgisch;1466;381
Vlaams Gewest;720;Septicemie en gedissemineerde infecties;18;Medisch;7755;6
Vlaams Gewest;721;Postoperatieve, posttraumatische en andere toestel infecties;18;Medisch;2549;285
Vlaams Gewest;722;Koorts;18;Medisch;2180;10
Vlaams Gewest;723;Virale ziekte;18;Medisch;6439;24
Vlaams Gewest;724;Andere infectieuze en parasitaire ziekten;18;Medisch;2085;154
Vlaams Gewest;740;Diagnosen van mentale ziekte met operatiezaal procedures;19;Chirurgisch;575;73
Vlaams Gewest;750;Schizofrenie;19;Medisch;123;46
Vlaams Gewest;751;Majeure depressieve stoornissen en andere/niet-gespecificeerde psychoses;19;Medisch;1158;738
Vlaams Gewest;752;Persoonlijkheidsstoornissen en impulscontrolestoornissen;19;Medisch;104;< 5
Vlaams Gewest;753;Bipolaire stoornissen;19;Medisch;566;538
Vlaams Gewest;754;Depressie, behalve majeure depressieve diagnosen;19;Medisch;1159;99
Vlaams Gewest;755;Aanpassingstoornis en neuroses, behalve depressieve diagnosen;19;Medisch;1377;84
Vlaams Gewest;756;Acute angst en delirante toestanden;19;Medisch;1743;12
Vlaams Gewest;757;Organische stoornissen van de geestelijke gezondheid;19;Medisch;3131;123
Vlaams Gewest;758;Gedragsstoornissen;19;Medisch;183;12
Vlaams Gewest;759;Eetstoornissen;19;Medisch;151;< 5
Vlaams Gewest;760;Andere stoornissen van de mentale gezondheid;19;Medisch;2382;221
